Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
N_Navarro     32 arg 19  1  1  1 30 842 100 100 100  15   0 1424   1  75  28   0   0   0   0   0   0   0   0 100
S_Torrico     37 arg 18  1  1  1 30 900 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
José_Devecchi 22 arg 17  1  1  1 30 600 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gonzalo_Rguez 32 arg  1 20  1  1 30 100 726 210 196  11   0 1006   0   0   0  13   3   3   0   0   3   0   0  79
Paulo_Díaz    23 chi  1 19  1  1 30 100 859 159 159  10   0  870   0   0   0  10   0   0   0   0   3   0   0  90
M_Caruzzo     33 arg  1 19  1  1 30 100 748 229 209  10   2  884   0   0   0   4   3   1   0   0   1   0   0 100
F_Coloccini   35 arg  1 19  1  1 30 100 346 176 176   9   0  723   0   0   0  12   0   0   0   0  12   0   0  93
M_Angeleri    34 arg  1 19  1  1 30 100  38 203 202   8   2  658   0   0   0  12   1   2   0   0   2   0   0  79
Gabriel_Rojas 20 arg  1 18 11  6 30 100 792 242 216   5   1  367   0   0   0   9   7   6   0   0   1   0   0 100
V_Salazar     24 arg  1 18 11  6 30 100 760 225 201   8   0  756   0   0   0   7   6   5   0   0   1   0   0  72
Marcos_Senesi 20 arg  1 18  1  1 30 100 354 200 200   3   0  283   0   0   0   4   0   0   0   0   0   0   0 100
N_Zalazar     20 arg  1 17 10  6 30 100 600 200 200   1   0   45   0   0   0   0   0   0   0   0   0   0   0 100
Juan_Mercier  37 arg  1 16 19  3 30 100 297 776 211  11   0 1046   0   0   0   8  21   6   0   2   1   0   0  65
Robert_Piris  23 par  1 15 18  3 30 100 230 437 188   5   0  422   0   0   0   3   7   0   0   0   6   0   0 100
Franco_Mussis 25 arg  1 13 19 13 30 100 250 763 233  10   0  923   1   0   0   4  11   6   1   0   2   0   0  65
F_Quignón     24 arg  1 13 18 10 30 100 233 883 203   6   1  527   0   0   0   2   9   2   0   1   2   0   0 100
Franco_Moyano 20 arg  1  8 17  9 30 100 200 600 200   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Belluschi   34 arg  1  2 20 18 30 100 194 720 268   9   0  850   0   0   0   0  18  14   1   0   3   0   0 100
G_Gudiño      25 arg  1  2 18 16 30 100 183 946 276   9   0  807   0   0   0   0   9  13   2   0   6   0   0 100
Alexis_Castro 23 arg  1  3 18 15 30 100 200 921 210   3   0  238   0   0   0   0   3   2   0   0   0   0   0  93
L_Romagnoli   36 arg  1  2 18 16 30 100 200 796 254   8   1  711   1   0   0   0  11   8   1   1   0   0   0  72
Jonás_Acevedo 21 arg  1  2 17 15 30 100 200 300 200   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Blandi      27 arg  1  1  1 20 30 100 174 174 661  10   0  948   0   0   0   0   0  28   2   0   3   0   0  93
Rubén_Botta   27 arg  1  3 17 19 30 100 203 238 819   8   0  717   0   0   0   0   5  14   3   0   1   0   0  96
V_Viola       26 arg  1  1 10 18 30 100 200 207 968   5   1  375   0   0   0   0   1  12   1   0   0   0   0 100
B_Merlini     22 arg  1  1 17 18 30 100 218 232 836   5   1  346   1   0   0   1   6   6   1   0   0   0   0 100
J_Cavallaro   23 arg  1  1 15 18 30 100 191 212 763   6   1  508   1   0   0   0   3   7   2   0   2   0   0  79
N_Reniero     22 arg  1  1  3 18 30 100 200 200 701   1   1   52   0   0   0   0   0   1   0   0   0   0   0 100
N_Barrios     19 arg  1  1 16 18 30 100 200 200 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Conechny    19 arg  1  1 16 18 30 100 200 200 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Berterame   19 arg  1  1 14 17 30 100 200 200 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
