Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Claudio_Bravo 34 chi 23  1  1  1 30 362 100 100 100  30   0 2813   1 186  62   0   0   0   0   0   2   0   0 100
David_Soria   24 esp 18  1  1  1 30 647 100 100 100   1   1   27   0   1   1   0   0   0   0   0   0   0   0 100
Miguel_Layún  29 mex  1 21 12  7 30 100 553 401 907  21   0 1578   0   0   0  18  10   5   1   0   7   0   0  83
A_Kolarov     32 srb  1 21 11  7 30 100 461 662 311  19   0 1489   1   0   0  20  15   9   0   0   5   0   0  93
J_Mathieu     34 fra  1 21  2  2 30  85 249 144  88  15   0 1348   0   0   0  23   4   5   0   1   2   0   0  96
D_Carriço     29 por  1 21  1  1 30 100  25 455 470  21   2 1809   1   0   0  31   1   3   0   0   7   0   0  86
Adil_Rami     32 fra  1 20  1  1 30 100 986 477 438  16   3 1352   0   0   0  23   2   0   0   0   2   0   0  93
B_Trémoulinas 32 fra  1 20 12  6 30 100 875 121 577  18   3 1505   0   0   0  22  15   5   0   2   3   0   0  93
André_Almeida 27 por  1 20 10  6 30 100 448 314 148  14   3 1141   0   0   0  18  12   9   0   0   3   0   0 100
N_Pareja      34 arg  1 20  1  1 30 100 394 486 473   8   2  642   0   0   0  12   1   2   0   0   2   0   0 100
Mariano       31 bra  1 19  9  5 30 100 969 680 571   2   1  163   0   0   0   1   0   0   0   0   0   0   0 100
G_Mercado     31 arg  1 19  9  5 30 100 598 676 559   3   3  145   0   0   0   3   2   0   0   0   0   0   0 100
S_N'Zonzi     29 fra  1 18 21  2 30 100 237 444 575  20   2 1685   1   0   0  13  31   7   1   2   6   0   0  86
V_Iborra      30 esp  1 18 20  2 30 100 232 882 534  17   4 1369   0   0   0  16  25   0   0   0   2   0   0 100
M_Krohn-Dehli 34 den  1  8 20 12 30 100 145 989 829  21   0 1623   0   0   0   5  28   9   1   4   9   0   0  90
Lewis_Cook    21 eng  1 12 19  7 30 100 287 624 346  17   3 1253   0   0   0   2  29   7   2   1   6   0   0  93
Á_Di_María    30 arg  1  1 22 21 30 100 955 325  23  22   0 2080   1   0   0   0  27  38   3   3   2   0   0  86
Arda_Turan    31 tur  1  1 21 19 30 100 962 594 662  18   0 1706   2   0   0   0  33  37   4   3   3   0   0  86
Samir_Nasri   30 fra  1  1 21 19 30 100 712  76 532  12   0 1136   0   0   0   0  18  24   4   3   2   0   0 100
Carlos_Bacca  31 col  1  2  2 22 30 100 480 157 260  21   0 1925   3   0   0   1   2  51  12   1   2   0   0  89
Carlos_Vela   29 mex  1  1 19 21 30 100 716  63 811  22   1 1858   1   0   0   0  13  56   7   1   8   0   0  96
Quaresma      33 por  1  2 19 21 30 100 312 383 556  18   6 1222   1   0   0   0   7  34   6   0   1   0   0 100
S_Jovetic     28 mne  1  1  1 20 30 100 776 512 240   9   3  637   1   0   0   0   0  23   3   0   0   0   0 100
W_Ben_Yedder  27 fra  1  1  1 20 30 100 788 536  57   1   1   32   0   0   0   0   0   1   1   0   0   0   0 100
L_Vietto      24 arg  1  1  1 19 30 100 775 535 563   2   0  189   0   0   0   0   0   2   0   0   0   0   0 100
