Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
A_Sidão       36 bra 19  1  1  1 30 448 100 100 100  18   5 1555   0  58  35   0   0   0   0   0   2   0   0 100
Jean_Filho    23 bra 19  1  1  1 30 278 100 100 100  27   0 2453   0  96  45   0   0   0   0   0   2   2   0 100
Lucas_Perri   21 bra 17  1  1  1 30 570 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Martins     31 bra  1 20  1  1 30 100 235 432 410  23   0 2079   0   0   0  26   4   2   0   0   8   0   0 100
Rodrigo_Caio  25 bra  1 20  1  1 30 100 177 426 384  20   1 1804   0   0   0  15   1   1   0   1   1   0   0 100
R_Arboleda    27 ecu  1 20  1  1 30 100 175 397 385  24   5 1947   0   0   0  24   2   2   0   0   1   0   0 100
Reinaldo      29 bra  1 20 11  7 30 100  68 593 461  24   0 2239   1   0   0  27  24  11   1   1   8   0   0 100
A_Santos      27 bra  1 19  1  1 30 100 851 635 626  21   5 1678   0   0   0  22   2   1   0   0   2   0   0 100
Jorge_Fucile  34 uru  1 19 11  7 30 100 733 621 475  20   0 1817   1   0   0  27  26  10   1   1   1   0   0 100
J_Tavares     22 bra  1 19 11  7 30 100 718 639 455  18   0 1682   1   0   0  17  27  10   1   2   1   0   0 100
Stefan_Medina 25 col  1 19  6  5 30 100 406 959 859  19   2 1642   0   0   0  14  17   9   0   0   1   0   0 100
Éder_Militão  20 bra  1 19  1  1 30 100   7 478 428  17   5 1237   0   0   0  16   3   3   0   1   2   0   0 100
Jucilei       30 bra  1 17 20  2 30 100 690 408 477  29   5 2069   2   0   0  22  42   3   1   5   2   0   0 100
Húdson        30 bra  1 15 19  3 30 100 568 445 445  27   9 1695   1   0   0  10  48   5   0   7   1   0   0 100
Petros        29 bra  1 12 21  8 30 100 593  91 506  22   1 1911   0   0   0  10  31  17   1   3   1   0   0 100
Andrés_Tello  21 col  1 11 19  9 30 100 950 629  42  24   2 1941   2   0   0   5  38  20   4   6   2   0   0 100
Diego_Souza   33 bra  1  2 20 17 30 100 395 300 651  24   2 1856   2   0   0   1  42  32   7   5  16   0   0 100
Valdívia      24 bra  1  2 20 17 30 100 504 163 815  26   5 2060   3   0   0   3  36  42  10   5   1   0   0 100
Lucas_Lima    28 bra  1  1 20 16 30 100 630 105 824  24   4 1907   1   0   0   1  33  28   5   4   4   0   0 100
Nenê          37 bra  1  3 20 16 30 100 388 103 761  20   0 1753   3   0   0   0  23  35   9   3   6   0   0 100
Luiz_Adriano  30 bra  1  2  2 21 30 100 938 933 112  24   0 2279   2   0   0   2   7  50  16   0   1   0   0 100
M_Guilherme   23 bra  1  1 17 20 30 100 434 539 334  23   2 2018   3   0   0   0  15  55  11   0   3   0   0 100
C_Stuani      31 uru  1  2  2 20 30 100 879 879  96  22   3 1862   0   0   0   0   0  37   4   0   1   0   0 100
S_Tréllez     28 col  1  1  1 19 30 100 426 412 710  15   9  872   0   0   0   1   2  22   2   0   1   0   0 100
G_Carneiro    23 uru  1  1  1 19 30 100 438 438 247  19   5 1485   0   0   0   0   0  27   5   0   1   0   0 100
