Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Nahuel_Guzmán 32 arg 20  1  1  1 30   7 100 100 100  29   0 2750   0 106  48   0   0   0   0   0   4   0   0 100
Edu_Fernández 26 mex 17  1  1  1 30 300 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Miguel_Ortega 23 mex 17  1  1  1 30 300 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Juninho       36 bra  1 19  1  1 30 100 513 141 128  24   0 1567   0   0   0  20   4   3   0   0   1   0   0  92
Kolodziejczak 27 fra  1 19  1  1 30 100 489  69  70  19   1 1743   0   0   0  21   0   1   0   0   8   0   0  82
D_Bocanegra   31 col  1 19 11  7 30 100 469 212 133  19   0 1792   0   0   0  19  19   7   1   0   3   0   0  86
Jorge_Torres  30 mex  1 19 11  7 30 100 446 360 140  18   1 1589   2   0   0  16  22   9   1   5   2   0   0  96
Luis_Rdguez   27 mex  1 19 11  7 30 100 405 225 109  22   8 1565   1   0   0  21  20   8   0   0   5   0   1  82
I_Jiménez     29 mex  1 19 11  7 30 100 300 182  92  18   4 1286   2   0   0  14  10   8   0   2  15   0   0  86
Hugo_Ayala    31 mex  1 18  1  1 30 100 898  90  91  16   7 1055   0   0   0   8   0   1   0   0   0   0   0 100
Fran_Meza     27 col  1 18  1  1 30 100 421 107 105  12   5  786   0   0   0  11   1   1   0   0   0   0   0 100
J_I_Estrada   35 mex  1 18 11  6 30 100 334 137  91   6   3  397   0   0   0   4   3   1   0   1   0   0   0 100
Rafa_Carioca  29 bra  1 16 19  3 30 100 274 877 125  19   1 1735   2   0   0  16  25   4   1   2   2   0   0  93
Jesús_Dueñas  29 mex  1 18 19  1 30 100 174 683  92  16   4 1204   0   0   0   8  23   2   0   2   7   0   0  93
Luis_Martínez 24 mex  1 15 17  2 30 100 113 341  85   9   5  466   0   0   0   2   8   0   0   0   0   0   0 100
Jorge_Cruz    20 mex  1 12 17  5 30 100 107 168  90   5   2  244   0   0   0   1   4   0   0   0   5   0   0 100
J_F_Torres    31 usa  1 10 18 10 30 100 212 434 293  23   0 1688   1   0   0   6  14  19   4   2   1   0   0  88
Larry_Vásquez 26 col  1 10 17 11 30 100 123 926 143  17   0 1481   0   0   0   3  20  10   1   1   7   0   0  93
Raúl_Torres   22 mex  1 10 17 10 30 100 157 279 138  15   4 1188   1   0   0   3  17  10   0   3   0   0   0  96
Javier_Aquino 28 mex  1  2 19 18 30 100 115 806 347  17   0 1585   1   0   0   1  26  43   5   2   1   0   0 100
T_Anderson    21 bra  1  1 17 16 30 100 128 839 268   9   2  725   0   0   0   1   7  16   4   2   0   0   0 100
A-P_Gignac    33 fra  1  1  1 20 30 100  95  67 725  21   0 1678   0   0   0   1   0  34   2   0   9   0   0  85
Sandro        22 esp  1  1  1 20 30 100 931 924 267  23   6 1527   1   0   0   0   0  26   6   0   0   0   0  98
Jürgen_Damm   26 mex  1  1 17 19 30 100 103 145 733  19   9  948   2   0   0   0   6  24   6   0   1   0   0 100
L_Zelarayán   26 arg  1  1 17 19 30 100  88 102 330  11   7  548   0   0   0   0   2  14   0   0   1   0   0 100
Abel_Hnandez  28 uru  1  1  1 19 30 100 105 112 276   3   2  194   0   0   0   0   1   9   2   0   0   0   0 100
Ismael_Sosa   31 arg  1  1 17 18 30 100 100 100 700   1   1   33   0   0   0   0   0   0   0   0   0   0   0 100
