Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Hugo_Lloris   31 fra 25  1  1  1 30  48 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Michel_Vorm   34 ned 20  1  1  1 30 538 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alex_Meret    21 ita 20  1  1  1 30 460 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Kompany     31 bel  1 23  2  2 30  84 292 550 642   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alderweireld  29 bel  1 23  2  2 30 100 271 495 577   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_van_Dijk    26 ned  1 22  2  2 30 100 874 383 494   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Vertonghen  30 bel  1 22  2  2 30 100 850 427 536   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Danny_Rose    27 eng  1 22 12  7 30 100 505 189 945   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ben_Davies    24 wal  1 22 10  6 30 111 170 821 802   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kevin_Wimmer  25 aut  1 21  2  2 30 100 644 475 588   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Coentrão    29 por  1 20 10  6 30 100 521 792 596   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Eric_Dier     24 eng  1 19 22  2 30 100  91 631 486   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Wanyama     26 ken  1 19 21  2 30 100 139 726 385   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mousa_Dembélé 30 bel  1 14 23  8 30 100 990  26 934   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Sissoko     28 fra  1  6 21 14 30 100 732 501 860   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Eriksen     26 den  1  2 23 21 30 100 503 529 854   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dele_Alli     21 eng  1  2 23 20 30 100 604 233 500   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Érik_Lamela   26 arg  1  2 22 19 30 100 446 143 302   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Cueva       26 per  1  2 21 18 30 100 658 860 130   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Josh_Onomah   20 eng  1  2 19 16 30 100 536 615 927   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gareth_Bale   28 wal  1  2 21 25 30 100 425 931 453   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Immobile    28 ita  1  2  2 22 30 100 468 394 445   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Zivkovic    21 srb  1  2 17 21 30 100 505 776  86   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Janssen     23 ned  1  2  2 20 30 100 582 499 909   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G-K_N'Koudou  23 fra  1  2 18 20 30 100 548 465 448   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
