Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Miguel_Vargas 22 chi 17  1  1  1 30 786 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Álvaro_Ogalde 21 chi 17  1  1  1 30 600 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Voboril     31 arg  1 19 11  7 30 100 950 700 486   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Magnasco    26 chi  1 19 11  6 30 100 689 630 597   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
JP_Fuenzalida 33 chi  1 19 15 10 30 100 597 745 657   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Fer_Cordero   31 chi  1 18 11  6 30 100 948 660 471   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rai_Rebolledo 21 chi  1 18 10  6 30 100 645 555 493   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Kuscevic    22 chi  1 18  1  1 30 100 548 426 418   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Ampuero     25 chi  1 18  1  1 30 100 369 420 425   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Y_Oyanedel    18 chi  1 17 10  6 30 100 927 538 442   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
César_Fuentes 25 chi  1 16 19  2 30 100 552 179 444   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
I_Saavedra    19 chi  1 15 17  2 30 100 686 890 454   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luciano_Aued  31 arg  1 12 19 11 30 100 562 890 473   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Carlos_Lobos  21 chi  1 10 18 11 30 100 521 856 520   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jaime_Carreño 21 chi  1 10 18 10 30 100 454 692 430   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Buonanotte  30 arg  1  2 20 17 30 100 465 216 625   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mark_González 33 chi  1  3 20 17 30 100  36  69 242   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Diego_Rojas   23 chi  1  3 19 15 30 100 494 230 626   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Bolados     22 chi  1  2 19 16 30 100 426   6 658   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Vilches     26 chi  1  1  1 19 30 100 456 400 664   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
David_Llanos  29 chi  1  1  1 19 30 100 431 431 450   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Paredes     37 chi  1  2  2 19 30 100 889 945 444   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Henríquez   19 chi  1  1  1 17 30 100 431 431 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
