Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Johny_Herrera 37 chi 20  1  1  1 30 304 100 100 100  43   0 3976   0 147  40   0   0   0   0   0   2   1   0 100
F_De_Paul     27 arg 18  1  1  1 30 478 105 105 105   5   3  358   0  11   7   0   0   0   0   0   0   0   0 100
Ignacio_Azúa  20 chi 17  1  1  1 30 490 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Beausejour  34 chi  1 19 16  7 30 100 787 640 554  28   1 2384   1   0   0  28  23  15   2   2   9   0   0 100
Gonzalo_Piovi 23 arg  1 18 11  6 30 100 929 572 613  31   2 2693   1   0   0  26  19  20   4   1  16   0   0 100
Matías_Rguez  32 arg  1 18 11  6 30 100 847 635 655  31   2 2856   1   0   0  31  21  23   4   2   2   0   0 100
Fabián_Monzón 31 arg  1 18 11  6 30 100 740 632 609  29   2 2643   2   0   0  24  22  22   3   2  12   0   0 100
N_Gallardo    19 arg  1 17 10  6 30 100 970 532 444  17   3 1374   0   0   0  11  11   4   0   1   6   0   0 100
Léo_Gomes     22 bra  1 17 10  6 30 100 850 598 446  25   1 2325   0   0   0  17  12  11   0   4  12   0   0 100
F_Saavedra    22 chi  1 17 10  6 30 100 771 534 499  27   3 2228   1   0   0  24  12  11   1   1   6   0   0 100
Fabio_Rojas   19 per  1 17 10  6 30 100 643 635 498  21   2 1859   1   0   0  13  22  11   1   2   4   0   0 100
Lucas_Alarcón 18 chi  1 17  1  1 30 100 604 445 443   9   2  724   0   0   0   8   1   1   0   0   1   0   0 100
Erick_Pulgar  24 chi  1 18 20  2 30 100  21  66 920  15   5  933   0   0   0   9  21   4   0   1   2   0   0 100
Lorenzo_Reyes 27 chi  1 17 19  2 30 100 589 925 470  38   6 2647   0   0   0  18  40   5   2   4  21   0   0 100
Rafael_Caroca 29 chi  1 15 19  1 30 100 662 454 445  39  12 2841   2   0   0  16  55   3   0   7   6   0   0 100
Feli_Seymour  31 chi  1 13 19 10 30 100 587 921 650  39   9 2850   2   0   0  10  48  35   4   6  14   0   0 100
Yerko_Leiva   20 chi  1 10 18 10 30 100 558  21 652  31   4 2222   2   0   0   8  55  34   4   4  17   0   0 100
Diego_Valdés  24 chi  1  2 20 19 30 100 856 251 105  12   1 1005   1   0   0   0  13  19   3   1   2   0   0 100
Franz_Schultz 27 chi  1  2 18 16 30 100 454 664 809  32   5 2440   1   0   0   1  24  48   9   1   4   0   0 100
Ángelo_Araos  21 chi  1  1 17 16 30 100 433 627 580  13   5  873   1   0   0   0  12  25   3   3   1   0   0 100
Iván_Rozas    20 chi  1  2 17 15 30 100 440 490 472   2   2   69   0   0   0   0   0   1   1   0   0   0   0 100
Isaac_Díaz    28 chi  1  1  1 19 30 100 448 448 752  18   6 1306   0   0   0   0   0  33   6   0   1   0   0 100
J_Zacaría     28 arg  1  1 17 19 30 100 504 635 432  30   5 2464   2   0   0   2  21  61  12   2   1   0   0 100
Yef_Soteldo   21 ven  1  1 15 19 30 100 471 650 385  27   5 1948   2   0   0   1  17  49   4   4   1   0   0 100
Gonzalo_Bueno 25 uru  1  1 15 19 30 100 468 461 142  12   6  645   0   0   0   1   3  18   2   0   0   0   0 100
F_Arancibia   22 chi  1  1 15 18 30 100 467 503 679  24   3 1877   8   0   0   1   6  64  17   1   3   0   0 100
