Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Malik_Asselah 32 alg 19  1  1  1 30 257 100 100 100   5   0  475   0  45  18   0   0   0   0   0   0   0   0 100
H_Djemili     31 alg 19  1  1  1 30  32 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Raïs_M'Bolhi  32 alg 19  1  1  1 30  26 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Zeghba      27 alg 18  1  1  1 30 840 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Rahmani     28 alg 18  1  1  1 30 800 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Doukha      32 alg 18  1  1  1 30 664 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Farid_Chaâl   24 alg 18  1  1  1 30 221 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Salhi       25 alg 18  1  1  1 30 190 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Ghoulam     27 alg  1 21 13  6 30 100 228  21 726  26   0 2356   2   0   0  19  28  14   2   6   4   0   0 100
Aïssa_Mandi   27 alg  1 20  2  2 30 100 751 853 842   5   0  326   0   0   0   5   0   1   0   0   0   0   0 100
R_Bensebaini  23 alg  1 20  2  2 30 100 396 756 719  27   5 2169   0   0   0  22   6   3   0   0   7   0   0 100
E_Belkalem    29 alg  1 20  2  2 30 100 116 898 878   2   0  160   0   0   0   2   0   0   0   0   0   0   0 100
Carl_Medjani  33 alg  1 19  2  2 30 100 723 902 882   4   1  315   1   0   0  11   2   0   0   0   0   0   0 100
M_Benmoussa   32 alg  1 19 10  6 30 100 473 864 866   4   4  149   0   0   0   4   0   2   0   0   1   0   0 100
D_Benlamri    28 alg  1 19  2  2 30 100 379 879 879   3   3   83   0   0   0   0   0   0   0   0   1   0   0 100
H_Ferhani     25 alg  1 19 10  5 30 100  93 917 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nadir_Belhadj 36 alg  1 18 10  6 30 100 740 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Benyahia    26 alg  1 18  2  2 30 100 644 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Bedrane     26 alg  1 18  2  2 30 100 610 900 900   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mehdi_Lacen   34 alg  1 19 19  2 30 100   1 879 889   2   0  187   1   0   0   4   4   1   0   0   0   0   0 100
Ahmed_Kashi   29 alg  1 17 19  3 30 100 883 560 903   2   0  187   0   0   0   1   0   1   1   0   0   0   0 100
A_Benguit     22 alg  1 17 19  2 30 100 911 210 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Bendebka    26 alg  1 17 19  2 30 100 911  61 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Aït_Ouamar  31 alg  1 17 18  2 30 100 911 970 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Benkhemassa 25 alg  1 16 18  3 30 100 911 840 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Amir_Karaoui  31 alg  1 17 18  2 30 100 911 667 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Omar_Boudoumi 28 alg  1 17 18  2 30 100 911 587 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mehdi_Mostefa 35 alg  1 16 18  3 30 100 911 281 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Bentaleb    23 alg  1 13 21  7 30 100 239 114 196  28   3 2161   2   0   0   9  49  14   1   8   2   0   0 100
Saphir_Taider 26 alg  1 13 20  8 30 100 951 277 951   5   2  351   0   0   0   3   3   2   2   1   0   0   0 100
R_Aït-Atmane  25 alg  1 12 19  8 30 100 926 610 914   2   1  119   0   0   0   0   5   0   0   0   0   0   0 100
Mehdi_Abeid   26 alg  1 11 19  9 30 100 881 554 881   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Walid_Mesloub 33 alg  1 11 19  9 30 100 881 478 882   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Guédioura   32 alg  1 11 19  9 30 100 911 230 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Belkebla    24 alg  1 10 19 10 30 100 911 221 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Makhedjouf  27 alg  1  7 18 12 30 100 900 837 900   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Toufik_Addadi 28 alg  1  8 18 11 30 100 912 787 890   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Hassan_Yebda  34 alg  1  9 18 10 30 100 931 750 953   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
I_Bennacer    20 alg  1  7 18 12 30 100 911 460 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Riyah_Mahrez  27 alg  1  1 21 18 30 100 574 554 523  25   1 2302   4   0   0   2  38  51  13   4   3   0   0 100
R_Boudebouz   28 alg  1  2 21 20 30 100 871 293 964   3   0  288   0   0   0   0   9   4   0   1   0   0   0 100
Y_Benzia      24 alg  1  2 20 19 30 100 900 400 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Bounoua     27 alg  1  3 18 16 30 100 911 840 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sid_A_Aouedj  27 alg  1  3 18 16 30 100 911 627 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Islam_Slimani 29 alg  1  1  1 21 30 100 757 716 508  21   1 1742   2   0   0   1   2  41   5   1   1   0   0 100
E_A_H_Soudani 30 alg  1  2 19 21 30 100 881 927 127   4   1  285   0   0   0   0   2   4   1   1   0   0   0 100
Y_Brahimi     28 alg  1  1 17 21 30 100 489 925  59  23   3 1689   0   0   0   0  15  45   5   2   7   0   0 100
S_Feghouli    28 alg  1  2 19 20 30 100 849 870 723   3   1  158   0   0   0   0   2   1   0   0   0   0   0 100
Nabil_Ghilas  28 alg  1  2  2 19 30 100 900 900 679   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Ghezzal     25 alg  1  1 16 19 30 100  72 230 322  24  22  762   0   0   0   0   3  17   3   0   3   0   0 100
Idir_Ouali    30 alg  1  2 18 19 30 100 908 915 151   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
