Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Claudio_Bravo 34 chi 23  1  1  1 30 282 100 100 100  48   0 4463   1 272 102   0   0   0   0   0   7   0   0 100
Johny_Herrera 37 chi 20  1  1  1 30 304 100 100 100  43   0 3976   0 147  40   0   0   0   0   0   2   1   0 100
C_Toselli     29 chi 19  1  1  1 30 914 100 100 100   7   2  520   0  16  10   0   0   0   0   0   1   0   0 100
Paulo_Garcés  33 chi 19  1  1  1 30 461 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Miguel_Pinto  34 chi 19  1  1  1 30 150 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Diego_Sánchez 30 chi 19  1  1  1 30 130 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Miguel_Vargas 22 chi 17  1  1  1 30 656 100 100 100  11   5  930   0  34  13   0   0   0   0   0   0   0   0 100
Ignacio_Azúa  20 chi 17  1  1  1 30 490 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Álvaro_Ogalde 21 chi 17  1  1  1 30 470 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mauricio_Isla 29 chi  1 20 11  6 30 100 700  64 927   5   0  348   0   0   0   4   4   0   0   1   0   0   0 100
Gonzalo_Jara  33 chi  1 20 12  6 30 100 585 651 269  25   0 2194   3   0   0  37  17  10   2   3   3   0   0 100
Paulo_Díaz    23 chi  1 20  1  1 30 100 379 411 412  27   0 2466   0   0   0  39   2   2   0   0   4   0   0 100
J_Beausejour  34 chi  1 19 16  7 30 100 787 640 554  28   1 2384   1   0   0  28  23  15   2   2   9   0   0 100
M_Albornoz    27 chi  1 19 11  4 30 100 732  11 977   3   0  264   0   0   0   1   4   0   0   0   5   0   0 100
O_González    33 chi  1 19  2  2 30 100 622 919 871   3   2  157   0   0   0   2   0   0   0   0   0   0   0 100
JP_Fuenzalida 33 chi  1 19 15 10 30 100 507 656 587  30   6 2335   1   0   0  35  28  23   3   2   7   0   0 100
C_Cuevas      23 chi  1 19 11  6 30 100 496 944 944   4   0  379   0   0   0   5   5   3   0   0   0   0   0 100
S_Magnasco    26 chi  1 19 11  6 30 100 421 537 563  27   3 2197   1   0   0  30  18  12   3   0   7   0   0 100
P_Magalhães   28 chi  1 19 10  5 30 100 130 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Cereceda    33 chi  1 19 10  5 30 100  30 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Hans_Martínez 31 chi  1 18  2  2 30 100 900 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Fer_Cordero   31 chi  1 18 11  6 30 100 815 635 451  31   9 2355   1   0   0  28  20  14   0   3   4   0   0 100
B_Kuscevic    22 chi  1 18  1  1 30 100 328 406 398  21   4 1671   0   0   0  28   2   2   0   0   9   0   0 100
Rai_Rebolledo 21 chi  1 18 10  6 30 100 281 521 472  23   4 1927   2   0   0  23  18   9   1   0   0   0   0 100
B_Ampuero     25 chi  1 18  1  1 30 100 279 400 405  16   0 1494   1   0   0  19   0   1   0   0   5   0   0 100
F_Saavedra    22 chi  1 17 10  6 30 100 771 534 499  27   3 2228   1   0   0  24  12  11   1   1   6   0   0 100
Y_Oyanedel    18 chi  1 17 10  6 30 100 644 508 419  19   3 1599   2   0   0  13   8   5   0   2   6   0   0 100
Lucas_Alarcón 18 chi  1 17  1  1 30 100 604 445 443   9   2  724   0   0   0   8   1   1   0   0   1   0   0 100
R_Echevarria  23 chi  1 17  1  1 30 100 590 440 440   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gary_Medel    30 chi  1 20 22  2 30 100 332 422 330  33   4 2778   0   0   0  33  60   6   0   5   1   0   0  96
Marcelo_Díaz  32 chi  1 19 21  1 30 100 431 286 393  41   5 3053   2   0   0  22  77   6   0   8   7   0   0 100
Erick_Pulgar  24 chi  1 18 20  2 30 100  21  66 920  15   5  933   0   0   0   9  21   4   0   1   2   0   0 100
Lorenzo_Reyes 27 chi  1 17 19  2 30 100 589 925 470  38   6 2647   0   0   0  18  40   5   2   4  21   0   0 100
Esteban_Pavez 27 chi  1 17 19  2 30 100 922 875 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rafael_Caroca 29 chi  1 15 19  1 30 100 662 454 445  39  12 2841   2   0   0  16  55   3   0   7   6   0   0 100
César_Fuentes 25 chi  1 16 18  2 30 100 529 896 428  26   0 2101   1   0   0   8  35   3   0   4   0   0   0 100
I_Saavedra    19 chi  1 15 17  2 30 100 666 610 434  21   5 1522   0   0   0  17  16   2   0   1   1   0   0 100
Arturo_Vidal  30 chi  1 11 23 11 30 100 433 158 624  31   1 2534   1   0   0   8  37  27   3   4   0   0   0 100
P_Hernández   31 chi  1  8 21 13 30 100 961 293 991   4   0  351   1   0   0   1  10   2   0   2   0   0   0 100
C_Aránguiz    28 chi  1 12 20  8 30 100 652 808 741  22  10 1437   0   0   0   5  21   9   3   0   0   0   0 100
F_Gutiérrez   27 chi  1  8 20 12 30 100 876 440 947   2   2   58   0   0   0   0   3   1   0   0   0   0   0 100
C_Carmona     31 chi  1 13 20  7 30 100 897  45 882   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Feli_Seymour  31 chi  1 13 19 10 30 100 587 921 650  39   9 2850   2   0   0  10  48  35   4   6  14   0   0 100
F_Silva       32 chi  1 12 19  7 30 100 813 893 563   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
David_Pizarro 40 chi  1 12 19 12 30 100 537 797 615  16   1 1453   1   0   0   6  42  16   4   1   0   0   0 100
M_Fernández   31 chi  1  6 19 12 30 100 535 583 587  14  10  651   0   0   0   3  11   5   0   1   0   0   0 100
C_Jorquera    29 chi  1  9 19 10 30 100 911 514 913   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marco_Medel   28 chi  1  8 19 11 30 100 911 250 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Carlos_Lobos  21 chi  1 10 18 11 30 100 482 636 499  25   8 1748   0   0   0   5  23  18   2   2   9   0   0 100
Jaime_Carreño 21 chi  1 10 18 10 30 100 434 572 410  16   2 1419   0   0   0   2  18   6   0   0   2   0   0 100
Yerko_Leiva   20 chi  1 10 18 10 30 100 558  21 652  31   4 2222   2   0   0   8  55  34   4   4  17   0   0 100
F_Orellana    32 chi  1  1 21 19 30 100 886 260 581   3   0  283   0   0   0   0   4   2   0   0   0   0   0 100
J_Valdivia    34 chi  1  2 20 18 30 100 873 696  23   2   0  191   1   0   0   0   3   6   1   1   1   0   0 100
Diego_Valdés  24 chi  1  2 20 19 30 100 856 251 105  12   1 1005   1   0   0   0  13  19   3   1   2   0   0 100
Édson_Puch    31 chi  1  2 20 19 30 100 876 229  39   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mark_González 33 chi  1  2 19 17 30 100 987 988 136  27   3 2087   1   0   0   4  34  33   6   6   1   0   0 100
Bryan_Rabello 23 chi  1  2 19 18 30 100 913 714  24   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Meneses     32 chi  1  2 19 17 30 100 908 285 972   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Diego_Rojas   23 chi  1  3 19 15 30 100 476  11 607  17   4 1387   0   0   0   2  24  23   4   1   3   0   0 100
M_Bolados     22 chi  1  2 18 16 30 100 401 753 597  21   8 1331   1   0   0   0  19  22   5   1   2   0   0 100
Franz_Schultz 27 chi  1  2 18 16 30 100 454 664 809  32   5 2440   1   0   0   1  24  48   9   1   4   0   0 100
Ángelo_Araos  21 chi  1  1 17 16 30 100 433 627 580  13   5  873   1   0   0   0  12  25   3   3   1   0   0 100
Iván_Rozas    20 chi  1  2 17 15 30 100 440 490 472   2   2   69   0   0   0   0   0   1   1   0   0   0   0 100
A_Sánchez     29 chi  1  2 20 25 30 100 101 982  61  33   2 2817   2   0   0   1  20  83  17   4   1   0   0 100
N_Castillo    25 chi  1  1  1 20 30 100 221 221 962  39   2 2910   4   0   0   0   0  85  12   0  12   0   0 100
E_Vargas      29 chi  1  1 17 20 30 100 428 498 408  37  14 2285   0   0   0   0  10  68  12   0   6   0   0 100
J_Fernándes   29 chi  1  2 17 20 30 100 911 918  18   1   0   92   0   0   0   0   0   0   0   0   0   0   0 100
Isaac_Díaz    28 chi  1  1  1 19 30 100 448 448 752  18   6 1306   0   0   0   0   0  33   6   0   1   0   0 100
E_Paredes     37 chi  1  2  2 19 30 100 871 927 677  35   1 2466   5   0   0   0   1  43  10   0  10   0   0 100
A_Vilches     26 chi  1  1  1 19 30 100 436 380 464  34  11 2520   1   0   0   2   0  54  13   0   5   0   0 100
David_Llanos  29 chi  1  1  1 19 30 100 411 411 341  34  10 2429   1   0   0   0   0  36   6   0   7   0   0 100
M_Larrondo    30 chi  1  1  1 18 30 100 440 440 840   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Arancibia   22 chi  1  1 15 18 30 100 467 503 679  24   3 1877   8   0   0   1   6  64  17   1   3   0   0 100
Nico_Guerra   19 chi  1  1  1 18 30 100 440 440 241   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Henríquez   19 chi  1  1  1 17 30 100 411 411 761  12   6  780   0   0   0   0   0   9   3   0   2   0   0 100
