Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Alexander_D   31 ecu 20  1  1  1 30 717 100 100 100   3   0  284   0   3   0   0   0   0   0   0   0   0   0 100
L_Azcona      34 ecu 20  1  1  1 30  61 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Esteban_Dreer 36 ecu 19  1  1  1 30 855 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Piedra      25 ecu 18  1  1  1 30 730 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Valencia    32 ecu  1 22 12  7 30 155  37 947 690  26   1 2197   1   5   5  26  19  10   2   0  12   0   0 100
F_Erazo       31 ecu  1 20  2  2 30 100 839 232 255  29   1 2085   0   0   0  20   3   7   0   0   4   0   0 100
R_Arboleda    27 ecu  1 20  1  1 30 100 175 397 385  24   5 1947   0   0   0  24   2   2   0   0   1   0   0 100
Mario_Pineida 26 ecu  1 20 10  6 30 100 160 901 880   3   0  284   0   0   0   1   0   0   0   0   0   0   0 100
J_C_Paredes   31 ecu  1 20 11  7 30 100  18 158  87  24   2 2068   2   0   0  25  14  11   0   0   5   0   0 100
C_Ramírez     24 ecu  1 19 12  6 30 100 766 945 878   2   1  130   1   0   0   0   2   1   0   1   0   0   0 100
Óscar_Bagüí   35 ecu  1 19 10  6 30 100 636 928 879   2   2   64   0   0   0   0   0   0   0   0   1   0   0 100
G_Achilier    33 ecu  1 19  2  2 30 100 581 868 866   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Arturo_Mina   28 ecu  1 19  2  2 30 100 576 868 868   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jorge_Guagua  37 ecu  1 19  2  2 30 100 369 894 874   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Cruz        26 ecu  1 19 10  6 30 100 245 911 911   2   0  136   0   0   0   0   0   0   0   0   0   2   0 100
X_Arreaga     24 ecu  1 19  2  2 30 100 231 918 911   2   0  188   0   0   0   1   1   0   0   0   0   0   0 100
Luis_Ayala    25 ecu  1 19 10  6 30 100 190 901 901   2   0  188   0   0   0   1   0   0   0   0   0   0   0 100
Andrés_López  25 ecu  1 18 10  5 30 100 730 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Carlos_Gruezo 23 ecu  1 18 19  2 30 100 944 772 912   3   1  218   0   0   0   1   3   0   0   0   0   0   0 100
J_Orejuela    25 ecu  1 18 19  2 30 100 922 708 911   2   1  123   0   0   0   1   1   0   0   0   0   0   0 100
Wílmer_Godoy  24 ecu  1 17 19  3 30 100 971 392 912   2   0  188   0   0   0   1   1   0   0   0   0   0   0 100
Matías_Oyola  36 ecu  1 18 19  2 30 100 931 325 909   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Noboa       33 ecu  1 13 21  8 30 100 909   1 892   5   0  391   0   0   0   0   6   1   0   1   2   0   0 100
F_Gaibor      26 ecu  1 10 19 10 30 100 271 465 208  29   1 2266   0   0   0  10  38  19   2   1   2   0   0 100
J_Montero     29 ecu  1  2 21 20 30 100 851  62  21   2   0  188   1   0   0   0   2   2   0   1   0   0   0 100
Juan_Cazares  26 ecu  1  3 20 19 30 100 921 767 214   1   0   95   0   0   0   0   1   1   1   0   0   0   0 100
M_Arroyo      31 ecu  1  3 20 17 30 100 912 614 921   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Miler_Bolaños 28 ecu  1  2 20 18 30 100 881 322 960   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Efrén_Mera    33 ecu  1  2 19 18 30 100 908 778 898   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Julio_Angulo  28 ecu  1  3 19 17 30 100 911 400 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Preciado    24 ecu  1  2 19 18 30 100 911 221 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Caicedo     30 ecu  1  2  2 21 30 100 895 868  99   5   0  472   0   0   0   0   0   1   1   0   0   0   0  88
José_Angulo   23 ecu  1  1  1 20 30 100 921 921 346  36  10 2412   1   0   0   0   1  40   7   0   0   0   0 100
Fid_Martínez  28 ecu  1  1 16 20 30 100 290 444 337  33  10 2520   3   0   0   2  27  82  12   1   3   0   0 100
B_de_Jesús    23 ecu  1  2  2 20 30 100  70 149 230  26   0 2397   0   0   0   2   1  19   1   0   3   0   0 100
F_Martínez    28 ecu  1  2 18 19 30 100 881 881 659   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Quintero    36 ecu  1  2  2 19 30 100 858 858 527   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joao_Rojas    29 ecu  1  2 18 19 30 100 911 911 400   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Valencia    28 ecu  1  1  1 19 30 100 415 387 149   6   3  341   0   0   0   0   0   4   1   0   1   0   0 100
Jhon_Cifuente 26 ecu  1  2  2 18 30 100 911 911 621   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Carlos_Garcés 28 ecu  1  2  2 18 30 100 911 911 581   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
