Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Jeroen_Zoet   27 ned 22  1  1  1 30 651 100 100 100  40   0 3712   0 218  83   0   0   0   0   0   5   0   0 100
J_Cillessen   28 ned 21  1  1  1 30 224 100 100 100  16   4 1329   0  42  15   0   0   0   0   0   0   0   0 100
Michel_Vorm   34 ned 21  1  1  1 30  48 100 100 100   6   0  563   0  19  11   0   0   0   0   0   0   0   0 100
Tim_Krul      30 ned 20  1  1  1 30 591 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Vermeer     32 ned 20  1  1  1 30 556 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sergio_Padt   27 ned 20  1  1  1 30 230 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Erwin_Mulder  29 ned 20  1  1  1 30  10 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Robbin_Ruiter 31 ned 19  1  1  1 30 911 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Remko_Pasveer 34 ned 19  1  1  1 30  25 100 100 100   7   1  605   0  32  18   0   0   0   0   0   0   0   0 100
Hidde_Jurjus  24 ned 18  1  1  1 30 828  90  90  90   1   1    1   0   0   0   0   0   0   0   0   0   0   0 100
Diederik_Boer 37 ned 18  1  1  1 30 480 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Stekelenburg  35 ned 18  1  1  1 30 357 100 100 100   6   2  483   0  26   5   0   0   0   0   0   0   0   0 100
Luuk_Koopmans 24 ned 18  1  1  1 30 285 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Alblas      23 ned 17  1  1  1 30 391 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_van_Dijk    26 ned  1 22  2  2 30 100 680 336 449  33   0 2626   0   0   0  37   4   6   0   0   8   1   0 100
Jetro_Willems 24 ned  1 21 13  6 30 100 558  44 410  32   1 2793   2   0   0  40  32  13   3   2   3   0   0 100
S_de_Vrij     26 ned  1 21  2  1 30 100 449  44 976  30   4 2529   0   0   0  30   3   2   0   0   6   0   0 100
Jeffrey_Bruma 26 ned  1 21  2  2 30 100 333 864 964  27   0 1998   2   0   0  26   4   4   2   0  13   0   0 100
Daley_Blind   28 ned  1 21 11  6 30 100 193 205 916  30   5 2403   2   0   0  39  23  10   1   1   1   0   0 100
Bruno_M_Indi  26 ned  1 20  2  2 30 100 948 877 941   1   0   96   0   0   0   0   0   0   0   0   0   0   0 100
Kenny_Tete    22 ned  1 20 10  6 30 100 904 779 500  27   3 2344   0   0   0  27  25  16   0   1   2   0   0 100
Rick_Karsdorp 23 ned  1 20 13  7 30 100 839 266 116  28   2 2557   2   0   0  27  37  18   5   4   3   0   0 100
J_Riedewald   21 ned  1 20  2  2 30 100 701 410 532  22   0 2085   0   0   0  26   6   7   0   0   3   0   0 100
T_Kongolo     24 ned  1 20  2  2 30 100 627 875 881   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Daryl_Janmaat 28 ned  1 20 12  6 30 100 441 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joshua_Brenet 24 ned  1 20 12  6 30 100 372 483 196  27   4 1956   2   0   0  20  27   5   1   1   3   0   0 100
Ron_Vlaar     33 ned  1 20  2  2 30 100 339 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Erik_Pieters  29 ned  1 20 10  5 30 100 301 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_van_Aanholt 27 ned  1 20 12  5 30 100 230 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joël_Veltman  26 ned  1 20 10  6 30 100 218 346 136   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sven_van_Beek 23 ned  1 20  2  2 30 100 151 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Dijks       25 ned  1 20 10  5 30 100  91 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Karim_Rekik   23 ned  1 19  2  2 30 100 999 245 228  25   3 2139   1   0   0  28   2   2   0   0   9   0   0 100
Nathan_Aké    23 ned  1 19  1  1 30 100 846 634 626  24  13 1476   1   0   0  18   0   2   0   0   5   0   0 100
N_Viergever   28 ned  1 19  2  2 30 100 836 551 551   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
