Nombre Nacionalidad Edad St Tk Ps Sh Ag expSt expTk expPs expSh Minutos pJugados pSuplente Paradas Encajados Tackles Pases Tiros Goles Asistencias DP Lesion Sancion Fit 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Bernd_Leno ger 26 24 1 1 1 30 66 100 100 100 2967 32 0 161 38 0 0 0 0 0 8 0 0 100 
Ramazan_Özcan aut 33 21 1 1 1 30 36 100 100 100 558 6 1 17 7 0 0 0 0 0 0 0 0 100 
Niklas_Lomb ger 24 18 1 1 1 30 411 100 100 100 0 0 0 0 0 0 0 0 0 0 0 0 0 100 
Ömer_Toprak tur 28 1 22 2 2 30 100 656 308 438 2054 33 0 0 0 27 1 4 0 0 2 0 0 94 
Jonathan_Tah ger 22 1 22 2 2 30 125 634 403 445 2623 28 0 0 0 40 6 4 1 1 8 0 0 82 
A_Dragovic aut 27 1 21 2 2 30 89 950 236 354 2509 27 0 0 0 42 3 4 0 0 1 0 0 88 
Wendell bra 24 1 21 12 6 30 84 328 865 517 1482 23 11 0 1 23 10 7 1 1 3 0 0 100 
Tin_Jedvaj cro 22 1 21 2 2 30 100 55 354 386 1773 23 8 0 0 27 3 8 0 1 0 0 0 100 
B_Henrichs ger 21 1 20 12 6 30 100 597 585 496 1202 16 6 0 0 14 4 3 0 0 1 0 0 100 
R_Hilbert ger 33 1 19 12 6 30 100 753 565 411 538 11 5 0 0 3 3 3 0 0 10 0 0 100 
D_da_Costa ger 24 1 19 11 6 30 100 382 284 397 260 6 6 0 0 3 0 1 0 0 0 0 0 100 
Reece_Oxford eng 20 1 19 1 1 30 100 70 320 320 0 0 0 0 0 0 0 0 0 0 0 0 0 100 
J_Abu_Hanna ger 20 1 17 2 2 30 100 811 281 401 0 0 0 0 0 0 0 0 0 0 0 0 0 100 
Lars_Bender ger 28 1 20 22 2 30 100 352 918 490 2586 28 0 0 0 17 57 6 3 3 8 0 0 88 
Baumgartinger aut 30 1 19 21 2 30 100 66 528 431 1997 31 14 0 0 17 37 2 0 2 6 0 0 94 
Kevin_Kampl svn 27 1 8 22 13 30 100 859 537 949 2265 33 1 0 0 6 45 28 2 4 3 0 0 88 
M_Fellaini bel 30 1 8 21 12 30 100 583 220 765 2350 28 5 0 0 2 46 21 4 3 8 0 0 88 
C_Aránguiz chi 28 1 12 20 8 30 100 498 667 581 1061 16 7 0 0 3 18 7 2 0 0 0 0 100 
V_Yurchenko ukr 24 1 9 18 10 30 100 416 643 394 112 4 4 0 0 0 1 0 0 0 0 0 0 100 
K_Bellarabi ger 27 1 2 22 21 30 100 488 556 6 2646 28 1 0 0 2 32 70 13 2 4 0 0 76 
Julian_Brandt ger 21 1 2 21 19 30 100 391 770 49 1843 19 0 0 0 1 31 43 5 3 1 0 0 88 
D_Cheryshev rus 27 1 2 20 18 30 100 418 450 627 331 4 0 0 0 0 5 3 1 0 1 0 0 100 
Kevin_Volland ger 25 1 2 20 23 30 100 376 86 207 2569 30 0 0 0 2 15 74 8 1 4 0 0 92 
H_Calhanoglu tur 24 1 2 19 22 30 100 475 796 895 2276 35 9 0 0 3 9 65 10 1 5 0 0 100 
M_Batshuayi bel 24 1 2 2 21 30 100 410 216 681 1308 27 16 0 0 3 0 39 10 0 0 0 0 100 
Admir_Mehmedi sui 27 1 2 18 21 30 100 409 648 7 254 7 6 0 0 0 1 6 0 0 0 0 0 100 
S_Kiebling ger 34 1 2 2 20 30 100 350 230 71 32 1 1 0 0 0 0 0 0 0 0 0 0 100 
J_Pohjanpalo fin 23 1 2 2 19 30 100 390 270 403 0 0 0 0 0 0 0 0 0 0 0 0 0 100 
