Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
W_Szczesny    27 pol 23  1  1  1 30  83 100 100 100  38   1 3501   0 190  50   0   0   0   0   0  12   0   0 100
L_Fabianski   32 pol 21  1  1  1 30  38 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Skorupski   26 pol 20  1  1  1 30 350 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Tyton       31 pol 20  1  1  1 30 172 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Dragowski   21 pol 19  1  1  1 30 490 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pawel_Kieszek 33 pol 19  1  1  1 30 401 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Artur_Boruc   38 pol 19  1  1  1 30 221 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Piszczek    32 pol  1 22 12  6 30 100 420 152 660  12   1 1031   0   0   0  20  13   7   0   3   1   0   0 100
Kamil_Glik    30 pol  1 21  1  1 30 144 688 677 656  30   0 2659   2   2   0  27   1   2   1   0  11   0   0 100
A_Jedrzejczyk 30 pol  1 20 13  7 30 100 423 126 949   4   0  343   0   0   0   4   4   2   0   0   2   0   0 100
Michal_Pazdan 30 pol  1 20  2  2 30 100 404 875 875   3   0  288   0   0   0   1   0   0   0   0   0   0   0 100
P_Olkowski    28 pol  1 19 11  6 30 100 931 901 903   5   1  307   0   0   0   7   0   3   0   0   0   0   0 100
B_Bereszynski 25 pol  1 19 11  6 30 100 863 928 862   2   0  116   0   0   0   0   1   1   0   0   5   0   1 100
Igor_Lewczuk  32 pol  1 19  2  2 30 100 662 878 878   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Kaminski    26 pol  1 19  2  2 30 100 510 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Maciej_Rybus  28 pol  1 19  9  5 30 100 359 384 199  20   2 1769   0   0   0  31  19   5   0   2   3   0   0 100
M_Wasilewski  37 pol  1 17  2  2 30 100 929 193 187   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Krychowiak  28 pol  1 19 22  2 30 100 800 569 381  36  16 2027   0   0   0  15  50   7   1   4   1   0   0 100
E_Polanski    32 pol  1 18 20  3 30 100  82 816 876   2   0  192   0   0   0   1   3   1   0   1   0   0   0 100
T_Jodlowiec   32 pol  1 16 19  3 30 100 946 433 913   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Janusz_Gol    32 pol  1 17 19  2 30 100 954 428 860   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Zielinski   23 pol  1  7 22 14 30 100 709 339 174  33   3 2630   0   0   0   5  55  36   4   4   4   0   0 100
Karol_Linetty 23 pol  1 13 20  7 30 100 965 388 965   4   1  278   0   0   0   2   2   1   0   0   1   0   0 100
K_Maczynski   30 pol  1 11 19  8 30 100 927 847 916   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mateusz_Klich 27 pol  1  7 19 12 30 100 888 750 922   3   1  227   0   0   0   0   2   2   0   1   1   0   0 100
Blasczykowski 32 pol  1  2 20 19 30 100 880 921 195   3   0  284   0   0   0   0   3   4   1   0   1   0   0 100
Pawel_Wszolek 25 pol  1  2 19 18 30 100 876 899  42   2   2   74   0   0   0   0   1   0   0   0   0   0   0 100
M_Kucharczyk  27 pol  1  2 19 17 30 100 881 473 890   1   1   37   0   0   0   0   1   0   0   1   0   0   0 100
L_Obraniak    33 pol  1  2 19 16 30 100 898 275 898   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Kapustka    21 pol  1  2 18 16 30 100 190 489 836   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Lewandowski 29 pol  1  2  2 25 30 100 266 567  38  34   4 2704   2   0   0   2   1  86  13   0   6   0   0 100
A_Milik       24 pol  1  2  2 22 30 100 287 208  13  30   4 2358   2   0   0   0   3  92   9   0   1   0   0 100
L_Teodorczyk  26 pol  1  2  2 20 30 100 878 878 746   3   1  116   0   0   0   0   0   3   0   0   0   0   0 100
Artur_Sobiech 27 pol  1  2  2 19 30 100 898 898 711   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Stepinski   22 pol  1  2  2 19 30 100 922 911 642   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
