Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Rui_Patrício  30 por 22  1  1  1 30 646 100 100 100  41   4 3689   0 177  75   0   0   0   0   0   2   0   0 100
Anthony_Lopes 27 por 21  1  1  1 30 448 100 100 100  36   0 3367   1 166  76   0   0   0   0   0   2   0   0 100
Marafona      30 por 20  1  1  1 30 306 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Miguel_Silva  22 por 19  1  1  1 30 900 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mika          27 por 19  1  1  1 30 641 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Beto          35 por 19  1  1  1 30 480 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Paulo_Lopes   29 por 19  1  1  1 30 170 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
André_Moreira 22 por 19  1  1  1 30 134 100 100 100   2   0  179   0  10   5   0   0   0   0   0   0   0   0 100
José_Sá       25 por 18  1  1  1 30 858 100 100 100   1   1   58   0   6   2   0   0   0   0   0   0   0   0 100
Eduardo       35 por 18  1  1  1 30  92 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Guerreiro   24 por  1 21 11  6 30 100 951 765 494  23   0 2126   0   0   0  31  17  21   0   1   7   0   0 100
Nélson_Semedo 24 por  1 21 13  6 30 100 803 120 661  31   0 2863   1   0   0  26  27  20   1   3   8   0   0 100
Pepe          35 por  1 21  2  2 30 100 643  32  47  21   0 1579   1   0   0  27   2   1   0   0   4   0   0 100
R_Pereira     24 por  1 21 12  7 30 100 467 750 559  32   0 2926   1   0   0  23  16  27   4   0   6   0   0  98
Rúben_Semedo  24 por  1 21  2  2 30 100 420 688 782  25   3 2178   0   0   0  26   5  11   1   0   1   0   0 100
D_Carriço     29 por  1 21  1  1 30 100 314 560 586  36   8 2947   1   0   0  54   1   5   0   0   7   0   0  98
João_Cancelo  23 por  1 21 12  6 30 100 208 693  71  24   9 1803   0   0   0  18  26   8   1   2   2   0   0 100
Rolando       32 por  1 20  2  2 30 100 816 187 184  27   0 2427   0   0   0  38   2   5   0   0  10   0   0 100
P_Oliveira    26 por  1 20  2  2 30 100 657 871 872   1   0   96   0   0   0   1   0   1   0   0   0   0   0 100
Rúben_Vezo    23 por  1 20  2  2 30 100 615 705 539  25   4 2054   0   0   0  28   4   8   0   1   3   0   0 100
Mário_Rui     26 por  1 20 12  6 30 100 602 224  16  18   0 1486   0   0   0  23   9   7   0   0   9   0   0 100
André_Almeida 27 por  1 20 10  6 30 100 594 449 283  15   3 1237   0   0   0  20  13  12   0   0   4   0   0 100
Cédric_Soares 26 por  1 20 12  6 30 100 580 677 671   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
José_Fonte    35 por  1 20  2  2 30 100 512 720 712   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Coentrão    29 por  1 20 10  6 30 100 462 738 556  17   9 1134   1   0   0   7  10   9   1   2   0   0   0  98
Rúben_Dias    21 por  1 20  1  1 30 100 353 507 450  20   1 1884   0   0   0  23   4   3   0   1   1   0   0 100
Ivo_Pinto     28 por  1 20 12  6 30  90 215 931 911   2   0  152   0   0   0   1   1   0   0   0   0   0   0 100
F_Venâncio    25 por  1 20  2  2 30 100  89 900 901   2   1  131   0   0   0   1   0   0   0   0   0   0   0 100
Pedro_Mendes  27 por  1 19  2  2 30 100 862 901 901   1   1   38   0   0   0   0   0   0   0   0   0   0   0 100
Rafa_Soares   22 por  1 19 11  6 30 100 770 917 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pedro_Pereira 20 por  1 19 10  5 30 100 448 614 287  18   1 1542   0   0   0  22   9   5   0   1   1   0   0 100
W_Carvalho    25 por  1 20 22  2 30 100 144 686 427  28   2 2418   1   0   0  19  52   9   1   4   9   0   0 100
D_Pereira     26 por  1 19 22  2 30 100 920 395 604  35  11 2550   1   0   0  17  48   6   2   7   4   0   0 100
Miguel_Veloso 31 por  1 17 20  2 30 100 291 733 603  25   5 1981   1   0   0  20  35   4   0   3   2   0   0 100
Rúben_Neves   21 por  1 17 20  3 30 100 505 561 140  28  10 1973   0   0   0   7  43   5   0   4   2   0   0 100
D_Bragança    19 por  1 15 18  3 30 100 638 805 429  20   1 1795   2   0   0  15  27   1   0   2   6   0   0 100
André_Gomes   24 por  1 14 23  7 30 100 896  68 709  32   5 2619   2   0   0  16  62  21   1   7   3   0   0 100
Pizzi         28 por  1  7 21 14 30 100 399 886 714  21   4 1745   0   0   0   4  34  14   1   3   3   0   0 100
Adrien_Silva  29 por  1 14 21  7 30 100 879 599 925   2   0  191   1   0   0   0   7   2   1   0   0   0   0 100
João_Mário    25 por  1  8 21 13 30 100  46 579 199  17   2 1445   1   0   0   3  26  13   3   2   2   0   0 100
João_Moutinho 31 por  1 12 20  7 30 100 909 917 707  24   2 1818   2   0   0  12  27  13   1   3  12   0   1 100
André_Horta   21 por  1  8 20 12 30 100 149 799 670  23   0 2075   0   0   0   7  25  20   3   1  10   0   1 100
M_Fernandes   32 por  1  7 20 13 30 100 731 460 731   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
André_André   28 por  1  6 20 13 30 100 865 389 930  25   2 2118   1   0   0   6  35  21   2   2   8   0   0 100
Tiago         36 por  1 14 20  7 30 100 664 378 637   4   2  218   0   0   0   2   2   1   0   0   5   0   0 100
Renato_S      20 por  1  7 20 12 30 100 805 327  13  19   0 1796   0   0   0   3  34  28   3   1   4   0   0 100
João_Pedro    25 por  1 11 20 11 30 100 507 287 462  21   0 1918   0   0   0   5  36   6   1   1   9   0   0 100
André_Martins 28 por  1  8 20 12 30 100 920 176 924   2   0  134   0   0   0   0   1   2   0   0   0   0   0 100
Cafú          25 por  1 13 20  7 30 100 946 146 912   2   0  188   0   0   0   0   4   0   0   0   0   0   0 100
Rúben_Amorim  33 por  1 11 19  8 30 100 671 167 792   1   1   26   0   0   0   0   0   1   0   0   0   0   0 100
B_Silva       23 por  1  1 21 18 30 100 796 784 752  32   4 2596   2   0   0   0  27  58  11   6   2   0   0 100
Rafa_Silva    24 por  1  1 21 19 30 100 998 487 362  30   8 2313   3   0   0   1  28  43   5   3   5   0   0 100
