Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
V_Babacan     30 tur 20  1  1  1 30 688 100 100 100   5   0  472   1  34  25   0   0   0   0   0   0   0   0 100
Onur_Kivrak   30 tur 20  1  1  1 30 450 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Harun_Tekin   29 tur 20  1  1  1 30 190 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Kirintili   33 tur 19  1  1  1 30 990 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Demirel     37 tur 19  1  1  1 30 650 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ramazan_Köse  30 tur 19  1  1  1 30  21 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ömer_Toprak   28 tur  1 22  2  2 30 100 893 430 552  46   0 2836   0   0   0  44   3   5   0   0   3   0   0 100
Gökhan_Gönül  33 tur  1 20 13  8 30 100 734  63 902   3   0  281   0   0   0   5   5   1   0   1   0   0   0 100
Caner_Erkin   30 tur  1 20 12  7 30 100 453 962 974   3   0  281   0   0   0   2   0   3   0   0   0   0   0 100
S_Özbayrakli  28 tur  1 20 11  6 30 100 273 971 868   2   0  189   0   0   0   3   2   0   0   0   1   0   0 100
H_A_Kaldirim  28 tur  1 20 11  7 30 100 170 910 846   3   0  214   0   0   0   1   2   1   0   0   5   0   1 100
C_Söyüncü     22 tur  1 20  2  2 30 100 137 918 912   1   0   95   0   0   0   3   1   1   0   0   0   0   0 100
Ahmet_Calik   24 tur  1 20  2  2 30 100 118 881 882   1   0   93   0   0   0   2   0   0   0   0   0   0   0 100
Mehmet_Topal  32 tur  1 19 20  2 30 100 950 860 892   2   0  189   0   0   0   0   1   0   0   0   0   0   0 100
Okay_Yokuslu  24 tur  1 20 20  2 30 100  21 411 893   2   0  191   0   0   0   2   5   0   0   0   1   0   0 100
Ozan_Tufan    23 tur  1 18 20  3 30 100 942 403 912   3   0  281   0   0   0   3   3   0   0   0   0   0   0 100
O_Özyakup     26 tur  1  8 21 14 30 100 923 727  57  38  10 2604   2   0   0   3  66  30   2   6   8   0   0 100
Nuri_Sahin    29 tur  1 13 20  7 30 100 653 468 581  19  16  799   1   0   0   1  16   9   2   1   0   0   0 100
Selcuk_Inan   33 tur  1 13 20  8 30 100 911 272 879   1   0   47   0   0   0   0   0   0   0   0   0   0   0 100
Tolga_Cigerci 26 tur  1 12 20  8 30 100 911  80 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mehmet_Güven  31 tur  1 11 19  9 30 100 911 611 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Zeki_Yildirim 27 tur  1 12 19  8 30 100 911 570 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Aydogdu     27 tur  1  8 19 12 30 100 911 440 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Durak       31 tur  1 10 19 10 30 100 911 350 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Furkan_Özcal  28 tur  1 10 19 10 30 100 911 150 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Arda_Turan    31 tur  1  2 21 19 30 100  89 822 804  24   0 2277   2   0   0   0  43  41   4   5   5   0   0 100
Yunus_Malli   26 tur  1  3 20 19 30 100 943 949  51   3   1  236   0   0   0   1   6   7   0   2   0   0   0 100
Emre_Colak    27 tur  1  3 20 18 30 100 915 854 952   3   0  281   0   0   0   1   6   6   0   0   0   0   0 100
Gökhan_Töre   26 tur  1  2 20 19 30 100 953 784 994   3   0  284   0   0   0   0   4   6   0   0   0   0   0 100
Alper_Potuk   27 tur  1  2 20 19 30 100 911 527 916   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mehmet_Ekici  28 tur  1  2 20 19 30 100 938 508 978   1   0   96   0   0   0   0   1   2   1   0   0   0   0 100
Cengiz_Ünder  20 tur  1  2 20 19 30 100 964 412  65  34  25 1489   1   0   0   2  22  27   3   4   3   0   0 100
Salih_Ucan    24 tur  1  3 20 18 30 100 911 261 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Deniz_Türüc   25 tur  1  2 20 19 30 100 911 230 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Yusuf_Yazici  21 tur  1  2 20 18 30 100 911 130 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kerim_Frei    24 tur  1  2 19 18 30 100 911 860 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Yusuf_Erdogan 26 tur  1  2 19 18 30 100 911 830 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Orkan_Cinar   22 tur  1  2 19 18 30 100 911 731 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Emrah_Bassan  26 tur  1  3 19 17 30 100 911 570 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tayfur_Bingöl 25 tur  1  3 18 16 30 100 911 621 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Akbunar     24 tur  1  2 18 17 30 100 911 540 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Emre_Kilinc   24 tur  1  3 18 16 30 100 911 440 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Calhanoglu  24 tur  1  2 19 23 30 100 622 969 273  48  14 3142   3   0   0   4  14 105  15   2   5   0   0 100
Cenk_Tosun    27 tur  1  2  2 20 30 100 898 871 907   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Burak_Yilmaz  33 tur  1  2  2 20 30 100 881 881 550   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Enes_Ünal     21 tur  1  2  2 20 30 100 911 911 281   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Serdar_Gürler 27 tur  1  2 18 20 30 100 911 917 267   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Volkan_Sen    31 tur  1  2 18 20 30 100 911 911 150   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Emre_Mor      20 tur  1  2 17 20 30 100 468 504  40  39  16 1983   0   0   0   0  13  53  11   0   5   0   0 100
Olcay_Sahan   31 tur  1  2 17 19 30 100 911 911 990   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
