Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
F_Muslera     31 uru 21  1  1  1 30 915 100 100 100   2   1  168   0  10  10   0   0   0   0   0   1   0   0 100
M_Campaña     28 uru 20  1  1  1 30 200 100 100 100  33   0 2800   0 118  65   0   0   0   0   0   2   0   0 100
Sergio_Rochet 25 uru 19  1  1  1 30 610 100 100 100   1   0   96   0   8   2   0   0   0   0   0   0   0   0 100
Goicoechea    30 uru 19  1  1  1 30 370 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sebas_Sosa    31 uru 19  1  1  1 30 339 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kevin_Dawson  26 uru 18  1  1  1 30 706 100 100 100  34   0 3179   0 105  47   0   0   0   0   0   1   0   0 100
Esteban_Conde 35 uru 18  1  1  1 30 546 100 100 100   2   1  157   0   1   4   0   0   0   0   0   0   0   0 100
A_Freitas     21 uru 17  1  1  1 30 606 100 100 100   5   0  415   0  16   5   0   0   0   0   0   0   0   0 100
Franco_Israel 18 uru 17  1  1  1 30 286 100 100 100  19   4 1650   0  72  42   0   0   0   0   0   2   0   0 100
T_Cardozo     22 uru 17  1  1  1 30 186 100 100 100   2   2  115   0   4   3   0   0   0   0   0   0   0   0 100
Diego_Godín   32 uru  1 23  2  2 30 100 530 567 475  31   2 2661   0   0   0  42   4   6   0   0  11   0   0 100
José_Giménez  23 uru  1 22  2  2 30 100 682 593 494  37   8 2948   0   0   0  42   3   6   0   1   3   0   0 100
Sebas_Coates  27 uru  1 21  2  2 30 100 335 196 129  27   3 2380   0   0   0  32   3   3   1   1   3   0   0 100
Mau_Lemos     22 uru  1 21  2  1 30 100 312 121 998  30   4 2373   0   0   0  34   1   2   0   0   5   0   0 100
M_Caceres     31 uru  1 21 12  8 30 100  12 773 635  25   0 1953   1   0   0  26  16   8   0   3   7   0   0 100
Fede_Ricca    23 uru  1 20 12  6 30 100 424 728 549  25   4 2067   2   0   0  16  26  16   2   3   4   0   0 100
Maxi_Pereira  33 uru  1 20 12  5 30 106 340 257 779  22   3 1809   1   0   0  20  23   9   0   0   3   0   0 100
G_Alcoba      33 uru  1 20  2  2 30 100 226 753 885  23   0 1959   0   0   0  16   5   3   0   0   9   0   0 100
Emiliano_V    23 uru  1 20  2  2 30 100 210 892 893   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Miguel_Britos 32 uru  1 20  2  2 30 100 190 901 901   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Suárez      29 uru  1 20 12  6 30 100  77 879 835   1   0   95   0   0   0   3   0   0   0   0   0   0   0 100
Diego_Polenta 26 uru  1 19  1  1 30 100 914 101  95  23   7 1742   1   0   0  21   1   1   0   0   3   0   0 100
M_Saracchi    20 uru  1 19 11  7 30 100 910 552 538  25   4 2066   2   0   0  23  16   8   2   0   0   0   0 100
Camilo_Mayada 27 uru  1 19 16 10 30 100 796 674 535  17   2 1387   2   0   0  20  25  11   2   3   2   0   0 100
F_Formiliano  25 uru  1 19  1  1 30 100 771  91  92  32   2 2098   0   0   0  27   0   1   0   0   2   0   0 100
Gastón_Silva  23 uru  1 19 11  7 30 100 771 329 213  23   0 1953   2   0   0  30  22   8   3   4   7   0   0 100
Jorge_Fucile  34 uru  1 19 11  7 30 100 733 621 475  20   0 1817   1   0   0  27  26  10   1   1   1   0   0 100
Alex_Silva    28 uru  1 19 10  5 30 100 621 894 883   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ramón_Arias   26 uru  1 19  1  1 30 100 479 120 104  26   0 2371   0   0   0  32   3   1   0   0   3   0   0 100
Guille_Varela 25 uru  1 19 11  7 30 100 443 273 149  27   0 2528   0   0   0  30  24  10   2   2   6   0   0 100
M_Olivera     26 uru  1 19 11  6 30 100 431 905 859   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Erick_Cabaco  22 uru  1 19  2  2 30 100 141 911 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Espino      26 uru  1 18 11  6 30 100 906 313 175  23   4 1948   1   0   0  26  23  11   1   2   0   0   0 100
Gonzalo_Godoy 30 uru  1 18  1  1 30 100 880 396 404  19   1 1750   0   0   0  24   0   4   0   0   7   0   0 100
Alexis_Rolín  29 uru  1 18  1  1 30 100 679  81  82  23   4 1954   0   0   0  18   0   1   0   0   7   0   0 100
Rodrigo_Rojo  29 uru  1 18 11  7 30 100 444 241 160  25   4 2017   3   0   0  18  17   9   1   1   2   0   0 100
M_Corujo      32 uru  1 18 11  6 30 100 399 197 169  24  10 1691   0   0   0  22  12  14   1   1   4   0   0 100
Luc_Hernández 26 uru  1 18 11  6 30 100 241 128 104  10   2  828   0   0   0   8   5   3   0   0   1   0   0 100
L_Maldonado   33 uru  1 18  1  1 30 100  90 440 440   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Matías_Viña   21 uru  1 17 10  6 30 100 703 502 548  19   0 1686   2   0   0  19  11  15   2   0   5   0   0 100
Guzmán_Corujo 22 uru  1 17  1  1 30 100 490 440 440   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Agustín_Rogel 21 uru  1 17  1  1 30 100 397  87  85  26   9 1867   0   0   0  22   2   3   0   0   1   0   0 100
L_Torreira    22 uru  1 17 20  3 30 100 746 760 286  30   4 2421   0   0   0  22  38   6   0   5   9   0   0 100
W_Gargano     34 uru  1 18 20  1 30 100 366   1 143  25   4 2082   2   0   0  25  43   3   1   6   2   0   0 100
Diego_Rguez   28 uru  1 16 19  3 30 100 384 881 205  30   7 2262   1   0   0  21  36   4   2   1   2   0   0 100
D_Arismendi   30 uru  1 16 19  3 30 100 341 627 144  22   1 1933   0   0   0  20  30   8   1   2   2   0   0 100
G_Brugman     25 uru  1 16 19  3 30 100 915 349 915   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Facundo_Píriz 28 uru  1 17 19  2 30 100 911 250 911   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_A_Ríos      36 uru  1 17 18  2 30 100 901 681 901   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marcel_Novick 35 uru  1 15 18  3 30 100 251 306 123  22   8 1511   0   0   0  13  24   3   1   1   3   0   0 100
G_Pereira     27 uru  1 15 18  3 30 100 184 204 101  11   7  574   0   0   0   6   5   1   0   1   0   0   0 100
Gabi_Neves    21 uru  1 14 17  3 30 100 440 490 440   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Oliva       22 uru  1 15 17  2 30 100 233 388  91  21   4 1653   0   0   0  11  17   4   0   2   3   0   0 100
Diego_Laxalt  25 uru  1 11 20  9 30 100 675 945 752  32   0 2531   0   0   0   6  57  22   4   3   8   0   0 100
M_Vecino      26 uru  1 13 20  7 30 100 968 806 930   4   2  265   0   0   0   1   3   2   0   0   0   0   0 100
S_Cristóforo  24 uru  1 13 20  7 30 100 845 627 732  35   2 2613   0   0   0  12  44   9   1   4   3   0   0 100
N_Nández      23 uru  1 12 20 14 30 100 589 512 650  25   3 2174   1   0   0   9  51  34   3   4   2   0   0 100
M_Pereyra     28 uru  1  7 20 13 30 100 896 359 916   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tata_González 34 uru  1 12 20 12 30 100 257  37 187  26   5 2034   3   0   0  11  33  21   2   2   5   0   0 100
R_Betancur    20 uru  1 10 19  9 30 100 545 876 720  33  15 2082   0   0   0   3  33  16   4   3   2   0   0 100
F_Valverde    20 uru  1  8 19 11 30 100 130 831 308  24   3 2041   1   0   0   2  29  27   4   5   1   0   0 100
Luis_Aguiar   33 uru  1 10 19 10 30 100 107 590 174  21   0 1905   2   0   0   1  40  10   2   4   1   0   0 100
Seb_Rodríguez 26 uru  1 11 18 10 30 100 229 972 145  24   6 1817   0   0   0   8  24  12   1   1   0   0   0 100
Sant_Romero   28 uru  1 10 18 11 30 100 190 880 235  22   7 1408   0   0   0   5  21  22   2   2   0   0   0 100
F_Waller      21 uru  1  8 18 10 30 100 491 597 491  17   0 1399   0   0   0   3  17  11   1   0   6   0   0 100
F_Martínez    20 uru  1 11 17 11 30 100 158 983 132  18   5 1327   1   0   0   5  25   9   1   2   6   0   0 100
Maxi_Lemos    25 uru  1 10 17  7 30 100 439 941 460   1   0   94   0   0   0   1   3   1   1   0   0   0   0 100
G_Ramirez     28 uru  1  2 22 20 30 100 338  80 593  29   1 2575   7   0   0   3  39  64  15   4  11   0   0 100
C_Sánchez     33 uru  1  2 20 19 30 100 881 909 286  23   0 2076   2   0   0   0  32  57   7   6   1   0   0 100
