Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Leao_Butrón   41 per 19  1  1  1 30 311 100 100 100  29   0 2674   0 118  48   0   0   0   0   0   8   0   0 100
Daniel_Prieto 23 per 18  1  1  1 30  61 100 100 100   2   1  187   1  12   1   0   0   0   0   0   0   0   0 100
Ángelo_Campos 25 per 17  1  1  1 30 314 100 100 100   1   0   96   0   0   1   0   0   0   0   0   0   0   0 100
C_Ramos       29 per  1 20  2  2 30 100 874 714 770  20   2 1772   0   0   0  20   2   9   0   0   1   0   0  76
Carlos_Ascues 26 per  1 19 15  1 30 100 571 597 271  20   1 1841   1   0   0  18  34   0   0   4   2   0   0  76
H_Riojas      27 per  1 19  1  1 30 100  74 248 246  14   2 1280   0   0   0  24   1   0   0   0   7   0   0 100
G_Gambetta    27 per  1 18  1  1 30 100 758 277 273  13   0 1242   0   0   0   8   1   3   0   0   0   0   0 100
Luis_Garro    22 per  1 18 11  6 30 100 732 388 328  16   1 1403   2   0   0  20  18  10   1   0   4   0   0  76
Gonzalo_Godoy 30 uru  1 18  1  1 30 100 696 266 273  13   1 1210   0   0   0  20   0   3   0   0   2   0   0 100
Miguel_Araujo 24 per  1 18  1  1 30 100 556 301 295  12   0 1061   0   0   0  16   3   3   0   0   5   0   0 100
F_Duclós      22 per  1 17 10  6 30 100 801 323 341  17   0 1508   0   0   0  14   9   8   2   1  11   0   0  76
Tomás_Costa   33 arg  1 15 18  3 30 100 350 625 327  12   0 1146   2   0   0   5  34   4   1   3   0   0   0 100
A_Fuentes     20 per  1 15 17  2 30 100 410 708 292  16   0 1526   0   0   0   9  22   4   0   1   3   0   0  76
José_Cotrina  21 per  1 14 17  3 30 100 275 544 260   4   0  342   0   0   0   1  12   0   0   0   5   0   0 100
Luis_Ramírez  34 per  1 12 20 12 30 100 354  59 572  17   0 1621   4   0   0   5  32  29   7   2   3   0   0  76
R_Cruzado     34 per  1 12 19 12 30 100 346 845 507  19   0 1729   1   0   0   5  42  34   4   5   7   0   0  76
Óscar_Vílchez 32 per  1 10 19 11 30 100 372 693 392  16   0 1532   0   0   0   5  42  21   2   4   4   0   0  76
Maxi_Lemos    25 uru  1 10 17  7 30 100 299 801 320   1   0   94   0   0   0   1   3   1   1   0   0   0   0 100
A_Hohberg     27 per  1  2 18 16 30 100 300 723 589  15   0 1437   3   0   0   1  16  29   8   2   1   0   0  76
Mario_Velarde 28 per  1  3 18 15 30 100 320 611 396  13   0 1242   0   0   0   2  15  15   3   2   1   0   0 100
Yordy_Reyna   24 per  1  2 15 20 30 100 759 817  73  19   0 1768   3   0   0   1   9  64  11   1   7   0   0  76
Gabriel_Leyes 28 uru  1  1  1 19 30 100 263 263 244  13   0 1122   0   0   0   0   0  24   3   0   1   0   0 100
Janio_Pósito  29 per  1  1  1 19 30 100 268 268  43  13   0 1242   0   0   0   0   0  25   2   0   1   0   0 100
Kevin_Quevedo 21 per  1  1 15 17 30 100 288 358 655  15   1 1362   0   0   0   0  10  41   2   0   1   0   0 100
E_Ramírez     20 per  1  1 15 17 30 100 283 382 608  15   0 1254   1   0   0   0  11  32   3   1   1   0   0 100
