Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
D_Subasic     33 cro 22  1  1  1 30 428 100 100 100  31   0 2940   0 153  50   0   0   0   0   0   1   0   0 100
L_Badiashile  20 fra 17  1  1  1 30 296 100 100 100   1   0   98   0   2   0   0   0   0   0   0   0   0   0 100
K_Koulibaly   26 sen  1 21  2  2 30 100 932  12  50  16   1 1335   0   0   0  23   1   3   0   0   1   0   0 100
Kamil_Glik    30 pol  1 21  1  1 30 100 659 696 674  20   0 1764   2   0   0  21   1   1   1   0   9   0   0  94
Phil_Jones    26 eng  1 21  2  2 30 100 328   3  55  17   1 1453   0   0   0  17   0   3   1   0   2   2   0 100
L_Kurzawa     25 fra  1 21 12  7 30 100 289 523 257  18   1 1501   0   0   0  18  12   7   2   0  20   0   0 100
Jemerson      25 bra  1 20  1  1 30 100 539 598 613  17   5 1259   1   0   0  19   0   1   0   0   2   0   0 100
B_Mendy       23 fra  1 20 12  5 30 100 415 144 847  18   4 1333   0   0   0  16  10   6   2   0   3   0   0 100
Pol_Lirola    20 esp  1 19 12  5 30 100 661   1 796  13   2 1099   0   0   0  16  11   7   0   1   2   0   0 100
Jorge         22 bra  1 19 10  5 30 100  69 856 745  14   1 1167   1   0   0  13   5   3   2   1   5   0   0 100
Almamy_Touré  21 mli  1 18  9  4 30 100 658 803 692   6   1  523   0   0   0   6   0   1   0   0   1   0   0 100
Abdou_Diallo  21 fra  1 18  1  1 30 100 381 671 666   4   0  383   0   0   0   5   1   0   0   0   1   0   0 100
Fabinho       24 bra  1 18 21  2 30 100 215 550 831  21   0 1855   1   0   0  16  32   7   1   7   2   0   0 100
Kévin_N'Doram 22 fra  1 14 18  2 30 100 806  19 692  11   4  766   1   0   0   4  17   2   0   1   0   0   0 100
A_Iniesta     33 esp  1  8 24 16 30 100 276 618 265  21   0 1757   1   0   0   1  38  25   2   4   8   0   0  94
João_Moutinho 31 por  1 12 20  7 30 100 802 856 716  17   1 1422   1   0   0   5  19  10   1   2   6   0   0 100
Y_Tielemans   20 bel  1  8 20 11 30 100 980 842 103  19   2 1505   0   0   0   7  22   9   3   3   7   0   0 100
N_Barella     21 ita  1  9 19 10 30 100 156 938 124  12   4  920   0   0   0   3  12   2   1   1   2   0   0 100
Thomas_Lemar  22 fra  1  1 21 19 30 100 492 194 873  22   2 1869   2   0   0   0  22  41   6   1   6   0   0  70
G_Boschilia   22 bra  1  1 19 16 30 100 562 182 194  16   4 1256   1   0   0   0  17  20   5   3   1   0   0 100
Thomas_Müller 28 ger  1  1 20 23 30 100 587 437 773  24   2 1958   2   0   0   1  16  58  12   5   8   0   0  88
Kylian_Mbappé 19 fra  1  1 12 21 30 100 586 874  28  30  11 1788   1   0   0   1   3  49   9   0   4   0   0 100
Malcom        21 bra  1  2 17 20 30 100 207 283 394  22  10 1322   1   0   0   1   8  45   5   2   6   0   0 100
