Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Sergio_Romero 31 arg 20  1  1  1 30 847 100 100 100  25   0 2372   1 101  22   0   0   0   0   0   1   0   0 100
Chris_Vargas  29 col 18  1  1  1 30 418 100 100 100   6   0  572   0  15   5   0   0   0   0   0   1   0   0 100
F_Erazo       31 ecu  1 20  2  2 30 100 697  89 108  23   1 1645   0   0   0  19   3   3   0   0   3   0   0  84
Feli_Aguilar  25 col  1 19  1  1 30 100 628 285 289  22   4 1811   0   0   0  29   1   3   0   0   6   0   0  76
Camilo_Zuñiga 33 col  1 19 15  7 30 100 597 405 330  22   3 1624   0   0   0  21  12   6   1   2   4   0   0  76
H_Palacios    25 col  1 19 11  6 30 100 110 381 338  23   3 1885   0   0   0  19  10   4   1   1   0   0   0  76
Rafa_Delgado  28 arg  1 18 11  6 30 100 435 453 272  19   5 1397   1   0   0  10  12   3   0   4  10   0   0 100
Kevin_Sibille 20 arg  1 18  1  1 30 100 190 326 300  24  11 1547   1   0   0  16   1   5   0   1   1   0   0 100
Carlos_Cuesta 19 col  1 17  1  1 30 100 595 276 285  15   5 1101   0   0   0  23   1   3   0   0   8   0   0 100
Hadier_Borja  21 col  1 17 10  6 30 100 491 344 266  12   2 1021   0   0   0  14  13   5   0   0   6   0   0 100
Sergio_Peña   22 per  1 15 19  3 30 100 679  95 308  21   3 1742   1   0   0  10  36   5   1   5   1   0   0  76
B_Zuculini    25 arg  1 16 18  2 30 100 333 798 320  16   4 1281   1   0   0   5  23   4   1   1   1   0   0 100
Ignacio_Fdez  28 arg  1 12 20 12 30 100 336 216 376  20   0 1581   2   0   0   4  28  16   2   3   1   0   0  76
Daniel_Torres 28 col  1 10 19  8 30 100 798 327 805  19   5 1408   0   0   0   3  21   9   1   0   3   0   0 100
Érik_Lamela   26 arg  1  2 21 18 30 100 298 751 986  20   2 1590   4   0   0   0  33  32   5   2   0   0   0  84
Diego_Perotti 29 arg  1  1 20 17 30 100 531 177 991  16   1 1322   1   0   0   1  15  16   2   0   7   0   0 100
M_Torres      34 col  1  2 19 17 30 100 263 889 464  16   2 1170   1   0   0   0  18  24   5   0   6   0   0  76
G_Castellani  31 arg  1  8 18 14 30 100 333 957 369  10   2  677   0   0   0   3   7  11   2   2   5   0   0 100
JP_Nieto      25 col  1  2 18 16 30 100 273 916 337  13   9  621   0   0   0   0  15  10   1   2   1   0   0 100
Dorlan_Pabón  30 col  1  2 19 21 30 100 370 725 451  26   4 1794   1   0   0   0  13  46   7   3   4   0   0  84
Víctor_Ibarbo 28 col  1  2 11 21 30 100  59 331 257  26   7 1798   1   0   0   1   6  29   3   0   8   0   0  76
E_Vargas      29 chi  1  1 17 20 30 100 286 328  90  25   9 1509   0   0   0   0   6  43   7   0   2   0   0 100
J_Lucumí      23 col  1  1 15 18 30 100 279 370 981  18   9 1102   2   0   0   0  13  28   3   0   3   0   0 100
