Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
David_de_Gea  27 esp 24  1  1  1 30 837 100 100 100  24   0 2213   0 105  35   0   0   0   0   0   1   0   0 100
J_Cillessen   28 ned 21  1  1  1 30 104 100 100 100  11   3  903   0  31   8   0   0   0   0   0   0   0   0 100
Jordi_Masip   29 esp 18  1  1  1 30 830 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gerard_Piqué  31 esp  1 22  2  2 30 100 978 398 451  19   1 1704   0   0   0  15   3   9   1   1   8   0   0  94
Jordi_Alba    29 esp  1 22 14  7 30 100 838 181 640  19   0 1839   2   0   0  30  21  16   1   3   5   0   0 100
M_Musacchio   27 arg  1 22  2  2 30 100 104 558 425  17   1 1633   0   0   0  13   6   2   0   1   1   0   0 100
Joel_Matip    26 cmr  1 22  2  2 30 100   8 123 115  17   0 1552   0   0   0  16   1   4   0   0   2   0   0  94
Dante         34 bra  1 21  2  2 30 100 437 283 175  13   1 1263   0   0   0  10   0   2   1   0   1   0   0 100
V_Chiriches   28 rou  1 20  2  2 30 100 637 370 355  11   0 1047   1   0   0  10   1   2   0   0   0   0   0 100
Rick_Karsdorp 23 ned  1 20 12  6 30 100 605 972 823  17   1 1525   1   0   0  17  19   8   2   3   0   0   0 100
H_Badstuber   29 ger  1 19  1  1 30 100 983 770 753   4   0  384   0   0   0   3   1   2   0   0   0   0   0 100
David_Carmona 21 esp  1 18 11  6 30 100 891 331 321  10   0  867   1   0   0   6   8   2   1   0   5   0   0 100
S_Busquets    29 esp  1 20 23  3 30 100  46 637 656  23   2 1895   1   0   0  14  46   8   1   1   4   0   0  94
D_Pereira     26 por  1 19 22  2 30 100 735  87 414  22   8 1524   1   0   0  13  29   5   1   5   4   0   0  94
Kevin_Stewart 24 eng  1 17 19  2 30 100 309 375 160   4   0  384   0   0   0   3   5   1   0   1   1   0   0 100
Thiago        26 esp  1  8 23 15 30 100 485 473  35  22   3 1842   2   0   0   1  40  26   6   3   2   0   0 100
André_Gomes   24 por  1 14 22  7 30 100 633 776 555  20   3 1674   2   0   0   8  45  14   1   5   2   0   0 100
Sergi_Roberto 26 esp  1 13 21  8 30 100 538 320 570  14   0 1282   0   0   0   6  18   7   3   3   6   0   0 100
Bernardeschi  24 ita  1  2 21 20 30 100 335 907 475  20   2 1566   2   0   0   1  22  46  11   2   2   0   0 100
B_Silva       23 por  1  1 21 18 30 100 651 537 424  21   2 1686   2   0   0   0  17  43   6   4   2   0   0 100
Lionel_Messi  30 arg  1  2 22 26 30 100 343 327 338  28   2 1902   2   0   0   0  21  59  12   1   7   0   0 100
Paulo_Dybala  24 arg  1  2 19 24 30 100 191 555 310  26   7 1841   0   0   0   0   8  67  14   0  12   0   0 100
Mauro_Icardi  25 arg  1  1  1 21 30 100 830 845 846  25  14 1418   2   0   0   0   2  34   8   0   2   0   0 100
Ahmed_Musa    25 nga  1  2  2 19 30 100 239 401 966   7   3  458   0   0   0   0   1  11   0   1   1   0   0 100
