Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Ederson       24 bra 23  1  1  1 30  20 100 100 100  27   0 2480   0  64  27   0   0   0   0   0   1   0   0 100
T_Strakosha   23 alb 20  1  1  1 30 776 100 100 100   3   1  236   0   8   3   0   0   0   0   0   0   0   0 100
Sven_Ulreich  29 ger 20  1  1  1 30  61 100 100 100   3   1  212   0   6   4   0   0   0   0   0   0   0   0 100
Philipp_Lahm  34 ger  1 23 20  7 30  98 588 527 549  32   1 2141   0   0   0  28  41  21   1   4   3   0   0  88
David_Alaba   25 aut  1 23 20  7 30 100 213 442 641  19   3 1425   0   0   0  12  33   8   2   3   2   0   0  96
S_Mustafi     25 ger  1 22  2  2 30 100 572 377 494  19   4 1557   1   0   0  23   1   7   2   0   1   0   0 100
A_Laporte     23 fra  1 22  2  2 30 100 443 352 394  25   8 1841   0   0   0  12   3   5   2   0   1   0   0  94
Marquinhos    23 bra  1 22  2  2 30 100 436 342 328  19   4 1563   0   0   0  16   2   2   0   0   4   0   0 100
P_Mertesacker 33 ger  1 21  2  2 30 100 399 350 294  17   3 1423   0   0   0  18   4   3   0   0   2   0   0 100
Elseid_Hysaj  24 alb  1 21 10  6 30 100 313 868 532  19   3 1614   0   0   0  12  15   8   1   3   2   0   0 100
F_Coentrão    29 por  1 20 10  6 30 100 289 511 370  11   4  817   0   0   0   5   6   8   0   0   0   0   0 100
Granit_Xhaka  25 sui  1 18 22  3 30 100 939 934 313  16   0 1485   0   0   0   9  35   3   0   5   9   0   0 100
L_Fejsa       29 srb  1 19 22  2 30 100 937 216 322  14   0 1352   2   0   0   8  35   2   0   6   1   0   0  88
B_Stambouli   27 fra  1 18 19  1 30 100  14 770 865   2   0  187   0   0   0   1   1   0   0   0   0   0   0 100
Paul_Pogba    25 fra  1 11 24 12 30 100 794 673 185  28   0 1985   4   0   0   2  67  23   7  11   8   0   0  94
M_Pjanic      27 bih  1 13 23  9 30 100 714 243 524  26   9 1732   1   0   0   9  50  22   3   4   6   0   0  98
Paulinho      29 bra  1 14 21  7 30 100 778 708 757  22   6 1686   1   0   0   8  38  14   3   2   7   0   0  94
Sergi_Darder  24 esp  1 11 21  9 30 100 411 110 262  17  12  814   0   0   0   5   7  10   1   0   1   0   0 100
Dani_Parejo   28 esp  1  1 21 18 30 100 815 480 795  15   0 1449   2   0   0   2  26  35   5   4   1   0   0 100
Leroy_Sané    22 ger  1  2 21 20 30 100 240 392 271  15   0 1425   2   0   0   1  13  61  11   1   2   0   0 100
Gareth_Bale   28 wal  1  2 21 24 30 100 298 769 949  31   3 1987   5   0   0   0   6  87  14   0   4   0   0  86
José_Callejón 31 esp  1  2 19 23 30 100 427 806 209  22   7 1635   3   0   0   0   3  48  16   0   6   0   0 100
Vitolo        28 esp  1  2 19 21 30 100  92 414 862  21  10 1220   1   0   0   0   4  30   5   0   0   0   0 100
M_Oyarzabal   20 esp  1  2 18 21 30 100 246 636 334  20  10 1237   1   0   0   0   5  41   5   1   0   0   0 100
