Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
M_Campaña     28 uru 20  1  1  1 30 310 100 100 100  27   0 2305   0 114  55   0   0   0   0   0   1   0   0 100
Damián_Albil  38 arg 18  1  1  1 30 321 100 100 100  10   3  848   0  32  14   0   0   0   0   0   0   0   0 100
Franco_Vélez  21 arg 17  1  1  1 30 300 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Bustos      21 arg  1 19 11  7 30 100 758 212 143  19   0 1522   0   0   0  26  14   4   1   1   1   0   0  88
Gastón_Silva  23 uru  1 19 11  7 30 100 741 304 183  17   0 1421   1   0   0  26  17   7   2   4   2   0   0  76
F_Amorebieta  32 ven  1 19  1  1 30 100 729  96 100  22   1 1671   0   0   0  13   1   3   0   0   3   2   0  92
Juan_S_Miño   28 arg  1 19 17 11 30 100 616 315 242  19   1 1735   2   0   0  15  27  15   4   3   2   0   0  76
Jorge_Figal   23 arg  1 19  1  1 30 100 566  86  97  19   5 1482   0   0   0  17   0   2   0   0   2   0   0  94
Alan_Franco   21 arg  1 19  1  1 30 100 436  97 128  21   7 1578   0   0   0  19   3   3   1   0   7   0   0 100
J_Gutiérrez   34 arg  1 19 15 10 30 100 416 244 154  19   5 1489   1   0   0  15  16   8   2   3   2   0   0 100
E_Brítez      25 arg  1 18 11  6 30 100 737 207  98  14   1 1225   0   0   0  14  14   7   0   1   1   0   0 100
R_Moreira     21 arg  1 18  1  1 30 100 663  95  88  11   1  951   1   0   0  15   1   0   0   0   1   0   0 100
Diego_Rguez   28 uru  1 16 19  3 30 100 286 819 185  23   7 1656   1   0   0  15  30   4   2   1   7   0   1 100
N_Domingo     32 arg  1 17 19  2 30 100 208 726  84  19   5 1451   0   0   0  11  28   4   0   3   2   0   0 100
F_Gaibor      26 ecu  1 10 19 10 30 100 205 419 256  22   1 1625   0   0   0   6  30  21   3   1   2   0   0  82
C_Ortiz       25 arg  1 10 17 10 30 100 224 575 220  24   4 1678   1   0   0   7  32  17   2   3   2   0   0  88
Maxi_Meza     26 arg  1  3 20 17 30 100  76 402 230  20   1 1688   0   0   0   0  25  36   2   3   7   0   0  76
Gastón_Togni  20 arg  1  2 18 16 30 100  77 423 300  19   5 1461   2   0   0   0  27  25   5   3   9   0   0  88
D_Blanco      22 arg  1  1 17 16 30 100  90 374 213  10   2  821   0   0   0   0  12  13   3   0   0   0   0 100
Silvio_Romero 27 arg  1  1  1 20 30 100 105 112 612  17   1 1487   1   0   0   0   1  43   7   0   0   0   0  88
E_Gigliotti   30 arg  1  1  1 20 30 100 109  88 592  20   0 1698   2   0   0   1   1  33   9   0   2   0   0  84
Leandro_Fdez  26 arg  1  1 12 19 30 100  96 195 848  20   7 1314   1   0   0   0   7  27   3   2   2   0   0 100
J_Menéndez    23 arg  1  1 16 19 30 100  85 197 748  21  10 1058   1   0   0   0  10  30   7   2   0   0   0 100
F_Pizzini     24 arg  1  1 16 19 30 100 100 142 587  14   8  856   1   0   0   0   6  13   2   0   0   0   0 100
M_Benítez     22 arg  1  1 17 18 30 100  80 108 848  11   2  919   0   0   0   0   4  14   3   0   0   0   0 100
Gonzalo_Verón 28 arg  1  1  1 18 30 100 100 100 606   4   1  263   0   0   0   0   0   2   0   0   0   0   0 100
Braian_Romero 26 arg  1  1 16 18 30 100 100 135 500   5   4  293   0   0   0   0   5   0   0   0   0   0   0 100
