Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Cássio        31 bra 20  1  1  1 30 491 100 100 100  29   0 2572   0  95  45   0   0   0   0   0   7   0   0 100
Walter        31 bra 18  1  1  1 30 820 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Caíque_França 23 bra 18  1  1  1 30 758 100 100 100   7   3  560   0  37   7   0   0   0   0   0   0   0   0 100
Éder_Balanta  26 col  1 21  2  2 30 100 197 737 804  28   0 2054   1   0   0  24   3   4   1   0  13   0   0  94
Fágner        29 bra  1 20 11  8 30 100 356 601 348  23   0 2024   2   0   0  36  24  12   0   5  11   0   0  88
F_Balbuena    27 par  1 20  1  1 30 100  78 300 300  22   0 1895   1   0   0  26   0   0   0   0   5   0   0  88
Vilson        30 bra  1 19  1  1 30 100 962 319 312  20   0 1661   0   0   0  24   1   0   0   0   4   0   0  88
P_Henrique    23 bra  1 19  1  1 30 100 734 318 304  23   5 1733   0   0   0  23   2   0   0   0   8   0   0  94
Sidcley       25 bra  1 18 11  7 30 100 738 427 311  19   7 1248   0   0   0  20  11   5   0   2   6   0   0 100
Marllon       26 bra  1 18  1  1 30 100 675 310 311  17  10 1020   1   0   0  15   0   1   0   0   0   0   0 100
Léo_Príncipe  22 bra  1 18 10  6 30 100  95 362 324  10   3  698   0   0   0   7   7   3   0   0   6   0   0 100
J_Capixaba    21 bra  1 18 10  6 30 100  66 328 333   9   8  430   0   0   0   3   1   4   0   0   2   0   0 100
Gabriel       26 bra  1 16 19  3 30 100 379 786 311  21   1 1749   1   0   0   6  33   2   0   3   7   0   0  88
Renê_Júnior   29 bra  1 16 19  3 30 100 491 681 369  22   3 1781   1   0   0  14  22   9   1   1   3   0   0  88
Paulo_Roberto 31 bra  1 15 19  3 30 100 396  68 317  11   7  625   0   0   0   6   8   1   0   0   4   0   0 100
Diego_Laxalt  25 uru  1 11 20  9 30 100 550 702 518  25   0 2042   0   0   0   5  40  14   1   2   4   0   0  88
Maycon        21 bra  1 10 19 11 30 100 279 194 295  19   6 1351   0   0   0   0  20   8   0   4   8   0   0 100
Rodriguinho   30 bra  1  2 19 17 30 100 358 701 444  21   2 1728   2   0   0   2  23  21   3   2   3   0   0 100
Marq_Gabriel  28 bra  1  2 19 17 30 100 343 589 415  20   2 1473   1   0   0   2  28  19   3   3   8   0   0 100
Mateus_Vital  20 bra  1  2 18 16 30 100 335 756 373  14   6  870   1   0   0   1  14  11   1   0   1   0   0 100
Pedrinho      20 bra  1  3 18 15 30 100 320 491 364   7   6  321   0   0   0   0   3   5   1   0   0   0   0 100
Raúl_Ruidíaz  27 per  1  1  1 21 30 100 748 816 123  26   2 1858   0   0   0   1   0  40   7   0  14   0   0  88
M_Gómez       22 uru  1  1  1 20 30 100 318 262 746  28   1 1955   2   0   0   2   0  43   9   0   9   0   0  92
Ángel_Romero  26 par  1  1 17 19 30 100 301 405 977  24  13 1225   0   0   0   0  12  20   5   1   2   0   0 100
Lucca         28 bra  1  1 16 19 30 100 320 369 757  15   8  828   2   0   0   0   7  23   3   0   0   0   0 100
Clayson       23 bra  1  1  1 18 30 100 298 298 452   7   6  291   0   0   0   0   0   4   0   0   1   0   0 100
