Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Fábio         38 bra 20  1  1  1 30  93 100 100 100  27   0 2500   0  95  34   0   0   0   0   0   0   5   0 100
Rafael        29 bra 18  1  1  1 30 808 100 100 100   6   1  503   0  30  12   0   0   0   0   0   0   0   0 100
Lucas_França  22 bra 17  1  1  1 30 250 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Vitor_Eudes   20 bra 17  1  1  1 30 150 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Manoel        28 bra  1 19  1  1 30 100 760  87  80  19   0 1306   0   0   0  12   1   0   0   0   0   0   0  88
Ezequiel      25 bra  1 19 11  7 30  68 709 249 227  19   0 1589   0   0   2  19  14   7   3   2   3   0   0  76
Digão         30 bra  1 19  1  1 30 100 686  93  96  19   1 1632   0   0   0  20   1   0   0   0   2   0   0  76
Egídio        32 bra  1 19 11  7 30 100 636 101 119  19   2 1385   0   0   0  16   5   6   1   0   7   6   0  84
Léo           30 bra  1 19  1  1 30 100 433  73  73  18   2 1537   0   0   0  15   0   0   0   0   1   0   0  88
Dedé          30 bra  1 19  1  1 30 100 258  82  73  20   6 1421   0   0   0   8   2   1   0   0   6   0   0 100
M_Hermes      23 bra  1 18 11  6 30 100 521 202  93  17   4 1374   2   0   0  13  14   3   0   1   1   0   0 100
M_Cerqueira   21 bra  1 18  1  1 30 100 433  68  74  19  10 1205   0   0   0  15   0   2   0   0   1   0   0 100
Edílson       32 bra  1 18 11  6 30 100 374 154 104  12   6  707   0   0   0   6   8   2   0   0   1   0   0 100
Victor_Luiz   21 bra  1 17 10  6 30 100 624 121 101   4   2  264   1   0   0   2   3   1   0   0   0   0   0 100
Arthur        19 bra  1 17  1  1 30 100 298  98  98   4   3  234   0   0   0   0   0   0   0   0   1   0   0 100
F_Augusto     24 bra  1 18 20  2 30 100 416 549 209  14   0 1291   0   0   0   8  15   1   0   2   0   0   0 100
Henrique      33 bra  1 17 19  2 30 100 174 625  95  18   5 1379   0   0   0   8  21   4   0   0   1   0   0 100
Lucas_Romero  24 arg  1 16 19  3 30 100 173 467 145  15   3 1174   0   0   0   6  22   3   1   1   0   0   0 100
F_Mancuello   29 arg  1  8 19 12 30 100 299 751 176  21   1 1544   0   0   0  10  18   7   2   2   3   0   0  76
Lucas_Silva   25 bra  1 12 19 12 30 100 131 717 131  19   1 1518   0   0   0   3  17   5   1   1   0   0   0  76
Ariel_Cabral  31 arg  1 13 19 10 30 100 123 650  72  17   3 1396   0   0   0   4  13   5   0   0   3   0   0  76
Bruno_Silva   32 bra  1  7 19 11 30 100 162 391 157  16   8  792   0   0   0   3  11  10   1   1   2   0   0 100
Thiago_Neves  33 bra  1  3 20 17 30 100 112 577 205  17   0 1611   2   0   0   1  27  12   3   6   2   0   0  76
Rafinha       35 bra  1  2 19 17 30 100  78 694 123  10   3  811   0   0   0   0  14   4   1   1   1   0   0 100
Robinho       31 bra  1  2 19 17 30 100 100 328 106   3   2  188   0   0   0   0   4   2   0   0   0   0   0 100
Willian_José  26 bra  1  2  2 21 30 100  21 148   2  19   0 1630   2   0   0   0   1  24   6   0   1   0   0  84
Fred          35 bra  1  1  1 20 30 100 109  88 456  21   5 1494   0   0   0   1   1  16   5   0   2   0   0 100
Rafael_Sóbis  33 bra  1  1  1 19 30 100  85  85 995  17   4 1224   0   0   0   0   0  27   3   0   5   0   0 100
R_Marques     35 bra  1  1  1 18 30 100 126  98 930  16   5  913   0   0   0   1   0  13   2   0   1   0   0 100
Sassá         24 bra  1  1  3 18 30 100  88  95 860  11   8  462   0   0   0   0   1   7   2   0   1   0   0 100
Carlos_Auzqui 27 arg  1  1 16 18 30 100 100 107 500   3   3  115   0   0   0   0   1   0   0   0   0   0   0 100
David         23 bra  1  1 16 18 30 100 100 100 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
