Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Marcelo_Grohe 31 bra 21  1  1  1 30 133 100 100 100  35   0 3275   0 122  41   0   0   0   0   0   0   1   0 100
Paulo_Victor  31 bra 19  1  1  1 30 412 100 100 100   1   1   46   0   2   1   0   0   0   0   0   0   0   0 100
Léo           23 bra 17  1  1  1 30 520 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
W_Kannemann   27 arg  1 20  1  1 30 100 714 346 335  33   1 2138   0   0   0  31   3   2   0   0   5   0   0  96
Pedro_Geromel 33 bra  1 20  1  1 30 100 237 325 312  25   7 1747   1   0   0  23   2   1   0   0  12   0   0  88
Paulo_Miranda 30 bra  1 20  1  1 30 100 157 331 332  22   3 1898   0   0   0  32   1   3   0   0   3   0   0  88
M_Oliveira    31 bra  1 20 11  7 30 100  11 401 448  21   5 1707   1   0   0  14  10  15   2   0   2   0   0 100
Léo_Moura     40 bra  1 19 11  7 30 100 588 455 462  25   6 1962   1   0   0  18  21  13   3   0   6   0   0 100
Bressan       25 bra  1 19  1  1 30 100  30 336 337  19   7 1356   0   0   0  14   0   1   0   0   2   0   0 100
Madson        26 bra  1 18 11  6 30 100 902 468 419  14   0 1283   0   0   0   7  13   6   2   2   0   0   0 100
Bruno_Cortês  31 bra  1 18 11  6 30 100 835 429 418  14   6  947   3   0   0   9  11   8   2   1   2   0   0 100
Michel        28 bra  1 16 20  3 30 100 399 342 303  17   0 1609   0   0   0   8  42   4   0   6   5   0   0  88
Ramiro        25 bra  1 15 20 10 30 100 448 320 371  21   5 1589   0   0   0  10  37  19   0   3   6   0   0 100
Jailson       23 bra  1 17 19  2 30 100 433 997 354  17   0 1615   1   0   0  11  32   4   1   4   2   0   0 100
Arthur        22 bra  1 12 22 12 30 100 371 292 418  36   1 2226   2   0   0   3  57  30   0  11   5   0   0  94
Maicon        33 bra  1 10 19 10 30 100 438 958 449  21   5 1649   1   0   0   7  33  16   3   4   0   0   0  88
C_Carbonero   27 col  1  6 19 13 30 100 967 730 136  30  24 1310   0   0   0   1  31  19   2   2   3   0   0 100
Pablo_Fornals 22 esp  1  2 20 18 30 100 378 741 474  18   0 1639   1   0   0   3  30  25   4   2  14   0   0  88
V_Vázquez     31 esp  1  4 19 15 30 100 376 925 782  18   1 1644   3   0   0   2  35  54  10   3   2   0   0 100
Vinícius_Lima 22 bra  1  2 18 16 30 100 320 620 320   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
André_Silva   22 por  1  2  2 21 30 100 373 321 858  37   3 2307   4   0   0   2   0  69  18   0   9   0   0  88
Luan          25 bra  1  1 12 21 30 100 329 438 287  24   5 1910   4   0   0   0  12  61  16   1   3   0   0  88
Alisson       25 bra  1  1 17 20 30 100 313 431 247  23  11 1463   3   0   0   0  14  53  12   1   6   0   0  88
Everton       22 bra  1  1 17 20 30 100 288 412 143  24  17 1193   0   0   0   0  12  46   9   2   6   0   0 100
Jael          30 bra  1  1  1 19 30 100 320 320 720   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
