Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
S_Handanovic  33 svn 23  1  1  1 30 576 100 100 100  29   0 2637   0 147  63   0   0   0   0   0   3   2   0 100
J_P_Carrizo   33 arg 19  1  1  1 30 367 100 100 100   3   2  229   0  15   9   0   0   0   0   0   0   0   0 100
Andrei_Radu   20 rou 17  1  1  1 30 574 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Miranda       33 bra  1 22  2  2 30 100 781 150 166  24   1 1811   0   0   0  25   2   0   0   0   4   0   0  94
C_Ansaldi     31 arg  1 21 12  7 30 100 803 962 557  20   1 1709   1   0   0  25  21  17   1   1   2   0   0  88
L_Tonelli     28 ita  1 21  2  2 30 100   1 263 358  16   2 1285   0   0   0  18   2   6   0   0   6   0   0 100
Davide_Santon 27 ita  1 20 12  6 30 100 771 585 316  17   3 1340   0   0   0  17  14   6   1   2  11   0   0 100
L_Antonelli   31 ita  1 20 12  6 30 100 741 805 472  19   5 1484   0   0   0  11  17   9   1   1   4   0   0 100
M_Andreolli   31 ita  1 20  2  2 30 100 265  83 242  16   4 1182   0   0   0  11   1   3   1   0   8   0   0 100
D_D'Ambrosio  29 ita  1 20 10  6 30 100 160 409 326  18   5 1362   1   0   0  17  13  12   2   0   3   0   0 100
T_Sainsbury   26 aus  1 20  2  2 30 100 110 120 155  13   4 1004   0   0   0  15   0   2   0   0   1   0   0 100
Gary_Medel    30 chi  1 20 22  2 30 100 101 110 179  22   2 1844   0   0   0  24  39   5   0   4   1   0   0  88
T_Bakayoko    23 fra  1 17 21  3 30 100 765 697 177  21   0 1746   1   0   0  21  41   8   0   5   7   0   0  88
Éver_Banega   29 arg  1  6 22 15 30 100 444 862 873  24   4 1807   0   0   0   1  52  24   3   5   5   0   0  94
M_Brozovic    25 cro  1 13 22  8 30 100 654 183 555  21   1 1847   2   0   0   3  44  15   3   4   3   0   0 100
R_Gagliardini 23 ita  1 14 20  6 30 100 376 831 311  16   0 1477   0   0   0   5  39   9   1   3   6   0   0 100
Juan_Mata     29 esp  1  2 22 20 30 100 312 685 539  25  11 1694   4   0   0   2  33  66   7   4   2   0   0 100
A_Candreva    31 ita  1  2 21 20 30 100 254 360 561  26   4 1676   3   0   0   1  31  54  11   3  11   0   0 100
Brahim_Díaz   19 esp  1  2 18 16 30 100 270 402 283  13  10  671   0   0   0   0   9   5   0   1   0   0   0 100
S_El_Shaarawy 25 ita  1  2 19 22 30 100  75 756 525  19   0 1682   2   0   0   0  14  71  11   3   6   0   0 100
Gabriel_B     21 bra  1  2 17 21 30 100 246 313 810  18   2 1438   2   0   0   2   8  63  12   0   3   0   0 100
G_Lapadula    28 ita  1  2  2 20 30 100 383 241 525  17   4 1344   1   0   0   2   0  46   8   0   2   0   0 100
G_Simeone     21 arg  1  2 13 20 30 100 436 452 228  13   1 1214   1   0   0   0   1  33   4   0   0   0   0 100
A_Pinamonti   18 ita  1  2  2 17 30 100 161  87 900   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
