Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
R_Zapata      40 col 19  1  1  1 30 717 100 100 100  26   0 2473   1 118  36   0   0   0   0   0   2   0   0 100
L_Castellanos 34 col 18  1  1  1 30 930 100 100 100   7   1  629   0  24  13   0   0   0   0   0   1   0   0 100
Y_Mosquera    22 col 17  1  1  1 30 150 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Miguel_Solís  35 col 17  1  1  1 30 150 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Balanta     28 col  1 19 11  7 30 100 444 171 146  21   1 1430   0   0   0  19  11   5   1   0   3   0   0  88
W_Tesillo     28 col  1 19  1  1 30 100 305  92  90  18   0 1469   0   0   0  10   1   1   0   0   5   0   0  64
Javier_López  30 col  1 19  1  1 30 100 106  76  87  19   0 1681   0   0   0  31   0   2   0   0   7   0   0  64
V_Giraldo     33 col  1 18 11  6 30 100 915 194  72  19   1 1701   0   0   0  19  16   4   0   1   7   0   0  64
Héctor_Urrego 26 col  1 18  1  1 30 100 338  77  70  15   2 1212   0   0   0  18   1   0   0   0  10   0   0  97
Carlos_Henao  30 col  1 18  1  1 30 100 284  72 104  19   6 1349   0   0   0  16   2   1   1   0  11   0   0  88
C_Arboleda    32 col  1 18 11  6 30 100 265 198  94  18   5 1379   0   0   0  12   9   3   0   2   1   0   0  84
J_D_Valencia  32 col  1 18 11  6 30 100 226 164 119  19   7 1361   1   0   0  10  14   5   1   0   2   0   0 100
Nicolás_Gil   21 col  1 17  1  1 30 100 200  78  78  14   9  723   0   0   0   6   0   0   0   0   6   0   0 100
José_Moya     26 col  1 17  1  1 30 100 174  88  90   9   7  442   0   0   0   3   0   2   0   0   1   0   0 100
B_Perlaza     26 col  1 16 18  2 30 100 205 493  99  17   1 1542   0   0   0   9  31   3   0   2   1   0   0 100
Y_Gordillo    26 col  1 15 18  3 30 100 196 352 109  20  10 1237   1   0   0   7  21   3   0   3   1   0   0 100
D_Mosquera    20 col  1 10 17 10 30 100  76 322  46  20   0 1394   0   0   0   2  22   4   0   4  11   0   1  84
Seba_Salazar  23 col  1 10 17  7 30 100 134 302 119  18   2 1522   1   0   0   4  22  10   1   2  11   0   0  64
Valdelamar    21 col  1 10 17 10 30 100 132 190 142  19   6 1312   1   0   0   4  12   6   2   0   7   0   0  88
J_D_Roa       27 col  1  4 19 15 30 100  95 325 120  16   0 1355   0   0   0   1  15  18   0   0  10   0   1 100
K_Salazar     22 col  1  3 18 15 30 100 168 299 242  12   0 1118   1   0   0   3  20  19   3   1   5   0   0 100
Jona_Herrera  22 col  1  3 17 14 30 100 141 187 107   5   1  430   0   0   0   2   4   6   0   1   3   0   0 100
Almir_Soto    24 col  1  2 17 15 30 100 127 178 174   6   0  522   0   0   0   1   4   4   2   0   0   0   0 100
B_de_Jesús    23 ecu  1  2  2 20 30 100  82 154 200  18   0 1735   0   0   0   2   0  11   0   0   2   0   0  64
Wilson_Morelo 31 col  1  1  1 19 30 100  78  78 360  20   2 1538   0   0   0   0   0  19   3   0   1   0   0  84
J_Agudelo     26 col  1  1  1 19 30 100  63  70 287  22   5 1488   1   0   0   0   1  18   5   0   1   0   0  92
A_Rentería    25 col  1  1 16 19 30 100  95 151 159  21  10 1209   0   0   0   0   5  10   0   1   0   0   0 100
Brayan_Fdez   26 col  1  1  1 18 30 100 100 100 642  11   6  544   0   0   0   0   0  10   1   0   0   0   0 100
R_Bentancourt 25 uru  1  1  1 18 30 100 100 107 339   7   5  299   0   0   0   0   1   3   1   0   0   0   0 100
Arm_Vargas    30 col  1  1 15 18 30 100 105 112 195   2   1  145   0   0   0   0   1   4   1   0   0   0   0 100
J_Fredy_Pajoy 30 col  1  1 16 18 30 100 100 107 150   2   0  140   0   0   0   0   1   0   0   0   0   0   0 100
Á_Plata       28 col  1  1 10 18 30 100 100 100 150   1   1   50   0   0   0   0   0   0   0   0   0   0   0 100
