Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
M_Andújar     35 arg 20  1  1  1 30 891 100 100 100  30   0 2796   0 132  48   0   0   0   0   0   1   0   0 100
Esteban_Conde 35 uru 18  1  1  1 30 546 100 100 100   2   1  157   0   1   4   0   0   0   0   0   0   0   0 100
M_Caceres     31 uru  1 20 12  8 30 100 938 645 635  18   0 1300   0   0   0  17   6   4   0   0   1   0   0  94
Gonzalo_Jara  33 chi  1 20 12  6 30 100 458 615 178  18   0 1524   2   0   0  23  12   4   0   3   1   0   0  88
J_C_Paredes   31 ecu  1 20 11  7 30 100  19 140  86  19   2 1586   2   0   0  24  10   8   0   0   5   0   0  88
A_Espino      26 uru  1 18 11  6 30 100 819 224 164  18   5 1409   1   0   0  19  14   8   1   1   0   0   0 100
R_Erramuspe   28 arg  1 18  1  1 30 100 815  70  70  18   2 1490   0   0   0  12   1   2   0   0   1   0   0  88
Gino_Peruzzi  26 arg  1 18 11  6 30 100 784 236 111  16   2 1352   0   0   0  18  14   9   0   2   2   0   0 100
Alexis_Rolín  29 uru  1 18  1  1 30 100 635  81  81  17   4 1378   0   0   0  14   0   0   0   0   7   0   0 100
Agustín_Rogel 21 uru  1 17  1  1 30 100 363  75  86  20   9 1291   0   0   0  19   0   2   0   0   0   0   0 100
D_Arismendi   30 uru  1 16 19  3 30 100 227 529 129  17   1 1419   0   0   0  12  20   7   1   1   2   0   0  94
C_Oliva       22 uru  1 15 17  2 30 100 219 367  91  19   5 1394   0   0   0  10  14   4   0   2   3   0   0 100
Seba_Prediger 32 arg  1 12 20  7 30 100 727 407 427  20   0 1520   1   0   0   8  22   2   0   1   2   0   0  88
Tata_González 34 uru  1 12 19 12 30 100 227 946 112  21   5 1552   0   0   0   9  22  14   0   1   3   0   0  88
Seb_Rodríguez 26 uru  1 11 18 10 30 100 162 949 142  19   6 1335   0   0   0   4  20   8   1   1   0   0   0  88
Sant_Romero   28 uru  1 10 18 11 30 100 162 827 187  16   7  963   0   0   0   3  12  15   1   2   0   0   0 100
Tabaré_Viúdez 29 uru  1  2 19 17 30 100 171 414 330  17   1 1507   2   0   0   3  34  26   6   2   5   0   0 100
Lea_Barcia    26 uru  1  3 18 15 30 100  88 213 142  12   5  805   0   0   0   0   8   7   1   1   1   0   0 100
Alex_Müller   22 uru  1  2 17 15 30 100 105 812 117   4   4  139   0   0   0   0   1   4   0   0   0   0   0 100
Viruta_Vera   33 uru  1  2  2 21 30 100 571 564 136  19   1 1587   1   0   0   1   1  29   4   0   1   0   0  88
Mudo_Vázquez  29 arg  1  1 17 20 30 100 588 909 851  20   2 1542   1   0   0   1  11  31   4   0   1   0   0  92
Seb_Fernández 33 uru  1  1 10 19 30 100  88 130 365  19   5 1281   0   0   0   0   6  35   5   0   6   0   0 100
G_Bergessio   34 arg  1  1  1 19 30 100  93 100 283  19   6 1179   0   0   0   0   1  16   2   0   6   0   0 100
C_de_Pena     26 uru  1  1 17 18 30 100  88 116 220  12   7  607   1   0   0   0   4  10   2   0   1   0   0 100
