Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Y_Cardinale   24 fra 21  1  1  1 30 986 100 100 100  27   0 2530   0  95  39   0   0   0   0   0   3   0   0 100
W_Benítez     25 arg 19  1  1  1 30  25 100 100 100   5   2  316   0  12   7   0   0   0   0   0   0   0   0 100
Nélson_Semedo 24 por  1 21 12  6 30 100 538 874 497  20   0 1821   1   0   0  12  16  15   1   2   7   0   0  94
Lucas_Digne   24 fra  1 21 12  6 30 100 363 849 765  20   2 1723   0   0   0  14  12  15   2   0   2   0   0 100
R_Pereira     24 por  1 21 12  7 30 100 246 553 383  20   0 1786   0   0   0  13   8  16   4   0   4   0   0  94
Dalbert       24 bra  1 21 12  6 30 100  52 781 215  21   1 1864   2   0   0  16  23  12   0   4   1   0   0 100
Paul_Baysse   29 fra  1 20  2  2 30 100 775 380 264  19   1 1677   0   0   0  19   0   6   0   0   5   0   0 100
S_Kolasinac   24 bih  1 20 10  5 30 100 467  94 832  23   4 1848   0   0   0  15  11   9   0   2   6   0   0  97
A_Souquet     26 fra  1 19 12  6 30 100 965 741 281  17   1 1478   0   0   0  10  15   8   1   1   0   0   0 100
P_Burner      21 fra  1 18  9  5 30 100 410 417 177  13   0 1078   1   0   0   6   6   7   1   1   0   0   0 100
G_Kondogbia   25 fra  1 17 20  3 30 100 458 556  13  25   8 1652   2   0   0  10  38   1   1   3   8   0   0 100
Onyinye_Ndidi 21 nga  1 18 20  2 30 100 290 325  14  29  11 1875   0   0   0   7  41   2   0   3   2   0   0 100
Alexis_Blin   21 fra  1 18 20  1 30 100 245 139 969  28   7 1785   0   0   0   8  36   2   0   3   2   0   0 100
Jean_M_Seri   26 civ  1 15 21  6 30 100 668 935 440  20   1 1744   1   0   0   4  42  10   1   2   2   0   0 100
V_Koziello    22 fra  1 13 21  7 30 100 642 112 234  18   3 1451   0   0   0   8  24  12   1   2   3   0   0 100
Lucas         25 bra  1  2 21 18 30 100 233 443 968  15   0 1384   3   0   0   0  17  42   5   0   7   0   0 100
D_Caligiuri   30 ita  1  1 19 16 30 100 696 781 794   2   1  122   0   0   0   0   2   2   0   0   0   0   0 100
A_Lusamba     21 fra  1  2 19 17 30 100 281 432 359  13   3  954   0   0   0   1  12  29   2   2  12   0   1 100
H_Lozano      22 mex  1  2 18 21 30 100 427 871 660  19   1 1616   6   0   0   1   5  69  12   0   2   0   0 100
G_Guedes      21 por  1  2 18 20 30 100 113 489 472  17   9 1082   3   0   0   0   5  44   8   0   1   0   0 100
H_Onyekuru    21 nga  1  2 18 20 30 100 764 818 385  12   2  937   1   0   0   0   5  40   3   1   6   0   0 100
F_Chiesa      21 ita  1  1 17 20 30 100 313 327  82  10   2  797   0   0   0   0   2  17   3   0   1   0   0 100
Alexy_Bosetti 24 fra  1  2  2 18 30 100 310 310 623   1   0   96   0   0   0   0   0   1   0   0   0   0   0 100
