Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Kevin_Dawson  26 uru 18  1  1  1 30 634 100 100 100  26   0 2408   0  81  34   0   0   0   0   0   1   0   0 100
A_Freitas     21 uru 17  1  1  1 30 606 100 100 100   5   0  415   0  16   5   0   0   0   0   0   0   0   0 100
T_Cardozo     22 uru 17  1  1  1 30 186 100 100 100   2   2  115   0   4   3   0   0   0   0   0   0   0   0 100
F_Formiliano  25 uru  1 19  1  1 30 100 686  86  87  24   2 1631   0   0   0  20   0   1   0   0   2   0   0  94
Ramón_Arias   26 uru  1 19  1  1 30 100 391 122 101  18   0 1600   0   0   0  24   3   0   0   0   2   0   0  88
Guille_Varela 25 uru  1 19 11  7 30 100 377 195 154  20   0 1855   0   0   0  23  16  11   2   1   4   0   0  88
Luciano_Lollo 31 arg  1 19  1  1 30 100  31  87 130  22   3 1938   1   0   0  21   2   3   1   0   1   0   0 100
Rodrigo_Rojo  29 uru  1 18 11  7 30 100 434 199 172  19   0 1737   2   0   0  16  13   9   1   0   1   0   0 100
M_Corujo      32 uru  1 18 11  6 30 100 388 197 169  21   7 1587   0   0   0  21  12  14   1   1   4   0   0 100
R_Miller      26 pan  1 18  1  1 30 100 331  96 102  15   6 1093   1   0   0  15   0   2   0   0   2   0   0 100
Luc_Hernández 26 uru  1 18 11  6 30 100 241 128 104  10   2  828   0   0   0   8   5   3   0   0   1   0   0 100
W_Gargano     34 uru  1 18 19  1 30 100 333 919 138  19   1 1729   2   0   0  22  34   2   1   5   2   0   0  88
Marcel_Novick 35 uru  1 15 18  3 30 100 251 292 123  19   6 1318   0   0   0  13  22   3   1   1   3   0   0  94
G_Pereira     27 uru  1 15 18  3 30 100 174 201  91  10   6  541   0   0   0   6   6   1   0   1   0   0   0 100
S_Cristóforo  24 uru  1 13 20  7 30 100 811 578 740  27   2 1942   0   0   0   9  35   7   1   4   1   0   0  88
Luis_Aguiar   33 uru  1 10 19 10 30 100 107 502 173  16   0 1521   2   0   0   1  30   9   2   3   1   0   0 100
F_Martínez    20 uru  1 11 17 11 30 100 122 927 122  13   4  907   1   0   0   3  17   7   1   2   6   0   0 100
M_Rodríguez   37 arg  1  4 20 16 30 100 123 319 326  15   0 1375   1   0   0   1  22  26   5   1   1   0   0  88
Ceb_Rodríguez 33 uru  1  1 19 18 30 100  86 813 284  14   1 1240   2   0   0   0  13  24   5   2   2   0   0 100
Matías_Moya   20 arg  1  1 17 15 30 100 100 205 148   4   0  381   1   0   0   0   5   5   1   1   0   0   0 100
Gio_González  24 uru  1  2 17 15 30 100  98 190 207   7   1  621   1   0   0   0   6  15   2   0   1   0   0 100
Rodrigo_Mora  31 uru  1  1 13 19 30 100 126 119 929  23   1 1862   1   0   0   1   3  34   9   0   6   0   0  88
Lucas_Viatri  31 arg  1  1  1 19 30 100 106 106 758  20   5 1466   0   0   0   0   0  19   2   0   2   0   0  88
C_Palacios    28 uru  1  1  1 19 30 100  78  78 346  20   6 1296   0   0   0   0   0  24   2   0   1   0   0  92
F_Estoyanoff  36 uru  1  1 17 18 30 100 105 203 635  17   9  924   1   0   0   0  14  14   4   0   0   0   0 100
B_Rodríguez   18 uru  1  1  1 17 30 100 100 100 150   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
