Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
A_Saldívar    28 mex 18  1  1  1 30 928 100 100 100  30   0 2663   0 115  63   0   0   0   0   0   2   2   0 100
B_Magaña      25 mex 17  1  1  1 30 530 100 100 100   3   2  285   0  10   5   0   0   0   0   0   0   0   0 100
José_Castillo 23 mex 17  1  1  1 30 300 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Advíncula   28 per  1 20 11  6 30 100 917 883 872  15   0 1332   0   0   0  20  20  13   2   1   3   0   0 100
A_Arribas     29 esp  1 20  1  1 30 100 755 180 264  15   0 1345   0   0   0  21   2   4   0   0   7   0   0 100
G_Alcoba      33 uru  1 20  2  2 30 100 111 692 748  14   0 1240   0   0   0  10   5   1   0   0   2   0   0 100
Luis_Fuentes  32 mex  1 19 11  7 30 100 466 295 318  13   0 1172   0   0   0  19  17   5   1   0   7   0   0 100
J_van_Rankin  25 mex  1 19 11  6 30 100  71 267 294  18   2 1618   0   0   0  21  17  15   0   0   1   0   0  76
Luis_Quintana 26 mex  1 18  1  1 30 100  44 180 275  15   0 1362   0   0   0  13   0   0   0   0   5   0   0  76
Alan_Mozo     21 mex  1 17 10  6 30 100 943 364 376  18   2 1619   0   0   0  21  17  11   2   2   2   0   0  76
Rodrigo_Glez  23 mex  1 17  1  1 30 100 889 180 249  18   2 1579   0   0   0  25   3   0   0   0   8   0   0  76
Marcelo_Díaz  32 chi  1 19 21  1 30 100 306  95 247  30   5 2134   1   0   0  16  59   3   0   8  12   0   1  76
Y_Yotún       28 per  1 17 19  3 30 100 862 869 721  18   0 1566   0   0   0   9  33   6   0   3   8   0   0 100
David_Cabrera 29 mex  1 16 19  3 30 100 387 693 323  20   2 1714   0   0   0  16  32   7   1   5   3   0   0  76
J_Escamilla   23 mex  1 16 17  1 30 100 273 572 243  25  15 1204   0   0   0  10  27   2   0   2  11   0   0 100
Raphinha      21 bra  1  2 20 17 30 100 679 345 924  19   3 1573   2   0   0   1  34  35   3   2   2   0   0 100
Mauro_Formica 30 arg  1  2 19 17 30 100 160 822 407  24  17 1029   0   0   0   0  18  30   3   2   5   0   0 100
J_Gallardo    22 mex  1  1 19 15 30 100 171 336 425  16   2 1397   1   0   0   0  21  31   3   1   2   0   0 100
B_Figueroa    19 mex  1  1 17 15 30 100 366 215 547   9   3  625   1   0   0   0   7  13   2   0   2   0   0  76
N_Castillo    25 chi  1  1  1 20 30 100 155 155 673  27   2 1865   3   0   0   0   0  61   8   0  10   0   0  88
Fid_Martínez  28 ecu  1  1 16 20 30 100 174 335  58  23  11 1534   2   0   0   0  23  61   8   0   3   0   0 100
Pablo_Barrera 31 mex  1  1 17 20 30 100 161 354  31  17   0 1472   3   0   0   0  19  45   6   3   2   0   0  76
M_Alustiza    34 arg  1  1 10 19 30 100 154 265 910  27   1 1704   0   0   0   0  12  37   3   1   3   0   0  88
Érick_Torres  25 mex  1  1  1 19 30 100 170 227 649  21  13 1015   0   0   0   0   3  26   5   1   0   0   0 100
Bryan_Silva   19 mex  1  1  1 17 30 100 188 231 858   8   8  235   0   0   0   0   1  10   2   1   1   0   0 100
Alan_Acosta   22 mex  1  1 15 17 30 100 190 211 391   4   2  244   0   0   0   0   3   3   0   0   0   0   0 100
