Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Juan_Musso    23 arg 19  1  1  1 30 815 100 100 100  22   0 2011   0  82  43   0   0   0   0   0   0   0   0 100
Javier_García 31 arg 18  1  1  1 30 714 100 100 100  10   2  838   0  44  16   0   0   0   0   0   0   0   0 100
Gastón_Gómez  21 arg 17  1  1  1 30 825 100 100 100   4   0  378   0  19  14   0   0   0   0   0   0   0   0 100
A_Donatti     31 arg  1 20  1  1 30 100 394 380 417  18   0 1676   0   0   0  28   3   4   2   1   1   0   0  96
Lucas_Orbán   29 arg  1 20  1  1 30 100  13 304 350  16   0 1498   0   0   0  21   0   1   1   0   3   0   0  88
L_Sigali      30 arg  1 19  1  1 30 100 724 318 360  17   1 1522   0   0   0  21   2   3   1   0   8   0   0  88
Leandro_Grimi 33 arg  1 19 11  7 30 100 705 491 376  16   0 1435   2   0   0  18  14  10   1   3   0   0   0  88
M_Barbieri    24 arg  1 19  1  1 30 100 149 320 369  14   3 1191   0   0   0  22   1   3   1   0   1   0   0 100
Alexis_Soto   24 arg  1 18 11  6 30 100 975 445 378  13   1 1155   0   0   0  15  17  10   1   1   5   0   0 100
Renzo_Saravia 24 arg  1 18 11  6 30 100 933 354 355  13   1 1105   1   0   0  12   9   8   1   0   7   0   0 100
Iván_Pillud   31 arg  1 18 11  6 30 100 545 446 375  10   0  946   2   0   0  12  13   8   1   2   1   0   0 100
A_Mejía       29 col  1 18 20  2 30 100 964 498 839  24   2 2090   0   0   0  15  36   2   1   4   6   0   0 100
Nery_Dmgz     27 arg  1 17 20  2 30 100 581 285 334  19   1 1677   1   0   0  20  42   3   0   9   2   0   0 100
K_Gutiérrez   20 arg  1 15 18  2 30 100 540  66 362  19   0 1721   0   0   0  17  32   3   1   7   9   0   0 100
Diego_Glez    30 arg  1 12 20 13 30 100 452 580 478  16   0 1465   0   0   0   9  28  18   4   5   3   0   0  94
David_Pizarro 40 chi  1 12 19 12 30 100 415 651 492  15   1 1351   1   0   0   6  36  15   4   2   1   0   0  88
A_Solari      26 arg  1 10 18 13 30 100 348 964 384   5   1  408   0   0   0   2   5   4   2   1   0   0   0 100
C_Sánchez     33 uru  1  2 20 19 30 100 761 702 106  18   0 1593   2   0   0   0  22  47   5   5   1   0   0  88
Neri_Cardozo  31 arg  1  2 20 17 30 100 323   9 747  16   1 1449   4   0   0   0  24  36  12   1   1   0   0  88
M_Zaracho     19 arg  1  2 19 16 30 100 338 498 525  15   1 1317   0   0   0   1  17  24   5   1   7   0   0 100
G_Lorenzetti  33 arg  1  3 19 16 30 100 346 457 461  15   3 1177   1   0   0   2  11  19   4   2   8   0   0 100
Lisandro_Lpez 33 arg  1  1  1 21 30 100 307 314 543  23   2 1760   3   0   0   0   1  70  14   0   4   0   0  88
Roger_Mtnez   24 col  1  1 14 21 30 100 327 401 311  27   9 1844   4   0   0   1   8  62  18   2   8   0   0  92
R_Centurión   25 arg  1  1 18 20 30 100 316 431 624  23   5 1586   0   0   0   0  11  37   9   2   7   0   0 100
B_Mansilla    20 arg  1  1 15 18 30 100 351 337 643  10   3  709   0   0   0   1   2  11   3   0   1   0   0 100
