Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Franco_Armani 32 arg 20  1  1  1 30 877 100 100 100  29   0 2669   0  93  39   0   0   0   0   0   4   0   0 100
E_Martínez    26 arg 19  1  1  1 30 312 100 100 100   7   2  616   0   9   4   0   0   0   0   0   0   0   0 100
J_D_Ramírez   21 col 17  1  1  1 30 370 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Maidana     33 arg  1 21  1  1 30 100  64 324 361  20   1 1804   0   0   0  15   2   2   1   0   0   0   0  88
L_Vangioni    30 arg  1 20 12  6 30 100 399 996 778  23   1 2086   0   0   0  27  23  10   0   0   8   3   0  96
Javier_Pinola 35 arg  1 20  1  1 30 100 139 312 305  17   2 1092   1   0   0  12   1   0   0   0   5   0   0  88
R_Funes_Mori  27 arg  1 20  1  1 30 100 101 534 640  22   2 1908   1   0   0  16   2   2   1   0   3   0   0  88
Mtnez_Quarta  22 arg  1 19  1  1 30 100 927 353 319  21   5 1549   0   0   0  18   0   2   0   1   4   0   0 100
M_Saracchi    20 uru  1 19 11  7 30 100 765 406 413  23   4 1873   2   0   0  21  13   8   2   0   0   0   0 100
Camilo_Mayada 27 uru  1 19 16 10 30 100 606 526 407  15   2 1194   2   0   0  14  21   7   2   3   2   0   0 100
G_Montiel     21 arg  1 19 11  6 30 100 141 460 395  15   2 1335   2   0   0  12  17  12   1   1   0   0   0 100
J_Mascherano  33 arg  1 20 23  2 30 100  41  90 461  23   2 2077   0   0   0   8  45   7   0   4   2   0   0 100
L_Ponzio      36 arg  1 18 20  2 30 100 460 988 318  22   0 1773   0   0   0  14  33   4   0   3   2   0   0 100
G_Rodríguez   24 arg  1 15 19  4 30 100 434 777 320  17   2 1438   1   0   0   9  23   4   0   6   1   0   0 100
Enzo_Pérez    31 arg  1 12 21 13 30 100 585 588 622  21   0 1878   0   0   0   5  32  20   2   4  10   0   0  94
Ariel_Rojas   32 arg  1 12 19 12 30 100 354 721 434  15   1 1281   0   0   0   3  26  13   3   2   6   0   0  88
E_Palacios    20 arg  1 11 19 12 30 100 366  61 469  14   1 1222   1   0   0   2  25  13   3   3   0   0   0 100
G_Ramirez     28 uru  1  2 21 20 30 100 215 834 135  20   1 1742   3   0   0   3  26  27   6   2  10   0   0  88
Pity_Martinez 25 arg  1  1 19 18 30 100 302 837 717  18   8 1373   1   0   0   0   5  47  11   0   4   0   0 100
Lucas_Ocampos 23 arg  1  2 17 20 30 100 195 510 982  22   3 1893   1   0   0   0  11  48   6   1   7   0   0  88
Lucas_Alario  24 arg  1  2  1 20 30 100  38 990 619  23   3 1581   1   0   0   1   1  34   3   0   1   0   0  88
Seba_Driussi  22 arg  1  1  1 20 30 100 510 517 183  22  10 1401   0   0   0   0   1  41   7   0   5   0   0  92
Martín_Ojeda  19 arg  1  1 15 18 30 100 298 319 599  13   2  695   0   0   0   0   3  25   5   0   1   0   0 100
Rollheiser    19 arg  1  1 10 17 30 100 320 327 920   1   0   95   0   0   0   0   1   0   0   0   0   0   0 100
