Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Rui_Patrício  30 por 22  1  1  1 30 647 100 100 100  24   3 2114   0 100  39   0   0   0   0   0   1   0   0 100
A_Aréola      25 fra 21  1  1  1 30 203 100 100 100  10   1  737   0  21   7   0   0   0   0   0   0   0   0 100
Kiko_Casilla  31 esp 20  1  1  1 30 377 100 100 100   2   0  191   0   9   3   0   0   0   0   0   0   0   0 100
Sergio_Ramos  31 esp  1 23  2  2 30 100 508 430 337  15   0 1325   0   0   0  23   4   3   0   1   6   0   0  94
Marcelo       29 bra  1 22 14  7 30 100 584 221 649  17   1 1357   0   0   0  22  15  13   0   1   7   0   0  94
R_Varane      24 fra  1 22  2  2 30 100 548 375 337  17   1 1573   0   0   0  20   2   5   1   1   7   0   0  94
D_Carvajal    25 esp  1 22 13  7 30 100 363   9 500  15   0 1346   0   0   0  18  14  10   0   1   2   0   0  94
Juan_Bernat   25 esp  1 21 12  6 30 100 399 881 544  16   0 1419   1   0   0  24   8  12   2   0  16   0   0  94
Hugo_Mallo    26 esp  1 21 12  6 30 100 113 478 863  17   2 1489   0   0   0  26  15  16   1   2   2   0   0 100
Nacho_F       27 esp  1 21  1  1 30 100 103 791 667  18   2 1513   0   0   0  21   4   4   0   0   2   0   0 100
Rúben_Vezo    23 por  1 20  2  2 30 100 406 562 455  16   2 1382   0   0   0  14   4   5   0   1   2   0   0 100
Casemiro      26 bra  1 19 22  3 30 100 712 892 348  20   4 1622   3   0   0  15  49  11   2   5   1   0   0  94
G_Krychowiak  28 pol  1 19 22  2 30 100 650 264 299  23  12 1256   0   0   0   8  30   5   1   3   1   0   0  88
Luka_Modric   32 cro  1  8 24 16 30 100 292 591 161  17   0 1562   1   0   0   1  51  27   7   6   3   0   0  82
Toni_Kroos    28 ger  1 11 24 12 30 100 654 284  22  17   1 1510   0   0   0   7  52  26   4   8   5   0   0  94
Mateo_Kovacic 23 cro  1  8 22 13 30 100 483 369 781  19   0 1689   1   0   0   4  43  25   1   3   1   0   0  74
Dani_Ceballos 21 esp  1  9 21 11 30 100  41  35  36  16   4 1197   1   0   0   3  36  12   3   1   1   0   0 100
Isco          25 esp  1  2 22 21 30 100 189 953 159  19   3 1443   2   0   0   0  27  42   9   3   5   0   0 100
J_Draxler     24 ger  1  2 22 19 30 100 111 606 387  16   0 1413   2   0   0   0  20  45   5   4   6   0   0 100
Marco_Asensio 22 esp  1  2 22 19 30 100 104 202 357  18   3 1414   2   0   0   0  21  50   8   4   3   0   0 100
Lucas_Vazquez 26 esp  1  1 21 19 30 100 637 128 283  14   1 1247   1   0   0   0  18  33   2   2   2   0   0 100
C_Ronaldo     33 por  1  1 22 25 30 100 999 931 317  18   1 1416   1   0   0   0   5  68  11   0   7   0   0 100
R_Lewandowski 29 pol  1  2  2 24 30 100 168 419 827  20   1 1649   2   0   0   1   0  56  10   0   4   0   0 100
Iago_Aspas    30 esp  1  2 13 21 30 100 548 758 888  16   4 1220   1   0   0   0   3  49   6   0   2   0   0 100
