Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
A_Sidão       36 bra 19  1  1  1 30 250 100 100 100  18   4 1551   0  54  37   0   0   0   0   0   2   0   0 100
Jean_Filho    23 bra 19  1  1  1 30  94 100 100 100  18   0 1589   0  60  29   0   0   0   0   0   0   0   0 100
Lucas_Perri   21 bra 17  1  1  1 30 450 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rodrigo_Caio  25 bra  1 20  1  1 30 100  98 313 314  16   0 1445   0   0   0  14   0   1   0   0   1   0   0  94
A_Martins     31 bra  1 20  1  1 30 100  29 303 295  17   0 1555   0   0   0  17   2   2   0   0   3   0   0  88
R_Arboleda    27 ecu  1 19  1  1 30 100 981 285 273  18   3 1486   0   0   0  15   2   2   0   0   2   0   0  88
Reinaldo      29 bra  1 19 11  7 30 100 839 438 294  18   0 1658   0   0   0  16  19   7   0   1   8   0   0  88
A_Santos      27 bra  1 19  1  1 30 100 715 519 510  18   5 1409   0   0   0  20   2   1   0   0   0   0   0 100
J_Tavares     22 bra  1 19 11  7 30 100 588 472 329  15   0 1430   0   0   0  16  24   8   1   1   1   0   0 100
Jorge_Fucile  34 uru  1 19 11  7 30 100 573 459 355  17   0 1617   1   0   0  23  20  10   1   1   1   0   0 100
Stefan_Medina 25 col  1 19  6  5 30 100 246 804 738  15   1 1326   0   0   0  10  12   8   0   0   1   0   0 100
Éder_Militão  20 bra  1 18  1  1 30 100 865 358 307  14   5  950   0   0   0  14   3   2   0   1   2   0   0 100
Jucilei       30 bra  1 17 20  2 30 100 509 155 355  22   4 1547   2   0   0  17  28   2   1   3   0   0   0  94
Húdson        30 bra  1 15 19  3 30 100 403 301 322  22   7 1380   1   0   0   7  45   5   0   7   0   0   0 100
Petros        29 bra  1 12 20  8 30 100 429 909 362  17   1 1467   0   0   0   8  26  11   1   2   1   0   0  88
Andrés_Tello  21 col  1 11 19  8 30 100 857 490 911  20   2 1568   2   0   0   6  34  16   4   6   0   0   0  88
Diego_Souza   33 bra  1  2 20 17 30 100 258 124 528  18   2 1383   2   0   0   0  35  27   7   4  11   0   0 100
Nenê          37 bra  1  3 19 16 30 100 270 964 550  17   0 1495   3   0   0   0  20  32   6   3   5   0   0  88
Valdívia      24 bra  1  2 19 17 30 100 330 928 624  19   4 1488   2   0   0   1  27  28   9   2   1   0   0 100
Lucas_Lima    28 bra  1  1 19 16 30 100 510 925 639  19   2 1591   0   0   0   1  27  23   3   3   4   0   0 100
Luiz_Adriano  30 bra  1  2  2 20 30 100 786 808 872  18   0 1698   1   0   0   1   7  35  13   0   1   0   0  88
M_Guilherme   23 bra  1  1 17 20 30 100 314 405  47  17   0 1592   1   0   0   0  13  39   6   0   3   0   0  92
C_Stuani      31 uru  1  2  2 19 30 100 761 761 971  18   3 1478   0   0   0   0   0  34   4   0   0   0   0 100
S_Tréllez     28 col  1  1  1 19 30 100 288 302 596  12   7  713   0   0   0   0   2  18   2   0   1   0   0 100
G_Carneiro    23 uru  1  1  1 19 30 100 313 313  52  16   5 1195   0   0   0   0   0  19   3   0   1   0   0 100
