Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Nahuel_Guzmán 32 arg 20  1  1  1 30  41 100 100 100  30   0 2844   0 109  48   0   0   0   0   0   4   0   0 100
Edu_Fernández 26 mex 17  1  1  1 30 300 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Miguel_Ortega 23 mex 17  1  1  1 30 300 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Juninho       36 bra  1 19  1  1 30 100 528 146 133  25   0 1624   0   0   0  21   4   3   0   0   1   0   0  94
Kolodziejczak 27 fra  1 19  1  1 30 100 489  69  70  20   1 1837   0   0   0  21   0   1   0   0   8   0   0  88
D_Bocanegra   31 col  1 19 11  7 30 100 484 224 141  20   0 1886   0   0   0  19  20  10   1   0   3   0   0  88
Jorge_Torres  30 mex  1 19 11  7 30 100 444 372 139  19   1 1683   2   0   0  16  24  10   1   5   3   0   0  88
Luis_Rdguez   27 mex  1 19 11  7 30 100 405 225 109  22   8 1565   1   0   0  21  20   8   0   0   5   0   0 100
I_Jiménez     29 mex  1 19 11  7 30 100 300 182  92  19   5 1323   2   0   0  14  10   8   0   2  15   0   0 100
Hugo_Ayala    31 mex  1 18  1  1 30 100 898  90  91  16   7 1055   0   0   0   8   0   1   0   0   0   0   0 100
Fran_Meza     27 col  1 18  1  1 30 100 421 107 105  12   5  786   0   0   0  11   1   1   0   0   0   0   0 100
J_I_Estrada   35 mex  1 18 11  6 30 100 334 137  91   6   3  397   0   0   0   4   3   1   0   1   0   0   0 100
Rafa_Carioca  29 bra  1 16 19  3 30 100 287 877 125  20   1 1797   2   0   0  17  25   4   1   2   2   0   0  94
Jesús_Dueñas  29 mex  1 18 19  1 30 100 185 690  92  17   5 1236   0   0   0   9  24   2   0   2   7   0   0 100
Luis_Martínez 24 mex  1 15 17  2 30 100 113 341  85   9   5  466   0   0   0   2   8   0   0   0   0   0   0 100
Jorge_Cruz    20 mex  1 12 17  5 30 100 107 168  90   5   2  244   0   0   0   1   4   0   0   0   5   0   0 100
J_F_Torres    31 usa  1 10 18 10 30 100 231 434 341  24   0 1782   2   0   0   7  14  23   5   2   1   0   0  88
Larry_Vásquez 26 col  1 10 17 11 30 100 123 940 148  18   0 1575   0   0   0   3  22  11   1   1   7   0   0  88
Raúl_Torres   22 mex  1 10 17 10 30 100 157 279 138  15   4 1188   1   0   0   3  17  10   0   3   0   0   0 100
Javier_Aquino 28 mex  1  2 19 18 30 100 115 813 348  18   0 1679   1   0   0   1  27  44   5   2   1   0   0  88
T_Anderson    21 bra  1  1 17 16 30 100 128 839 274  10   2  819   0   0   0   1   7  18   4   2   0   0   0  88
A-P_Gignac    33 fra  1  1  1 20 30 100  95  67 727  22   0 1750   0   0   0   1   0  36   2   0   9   0   0  92
José_Angulo   23 ecu  1  1  1 20 30 100 931 924 300  24   7 1549   1   0   0   0   0  26   6   0   0   0   0 100
Jürgen_Damm   26 mex  1  1 17 19 30 100 103 145 733  19   9  948   2   0   0   0   6  24   6   0   1   0   0 100
L_Zelarayán   26 arg  1  1 17 19 30 100  88 102 330  11   7  548   0   0   0   0   2  14   0   0   1   0   0 100
Abel_Hnandez  28 uru  1  1  1 19 30 100 105 112 276   3   2  194   0   0   0   0   1   9   2   0   0   0   0 100
Ismael_Sosa   31 arg  1  1 17 18 30 100 100 100 700   1   1   33   0   0   0   0   0   0   0   0   0   0   0 100
