Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
E_Unsain      23 arg 19  1  1  1 30 443 100 100 100  26   0 2272   0  75  41   0   0   0   0   0   1   0   0 100
Alex_Bono     24 usa 18  1  1  1 30 784 100 100 100   9   3  660   0  17   6   0   0   0   0   0   5   0   0 100
Clint_Irwin   29 usa 18  1  1  1 30 550 100 100 100   1   1   92   0   4   0   0   0   0   0   0   0   0   0 100
A_Morgan      27 can  1 19 11  6 30 100 205 488 357  20   2 1724   2   0   0  18  16   7   1   3   1   0   0  76
Chris_Mavinga 27 fra  1 18 11  6 30 100 971 517 333  20   2 1690   1   0   0  25  27   9   1   2   2   0   0  76
C_Romero      20 arg  1 18  1  1 30 100 924 307 293  18   0 1669   0   0   0  11   2   0   0   0   6   0   0  76
Auro          22 bra  1 18 11  6 30 100 821 359 282  18   2 1542   0   0   0  13  13   6   0   0   6   0   0 100
Mason_Holgate 21 eng  1 18  1  1 30 100 259 308 314  17   1 1520   0   0   0  17   2   0   0   0   4   0   0  76
Matías_Viña   21 uru  1 17 10  6 30 100 520 360 361  14   0 1299   1   0   0  15  10  11   1   0   5   0   0 100
Julian_Dunn   18 can  1 17  1  1 30 100 444 288 285  15   0 1370   0   0   0  10   2   2   0   0   8   0   0 100
E_Cedillo     22 mex  1 17  1  1 30 100 439 253 273  15   1 1336   0   0   0  13   0   3   0   0  11   0   0 100
É_Gutiérrez   22 mex  1 17 19  2 30 100 544 610 303  20   0 1890   1   0   0  21  41   3   0   1   4   0   0  76
R_Jurado      21 mex  1 15 18  3 30 100 470 728 289  21   1 1890   2   0   0  13  31   1   0   2   6   0   0  76
Liam_Fraser   20 can  1 15 17  2 30 100 380 506 268  15   0 1381   1   0   0   8  24   0   0   1   6   0   0 100
J_Osorio      26 can  1 10 19 11 30 100 331  11 366  16   0 1440   1   0   0   2  23  14   1   3   1   0   0  76
Marky_Delgado 23 usa  1 10 18 10 30 100 390 603 310  15   2 1266   1   0   0   5  26   7   0   4   0   0   0 100
F_Waller      21 uru  1  8 18 10 30 100 330 429 338  12   0 1079   0   0   0   2  13   6   1   0   6   0   0 100
Mariano_Miño  24 arg  1  1 17 16 30 100 326 646 369   9   0  829   0   0   0   1  14  17   1   0   1   0   0 100
M_Henrique    21 bra  1  2 17 15 30 100 310 592 489  10   0  944   1   0   0   0  16  23   4   1   0   0   0  76
Aidan_Daniels 20 can  1  2 17 15 30 100 323 464 387  15   0 1394   0   0   0   1  14  17   2   1   2   0   0  76
Mariano_Díaz  24 dom  1  2  2 20 30 100 491 486 269  27   6 1695   0   0   0   0   1  47   4   0   6   0   0 100
Henry_Martín  26 mex  1  1  1 19 30 100 261 261 257  22  11 1115   2   0   0   0   0  41  10   0   2   0   0  88
Ryan_Telfer   24 can  1  1 14 18 30 100 288 390 119  17   3 1274   1   0   0   0   8  30   5   2   6   0   0 100
Ayo_Akinola   18 usa  1  1 13 17 30 100 311 384 831  21   6 1466   1   0   0   1  11  39   5   1   6   0   0 100
