Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Hugo_Lloris   31 fra 24  1  1  1 30 750 100 100 100  26   0 2388   0 151  30   0   0   0   0   0   0   0   0 100
Michel_Vorm   34 ned 20  1  1  1 30 951 100 100 100   2   0  192   0   4   1   0   0   0   0   0   0   0   0 100
Alex_Meret    21 ita 20  1  1  1 30 184 100 100 100   6   1  520   0  18   8   0   0   0   0   0   1   0   0 100
Alderweireld  29 bel  1 22  2  2 30 100 932 288 338  25   0 2069   0   0   0  26   7   3   0   1   3   0   0  94
V_Kompany     31 bel  1 22  2  2 30  84 912 343 399  21   0 1807   0   0   1  26   3   3   0   0   3   0   0  94
J_Vertonghen  30 bel  1 22  2  2 30 100 515 205 348  23   2 1993   0   0   0  28   2   7   0   0   3   0   0  94
V_van_Dijk    26 ned  1 22  2  2 30 100 457 211 313  21   0 1657   0   0   0  22   3   2   0   0   7   0   0  94
Kyle_Walker   27 eng  1 22 12  7 30 107 269 870 607  21   2 1610   1   3   4  27  26  19   1   2   3   2   0 100
Ben_Davies    24 wal  1 21 10  6 30 111 719 580 615  25   6 1823   0   1   1  27  11  10   2   0   1   0   0  82
Kevin_Wimmer  25 aut  1 21  2  2 30 100 301 275 432  26  16 1552   0   0   0  19   4   3   1   0   6   0   0  76
K_Trippier    27 eng  1 20 12  7 30 100 394 432 437   8   6  466   1   0   0   5   4   2   1   1   1   0   0 100
Eric_Dier     24 eng  1 18 22  2 30 100 842  62 316  24   5 1802   2   0   0  12  49   0   0   4   4   0   0  92
V_Wanyama     26 ken  1 18 21  2 30 100 832 277 203  17   3 1358   0   0   0  10  31   3   0   3   1   0   0 100
Mousa_Dembélé 30 bel  1 14 22  8 30 100 772 478 641  23   0 1925   2   0   0  12  41   9   0   2   1   0   0  94
M_Sissoko     28 fra  1  6 21 14 30 100 554 193 636  23  14 1349   1   0   0   0  41  10   0   2   3   0   0 100
C_Eriksen     26 den  1  2 23 21 30 100 361 105 478  26   1 2156   4   0   0   1  39  46   9   1   3   0   0  82
Dele_Alli     21 eng  1  2 22 20 30 100 372 603 224  22   2 1767   1   0   0   3  29  32   3   4   3   0   0 100
C_Cueva       26 per  1  2 21 17 30 100 498 480 887  20   3 1579   0   0   0   0  45  23   1   8   1   0   0  94
Josh_Onomah   20 eng  1  2 19 16 30 100 366 321 664   6   4  342   1   0   0   0   3   9   2   0   1   0   0 100
Sergio_Agüero 29 arg  1  2  2 25 30 100 283 327 246  24   1 2000   4   0   0   1   1  78  19   0   4   0   0  92
C_Immobile    28 ita  1  2  2 21 30 100 290 174 977  21   1 1542   1   0   0   0   1  55   6   0   3   0   0 100
Heung-Min_Son 25 kor  1  2 18 21 30 100 405 554 323  24   8 1416   0   0   0   3   9  34   6   1   6   0   0 100
V_Janssen     23 ned  1  2  2 20 30 100 402 277 557  14  11  612   0   0   0   0   0  21   5   0   0   0   0 100
G-K_N'Koudou  23 fra  1  2 18 20 30 100 363 280 140   9   9  295   0   0   0   0   3   5   0   0   0   0   0 100
