Team                                   Stadium                    Manager
------------------------------------------------------------------------------------
AFC_Ajax_Amsterdam                     Amsterdam_ArenA            Arsène_Wenger
FC_Arsenal                             Emirates_Stadium           Unai_Emery
AS_Monaco                              Stade_Louis-II             Hugo_Ibarra
Atlético_de_Madrid                     Vicente_Calderón           Diego_Cocca
FC_Barcelona                           Camp_Nou                   Xavi_Hernández
Borussia_Dortmund                      Signal_Iduna_Park          Peter_Bosz
Bayer_04_Leverkusen                    BayArena                   Heiko_Herrlich
FC_Bayern_de_Múnich                    Allianz_Arena              Pep_Guardiola
Chelsea_FC                             Stamford_Bridge            Antonio_Conte
FC_Everton                             Goodison_Park              James_Battie
Inter_de_Milán                         Giuseppe_Meazza            Sandro_Mazzola
Juventus_de_Turín                      Juventus_Stadium           Didier_Deschamps
Leicester_City                         King_Power_Stadium         Claude_Puel
FC_Liverpool                           Anfield                    Kenny_Dalglish
Olympique_Lyonnais                     Parc_Olympique_Lyonnais    Jürgen_Klopp
Manchester_City                        Etihad_Stadium             Manuel_Pellegrini
AC_Milan                               San_Siro                   Hidetoshi_Nakata
Manchester_United                      Old_Trafford               Sir_Alex_Ferguson
SSC_Napoli                             San_Paolo                  Marcelo_Gallardo
OGC_Nice                               Allianz_Riviera            Lucien_Favre
Olympique_de_Marseille                 Stade_Vélodrome            Jorge_Sampaoli
FC_Porto                               Estadio_do_Dragão          Maurizio_Sarri
FC_Paris_Saint-Germain                 Parc_des_Princes           Ronaldinho
PSV_Eindhoven                          Philips_Stadion            Mark_van_Bommel
Real_Madrid_CF                         Santiago_Bernabéu          Zinedine_Zidane
AS_Roma                                Olímpico_de_Roma           Hugo_Sanchez
FC_Schalke_04                          Veltins-Arena              Raúl_Gonzalez_Blanco
Sevilla_FC                             Ramón_Sánchez-Pizjuán      Pablo_Machín
SL_Benfica                             Da_Luz                     Rui_Vitória
Tottenham_Hotspur                      White_Hart_Lane            Ricardo_Gareca
Valencia_CF                            Mestalla                   Pablo_Aimar
Villarreal_CF                          Estadio_de_la_Cerámica     Marcos_Senna
Atlético_Nacional                      Atanasio_Girardot          Víctor_Hugo_Aristizábal
Club_Alianza_Lima                      Alejandro_Villanueva       Ernesto_Arakaki
Club_América                           Azteca                     Miguel_Herrera
Boca_Juniors                           La_Bombonera               Juan_Román_Riquelme
S.C._Corinthians                       Arena_Corinthians          Jorge_Luis_Pinto
Cruzeiro_E._C.                         Mineirão                   Mano_Menezes
Flamengo                               Maracaná                   Maurício_Barbieri
Grêmio                                 Arena_do_Grêmio            Dunga
Deportivo_Guadalajara                  Pedro_Escartín             José_Saturnino_Cardozo
Independiente                          Libertadores_de_América    Ariel_Holan
Independiente_Santa_Fe                 Nemesio_Camacho_El_Campín  Gregorio_Pérez
LA_Galaxy                              StubHub_Center             David_Beckham
Nacional                               Gran_Parque_Central        Alexander_Medina
New_York_City_FC                       Yankee_Stadium             Domènec_Torrent_Font
Peñarol                                Campeón_del_Siglo          Leo_Ramos
UNAM_Pumas                             Olímpico_Universitario     Memo_Vazquez
Racing_Club                            El_Cilindro                Chacho_Coudet
River_Plate                            El_Monumental              Javier_Pedro_Saviola
San_Lorenzo                            El_Nuevo_Gasómetro         Pampa_Biaggio
São_Paulo                              Morumbi                    Raí
Tigres_UANL                            Universitario              Ricardo_Ferretti
Toronto_FC                             BMO_Field                  Tata_Martino
Universidad_Católica                   San_Carlos_de_Apoquindo    Carlos_Caszely
Universidad_de_Chile                   Nacional                   Jorge_Socías
