Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Johny_Herrera 37 chi 19  1  1  1 30 977 100 100 100  32   0 3118   0 105  29   0   0   0   0   0   2   0   0 100
F_De_Paul     27 arg 18  1  1  1 30 350 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ignacio_Azúa  20 chi 17  1  1  1 30 350 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Beausejour  34 chi  1 19 16  7 30 100 558 473 404  23   1 2034   0   0   0  20  19  12   2   2   6   0   0  64
Gonzalo_Piovi 23 arg  1 18 11  6 30 100 693 409 387  20   2 1684   1   0   0  18  14  10   2   1  10   0   0 100
Matías_Rguez  32 arg  1 18 11  6 30 100 639 453 436  21   1 2004   1   0   0  24  16  17   2   1   0   0   0  64
Fabián_Monzón 31 arg  1 18 11  6 30 100 545 442 425  21   1 1942   2   0   0  18  17  15   2   1   9   0   0  64
N_Gallardo    19 arg  1 17 10  6 30 100 821 349 298  12   2 1046   0   0   0   9   8   1   0   0   1   0   0  64
Léo_Gomes     22 bra  1 17 10  6 30 100 669 424 307  18   1 1665   0   0   0  13  10  10   0   3  11   0   0 100
F_Saavedra    22 chi  1 17 10  6 30 100 547 366 342  19   3 1540   1   0   0  17   8   7   1   1   6   0   0 100
Fabio_Rojas   19 per  1 17 10  6 30 100 469 469 318  16   2 1448   1   0   0  10  18   9   0   2   3   0   0 100
Lucas_Alarcón 18 chi  1 17  1  1 30 100 464 305 303   9   2  724   0   0   0   8   1   1   0   0   1   0   0 100
Erick_Pulgar  24 chi  1 17 19  2 30 100 805 784 781   2   0  128   0   0   0   2   2   0   0   0   0   0   0  88
Lorenzo_Reyes 27 chi  1 17 19  2 30 100 424 719 365  27   5 1941   0   0   0  13  23   5   2   5  16   0   0  64
Rafael_Caroca 29 chi  1 15 19  1 30 100 498 174 294  28   8 2104   2   0   0  15  39   2   0   6   6   0   0 100
Feli_Seymour  31 chi  1 13 19 10 30 100 445 647 469  29   7 2099   1   0   0   9  32  28   3   4   7   0   0  64
Yerko_Leiva   20 chi  1 10 17 10 30 100 401 717 412  23   4 1540   1   0   0   7  37  24   2   2  11   0   0 100
Diego_Valdés  24 chi  1  2 20 18 30 100 730  45 919   2   0  254   2   0   0   0   4   6   2   0   0   0   0  64
Franz_Schultz 27 chi  1  2 18 16 30 100 309 451 618  23   2 1805   0   0   0   1  17  30   9   0   4   0   0 100
Ángelo_Araos  21 chi  1  1 17 16 30 100 293 487 440  13   5  873   1   0   0   0  12  25   3   3   1   0   0 100
Iván_Rozas    20 chi  1  2 17 15 30 100 300 350 332   2   2   69   0   0   0   0   0   1   1   0   0   0   0 100
Isaac_Díaz    28 chi  1  1  1 19 30 100 310 310 613  15   4 1176   0   0   0   0   0  32   6   0   0   0   0 100
Yef_Soteldo   21 ven  1  1 15 19 30 100 333 519 210  23   3 1850   2   0   0   1  18  43   3   4   0   0   0  64
J_Zacaría     28 arg  1  1 17 19 30 100 359 476 181  23   4 1933   2   0   0   2  19  41  10   2   1   0   0  64
Gonzalo_Bueno 25 uru  1  1 15 19 30 100 328 321   2  11   5  627   0   0   0   1   3  18   2   0   0   0   0 100
F_Arancibia   22 chi  1  1 15 18 30 100 341 363 222  14   2  955   4   0   0   1   4  31   8   1   1   0   0 100
