<pre>International League:, Manchester United vs. OGC Nice (Sat Aug 18)


                    Manchester United  |  OGC Nice
                            3-2-2-3 L  |  3-1-3-3 P
                  "Sir" Alex Ferguson  |  Lucien Favre
                                       |
                       Sergio_Rico GK  |  GK Y_Cardinale
                       Eric_Bailly DF  |  DF Nélson_Semedo
                       Alex_Sandro DF  |  DF Lucas_Digne
                      Serge_Aurier DF  |  DF R_Pereira
                       P_Zielinski MF  |  DM G_Kondogbia
                     Jack_Wilshere MF  |  MF Jean_M_Seri
                       Eden_Hazard AM  |  MF V_Koziello
                       J_Rodríguez AM  |  MF Onyinye_Ndidi
                            Neymar FW  |  FW H_Lozano
                     Dries_Mertens FW  |  FW G_Guedes
                         R_Firmino FW  |  FW H_Onyekuru
                                       |
                      David_Ospina SUB |  SUB W_Benítez
                       Niklas_Süle SUB |  SUB Dalbert
                     Nemanja_Matic SUB |  SUB Paul_Baysse
                     Juan_Cuadrado SUB |  SUB Alexis_Blin
                            Falcao SUB |  SUB F_Chiesa

[b]Árbitro[/b]: François_Letexier (Francia)


Min. 1  :(mun) J_Rodríguez busca opciones 
          ...  Su compañero se deshace del marcador! 
          ...  Eden_Hazard recibe un pase medido 
          ...  Lucas_Digne se hace con el balón y lo cede al portero 
          ...  Y_Cardinale ve con sorpresa como el pase va demasiado fuerte!! 
          ...  Se tira... no va a llegar!! 
          ...  Ui! Salió rozando el palo! 
          ...  Están atacando con mucha insistencia. Corner. :corner: 
          ...  Jack_Wilshere con un cerrado lanzamiento al primer palo! 
          ...  Directo hacia Serge_Aurier 
          ...  Remata como puede 
          ...  Pero golpea en un defensa y se va córner 
          ...  CÓRNER! :corner: 
          ...  J_Rodríguez coloca el balón con mucha suavidad! 
          ...  R_Firmino se deshace de su marcador 
          ...  y mete la cabeza! 
          ...  Y_Cardinale hinca la rodilla en el suelo y despeja 
          ...  Ei! Eso es estilo argentino! 
Min. 2  :(mun) Eden_Hazard con un control impresionante 
          ...  Hace la croqueta ante G_Kondogbia 
          ...  Y centra hacia J_Rodríguez. Qué clase!! 
          ...  G_Kondogbia reacciona rápidamente y corta el balón 
Min. 6  :(nic) Nélson_Semedo pasa de rabona hacia R_Pereira. Madre mía! Ha nacido en Brasil? 
          ...  Serge_Aurier choca con su oponente y lo envía al césped!! 
          ...  Sólo puede ser falta!! 
          ...  AMARILLA!! :amarilla: 
          ...  Por unos momentos lo vi expulsado! 
          ...  Lucien Favre parece asombrado de que no fuera roja! 
Min. 7  :(mun) Eden_Hazard llega primero al balón suelto 
          ...  Eden_Hazard impacta el cuero con fuerza ! 
          ...  Y_Cardinale mete la mano y alcanza el balón con la punta de los dedos 
Min. 7  :(nic) Lucas_Digne acelera por la banda derecha 
          ...  Pone el balón en el área. Directo hacia H_Onyekuru 
          ...  H_Onyekuru cruza la línea de medios, avanza, mira al portero y chuta! 
          ...  :gol: 
          ...  Llevaba rato buscándolo! 
          ...  Se tira al césped de cuatro patas 
          ...  Y aparecen más compañeros! Están haciendo el trenecito! 
          ...  El OGC Nice se cobra ventaja! Podrá mantenerla hasta el final? 
          ...  Manchester United 0-1 OGC Nice ...
Min. 8  :(nic) Jean_M_Seri llega primero al balón suelto 
          ...  Y lo mete en profundidad hacia G_Guedes 
          ...  G_Guedes cruza la línea de medios, avanza, mira al portero y chuta! 
          ...  Su disparo es rechazado por el portero 
          ...  Se hace con el rebote! 
          ...  Y dispara fuera! 
          ...  Se precipitó! 
Min. 10 :(mun) Eric_Bailly mira a Dries_Mertens... y le manda un pase milimétrico 
