Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Leao_Butrón   41 per 18  1  1  1 30 678 100 100 100   1   0   93   0   5   7   0   0   0   0   0   0   0   0 100
Daniel_Prieto 23 per 17  1  1  1 30 750 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ángelo_Campos 25 per 17  1  1  1 30 150 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Ramos       29 per  1 20  2  2 30 100 498 505 562   1   0   93   0   0   0   1   0   0   0   0   1   0   0  88
Carlos_Ascues 26 per  1 19 15  1 30 100 200 100 100   1   0   93   0   0   0   0   0   0   0   0   0   0   0  88
H_Riojas      27 per  1 18  1  1 30 100 650 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Gambetta    27 per  1 18  1  1 30 100 500 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luis_Garro    22 per  1 18 11  6 30 100 318 112  99   1   0   93   0   0   0   0   2   1   0   0   1   0   0  88
Gonzalo_Godoy 30 uru  1 18  1  1 30 100 300 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Miguel_Araujo 24 per  1 18  1  1 30 100 200 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Duclós      22 per  1 17 10  6 30 100 488  88 170   1   0   93   0   0   0   0   0   2   2   0   1   0   0  88
José_Guidino  22 per  1 17 10  6 30 100 300 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
José_Marina   21 per  1 17 10  6 30 100 300 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tomás_Costa   33 arg  1 15 18  3 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Fuentes     20 per  1 15 17  2 30 100 154 348  98   1   0   93   0   0   0   4   0   0   0   0   1   0   0  88
José_Cotrina  21 per  1 14 17  3 30 100 100 300 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luis_Ramírez  34 per  1 12 19 12 30 100  98 667 103   1   0   93   0   0   0   0   3   1   0   1   1   0   0  88
R_Cruzado     34 per  1 12 19 12 30 100 100 332 102   1   0   93   0   0   0   0   2   2   0   1   0   0   0  88
Óscar_Vilchez 32 per  1 10 19 11 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Maxi_Lemos    25 uru  1 10 17  7 30 100 100 600 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Hohberg     27 per  1  2 18 16 30 100 100 400 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mario_Velarde 28 per  1  3 18 15 30 100 100 300 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Yordy_Reyna   24 per  1  2 15 19 30 100 571 578 506   1   0   93   0   0   0   0   1   6   1   0   0   0   0  88
Gabriel_Leyes 28 uru  1  1  1 18 30 100 100 100 950   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Janio_Pósito  29 per  1  1  1 18 30 100 100 100 750   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kevin_Quevedo 21 per  1  1 15 17 30 100 100 100 300   1   0   93   0   0   0   0   0   0   0   0   0   0   0  88
E_Ramírez     20 per  1  1 15 17 30 100 100 100 261   1   0   93   0   0   0   0   0   3   0   0   0   0   0  88
K_Ferreyra    19 per  1  1  1 17 30 100 100 100 150   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
