Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Bernd_Leno    26 ger 23  1  1  1 30 582 100 100 100   1   0   92   0   4   1   0   0   0   0   0   0   0   0 100
Ramazan_Özcan 33 aut 20  1  1  1 30 770 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Niklas_Lomb   24 ger 18  1  1  1 30 191 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ömer_Toprak   28 tur  1 22  2  2 30 100 226  70 190   1   0   56   0   0   0   0   0   0   0   0   0   0   0  96
Jonathan_Tah  22 ger  1 22  2  2 30 125 127 102 165   1   0   92   0   0   0   1   0   0   0   0   0   0   0  88
A_Dragovic    27 aut  1 21  2  2 30  89 402  27 162   1   0   92   0   0   0   2   0   0   0   0   0   0   0  88
Wendell       24 bra  1 20 12  6 30 100 929 571 254   1   1   36   0   0   0   0   0   0   0   0   0   0   0 100
Tin_Jedvaj    22 cro  1 20  2  2 30 100 576  78 146   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Henrichs    21 ger  1 20 12  6 30 100 263 349 273   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Hilbert     33 ger  1 19 12  6 30 100 513 344 200   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_da_Costa    24 ger  1 19 11  6 30 100 112  64 172   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Reece_Oxford  20 eng  1 18  1  1 30 100 850 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Abu_Hanna   20 ger  1 17  2  2 30 100 591  61 181   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lars_Bender   28 ger  1 19 22  2 30 100 992 303 138   1   0   92   0   0   0   1   4   0   0   1   0   0   0  88
Baumgartinger 30 aut  1 18 21  2 30 100 707  46 228   1   1   26   0   0   0   2   1   1   0   0   0   0   0 100
Kevin_Kampl   27 svn  1  8 21 13 30 100 494 929 558   1   0   66   0   0   0   0   1   2   0   0   0   0   0  94
M_Fellaini    30 bel  1  8 20 12 30 100 337 675 396   1   0   92   1   0   0   0   2   2   1   1   0   0   0  88
C_Aránguiz    28 chi  1 12 20  8 30 100 227 321 266   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Yurchenko   24 ukr  1  9 18 10 30 100 206 426 184   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Bellarabi   27 ger  1  2 22 20 30 100 222 104 322   1   0   92   0   0   0   0   2   2   1   0   0   0   0  88
Julian_Brandt 21 ger  1  2 21 18 30 100 146 287 572   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Cheryshev   27 rus  1  2 20 18 30 100 195 192 369   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kevin_Volland 25 ger  1  2 19 22 30 100 120 768 676   1   0   92   0   0   0   0   1   7   1   0   0   0   0  88
H_Calhanoglu  24 tur  1  2 19 22 30 100 209 530 302   1   0   92   0   0   0   0   0   1   0   0   0   0   0  88
M_Batshuayi   24 bel  1  2  2 21 30 100 119   6 157   1   0   61   0   0   0   0   0   3   1   0   0   0   0  94
Admir_Mehmedi 27 sui  1  2 18 20 30 100 189 421 778   1   1   31   0   0   0   0   0   1   0   0   0   0   0 100
S_Kiebling    34 ger  1  2  2 19 30 100 130  10 851   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Pohjanpalo  23 fin  1  2  2 19 30 100 170  50 183   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
