Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Cássio        31 bra 20  1  1  1 30 232 100 100 100   1   0   96   0   6   1   0   0   0   0   0   0   0   0 100
Walter        31 bra 18  1  1  1 30 600 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Caíque_França 23 bra 18  1  1  1 30 250 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jeffrey_Bruma 26 ned  1 20  2  2 30 100 776 532 568   1   0   96   0   0   0   1   0   0   0   0   0   0   0  88
Fágner        29 bra  1 19 11  8 30 100 848 204 103   1   0   96   1   0   0   5   4   1   0   3   1   0   0  88
F_Balbuena    27 par  1 19  1  1 30 100 590  90  90   1   0   36   0   0   0   0   0   0   0   0   5   0   1 100
Vilson        30 bra  1 19  1  1 30 100 510 100 100   1   0   96   0   0   0   1   0   0   0   0   0   0   0  88
P_Henrique    23 bra  1 19  1  1 30 100 300 107 100   1   1   60   0   0   0   0   1   0   0   0   0   0   0  94
Marllon       26 bra  1 18  1  1 30 100 300 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sidcley       25 bra  1 18 11  7 30 100 300 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Léo_Príncipe  22 bra  1 17 10  6 30 100 800 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Capixaba    21 bra  1 17 10  6 30 100 800 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gabriel       26 bra  1 16 19  3 30 100 126 328 105   1   0   96   0   0   0   2   4   1   0   0   0   0   0  88
Renê_Júnior   29 bra  1 16 19  3 30 100 126 321 100   1   0   96   0   0   0   2   3   0   0   0   0   0   0  88
Paulo_Roberto 31 bra  1 15 18  3 30 100 100 800 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Sturaro     25 ita  1 11 20  9 30 100 288 223 275   1   0   58   0   0   0   0   1   0   0   0   0   0   0  94
Maycon        21 bra  1 10 18 11 30 100 100 800 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rodriguinho   30 bra  1  2 19 17 30 100 100 314 106   1   0   96   0   0   0   0   2   2   0   0   0   0   0  88
Marq_Gabriel  28 bra  1  2 19 17 30 100 100 150 135   1   1   38   0   0   0   0   0   2   1   0   0   0   0 100
Mateus_Vital  20 bra  1  2 18 16 30 100 100 450 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pedrinho      20 bra  1  3 18 15 30 100 100 250 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Germain     27 fra  1  1  1 20 30 100 584 652 720   1   0   63   0   0   0   1   0   7   1   0   1   0   0  94
M_Gómez       22 uru  1  1  1 20 30 100 100 100 277   1   0   36   0   0   0   0   0   1   1   0   0   0   0 100
Ángel_Romero  26 par  1  1 17 19 30 100 100 107 661   1   1   33   0   0   0   0   1   2   2   0   0   0   0 100
Lucca         28 bra  1  1 16 19 30 100 100 100 400   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Clayson       23 bra  1  1  1 18 30 100 100 100 250   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
