Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
R_Zapata      40 col 19  1  1  1 30 206 100 100 100   1   0   92   0   6   3   0   0   0   0   0   0   0   0 100
L_Castellanos 34 col 18  1  1  1 30 900 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Y_Mosquera    22 col 17  1  1  1 30 150 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Miguel_Solís  35 col 17  1  1  1 30 150 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Balanta     28 col  1 19 11  7 30 100 250 100 100   1   0   92   0   0   0   0   0   0   0   0   0   0   0  88
W_Tesillo     28 col  1 19  1  1 30 100 200 100 100   1   0   92   0   0   0   0   0   0   0   0   0   0   0  88
Javier_López  30 col  1 18  1  1 30 100 800 100 100   1   0   92   0   0   0   0   0   0   0   0   0   0   0  88
V_Giraldo     33 col  1 18 11  6 30 100 750 114 105   1   0   92   0   0   0   0   2   1   0   0   0   0   0  88
J_D_Valencia  32 col  1 18 11  6 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Arboleda    32 col  1 18 11  6 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Carlos_Henao  30 col  1 18  1  1 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Héctor_Urrego 26 col  1 18  1  1 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
José_Moya     26 col  1 17  1  1 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nicolás_Gil   21 col  1 17  1  1 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Perlaza     26 col  1 16 18  2 30 100 126 250 100   1   0   92   0   0   0   2   0   0   0   0   0   0   0  88
Y_Gordillo    26 col  1 15 18  3 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Valdelamar    21 col  1 10 17 10 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Mosquera    20 col  1 10 17 10 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Seba_Salazar  23 col  1 10 17  7 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_D_Roa       27 col  1  4 19 15 30 100  90 254  90   1   0   92   0   0   0   0   2   0   0   0   0   0   0  88
K_Salazar     22 col  1  3 18 15 30 100 100 150 101   1   0   92   0   0   0   0   0   1   0   0   0   0   0  88
Jona_Herrera  22 col  1  3 17 14 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Almir_Soto    24 col  1  2 17 15 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Iheanacho   21 nga  1  2  2 20 30 100  60 186 145   1   0   92   0   0   0   0   0   4   0   0   1   0   0  88
Wilson_Morelo 31 col  1  1  1 19 30 100  90  90 240   1   0   92   0   0   0   0   0   0   0   0   0   0   0  88
J_Agudelo     26 col  1  1  1 19 30 100 100 100 150   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Rentería    25 col  1  1 16 19 30 100 100 100 150   1   0   92   0   0   0   0   0   0   0   0   0   0   0  88
Brayan_Fdez   26 col  1  1  1 18 30 100 100 100 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Bentancourt 25 uru  1  1  1 18 30 100 100 100 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Fredy_Pajoy 30 col  1  1 16 18 30 100 100 100 150   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Arm_Vargas    30 col  1  1 15 18 30 100 100 100 150   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Á_Plata       28 col  1  1 10 18 30 100 100 100 150   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
