Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Loris_Karius  24 ger 23  1  1  1 30 249 100 100 100   1   0   92   0   5   3   0   0   0   0   0   0   0   0 100
S_Mignolet    30 bel 20  1  1  1 30   2 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Clyne       26 eng  1 21 12  7 30 100 647 615 107   1   0   92   0   0   0   1   0   0   0   0   0   0   0  88
Dejan_Lovren  28 cro  1 21  1  1 30 100 489 939 952   1   0   92   0   0   0   1   0   0   0   0   0   0   0  88
A_Valencia    32 ecu  1 21 12  7 30 100 480 503 279   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Raúl_Albiol   32 esp  1 21  1  1 30 100 152 824 924   1   0   92   0   0   0   4   0   0   0   0   0   0   0  88
Gary_Cahill   32 eng  1 21  1  1 30 100  20 319 312   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mamadou_Sakho 28 fra  1 20  2  2 30 100 883 558 558   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Moreno      25 esp  1 20 12  5 30 100 816 471  10   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Glen_Johnson  33 eng  1 19 12  5 30 100 999 571 576   1   0   92   0   0   0   0   0   1   0   0   0   0   0  88
Joe_Gomez     20 eng  1 19  1  1 30 100 453 954 940   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Randall     22 eng  1 17  9  4 30 100 548  99 970   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lucas_Leiva   31 bra  1 19 20  1 30 100 305 739 922   1   0   92   0   0   0   1   2   0   0   2   0   0   0  88
Emre_Can      24 ger  1 18 20  1 30 100 214 598 937   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ivan_Rakitic  30 cro  1  9 23 13 30 100 202  38 633   1   0   92   0   0   0   1   2   1   0   0   1   0   0  88
J_Henderson   27 eng  1 14 22  7 30 100 425   8 121   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
James_Milner  32 eng  1  6 20 14 30 100 883 894 295   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Dahoud      22 ger  1 11 20  8 30 100 962 367  77   1   0   92   0   0   0   0   2   0   0   0   0   0   0  88
Marko_Grujic  21 srb  1  8 18 10 30 100 822 881  34   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Oscar         26 bra  1  2 21 18 30 100  93 740 999   1   0   66   1   0   0   0   2   2   1   1   0   0   0  94
Adam_Lallana  29 eng  1  1 21 19 30 100 935 700 778   1   1   26   0   0   0   0   0   1   1   0   0   0   0 100
Sheyi_Ojo     20 eng  1  1 17 15 30 100 828 898  72   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Harry_Kane    24 eng  1  2  2 23 30 100 196  77  42   1   0   71   0   0   0   0   0   1   0   0   0   0   0  92
D_Sturridge   28 eng  1  1  1 21 30 100 736 831 813   1   0   71   0   0   0   0   0   2   1   0   0   0   0  92
Sadio_Mané    25 sen  1  1 19 21 30 100 760  67 320   1   1   21   0   0   0   0   0   2   0   0   0   0   0 100
Leo_Baptistão 25 bra  1  1  1 20 30 100 806 898 463   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Divock_Origi  22 bel  1  1 18 20 30 100 815  18 103   1   1   21   0   0   0   0   0   0   0   0   0   0   0 100
