Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Rui_Patrício  30 por 22  1  1  1 30 508 100 100 100   1   0   95   0   1   1   0   0   0   0   0   0   0   0 100
A_Aréola      25 fra 21  1  1  1 30  43 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kiko_Casilla  31 esp 20  1  1  1 30 253 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sergio_Ramos  31 esp  1 23  2  2 30 100 292 189 248   1   0   95   0   0   0   0   0   0   0   0   0   0   0  88
Marcelo       29 bra  1 22 13  7 30 100 324 906 512   1   0   95   0   0   0   1   1   1   0   0   1   0   0  88
R_Varane      24 fra  1 22  2  2 30 100 307 148 202   1   0   95   0   0   0   1   0   0   0   0   1   0   0  88
D_Carvajal    25 esp  1 22 12  7 30 100 141 700 384   1   0   84   0   0   0   0   0   0   0   0   0   3   0  90
Juan_Bernat   25 esp  1 21 12  6 30 100 119 657 372   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nacho_F       27 esp  1 20  1  1 30 100 820 562 557   1   1   17   0   0   0   0   0   0   0   0   0   0   0 100
Hugo_Mallo    26 esp  1 20 12  6 30 100 777 112 660   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rúben_Vezo    23 por  1 20  2  2 30 100 179 298 337   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Casemiro      26 bra  1 19 22  3 30 100 494 332 209   1   0   95   1   0   0   1   3   1   1   1   0   0   0  88
G_Krychowiak  28 pol  1 19 21  2 30 100 467 804 143   1   1   17   0   0   0   0   0   0   0   0   0   0   0 100
Luka_Modric   32 cro  1  8 23 15 30 100 172 964 798   1   0   95   0   0   0   0   1   1   0   0   0   0   0  88
Toni_Kroos    28 ger  1 11 23 11 30 100 433 661 717   1   0   95   0   0   0   0   6   0   0   0   0   0   0  88
Mateo_Kovacic 23 cro  1  8 21 13 30 100 286 809 586   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dani_Ceballos 21 esp  1  8 20 10 30 100 870 558 788   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Isco          25 esp  1  2 22 20 30 100 104 541 733   1   0   78   0   0   0   0   1   0   0   0   0   0   0  92
J_Draxler     24 ger  1  2 22 19 30 100  38 233  42   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marco_Asensio 22 esp  1  2 21 18 30 100   5 795 927   1   1   11   0   0   0   0   0   1   0   0   0   0   0 100
Lucas_Vazquez 26 esp  1  1 20 19 30 100 541 772  36   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Ronaldo     33 por  1  1 22 24 30 100 903 700 844   1   0   95   0   0   0   0   0   5   1   0   0   0   0  88
R_Lewandowski 29 pol  1  2  2 24 30 100  59 237 396   1   0   78   0   0   0   0   0   0   0   0   0   0   0  92
Iago_Aspas    30 esp  1  2 13 21 30 100 452 541 509   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
