Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
W_Szczesny    27 pol 22  1  1  1 30 669 100 100 100   1   0   96   0   0   0   0   0   0   0   0   0   0   0 100
Alisson       25 bra 20  1  1  1 30 261 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Raúl_Gudiño   22 mex 18  1  1  1 30 621 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Manolas     26 gre  1 21  1  1 30 100 428 597 539   1   0   96   1   0   0   4   1   0   0   0   0   0   0  88
Héctor_Moreno 30 mex  1 21  2  2 30 100 108  24  45   1   0   96   0   0   0   2   0   0   0   0   0   0   0  88
Sime_Vrsaljko 26 cro  1 20 12  6 30 100 811 453 286   1   0   96   0   0   0   1   0   0   0   0   0   0   0  88
Bruno_Peres   28 bra  1 20 11  4 30 100 308 993 707   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Emerson       23 bra  1 20 12  5 30 100 243 181 926   1   0   96   0   0   0   3   1   1   0   0   0   0   0  88
Mário_Rui     26 por  1 20 11  5 30 100  73 859 683   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Aleix_Vidal   28 esp  1 19 12  6 30 100 780 278 191   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Nura        20 nga  1 18  8  4 30 100  67 798 603   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Campuzano   22 col  1 15 18  3 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Nainggolan  29 bel  1 16 23  6 30 100 221  52 194   1   0   96   0   0   0   0   4   1   0   0   0   0   0  88
A_Guardado    31 mex  1 12 21  9 30 100 490 247 190   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Wilfried_Zaha 25 civ  1  2 21 20 30 100 574  33 631   1   0   79   0   0   0   0   1   2   0   1   0   0   0  90
Marko_Rog     22 cro  1  2 19 18 30 100  36 943 485   1   1   22   0   0   0   0   1   1   0   0   0   0   0 100
Ante_Coric    21 cro  1  2 19 18 30 100 571 857 571   1   1   17   0   0   0   0   1   0   0   0   0   0   0 100
Cengiz_Ünder  20 tur  1  2 19 18 30 100 576 855 576   1   1   27   0   0   0   0   0   0   0   0   0   0   0 100
J_Manzaneda   24 per  1  2 19 17 30 100 296 703 916   1   0   74   0   0   0   0   1   0   0   0   0   0   0  92
A_Sánchez     29 chi  1  1 20 24 30 100 870 578 266   1   0   96   0   0   0   0   1   3   0   0   0   0   0  88
Mohamed_Salah 25 egy  1  1 19 21 30 100 815 155 696   1   0   69   0   0   0   0   0   2   1   0   0   0   0  92
M_Balotelli   27 ita  1  2  2 21 30 100  92 143 337   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Simone_Zaza   26 ita  1  1  1 20 30 100 566 568 402   1   0   96   0   0   0   0   0   4   0   0   0   0   0  88
Patrik_Schick 22 cze  1  1  1 20 30 100 100 100 250   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
