Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
M_ter_Stegen  25 ger 22  1  1  1 30 150 100 100 100   1   0   92   0   3   4   0   0   0   0   0   0   0   0 100
Franco_Israel 18 uru 17  1  1  1 30 150 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Murillo     25 col  1 21  1  1 30 100 185 854 971   1   0   92   0   0   0   5   0   0   0   0   1   0   0  88
Mau_Lemos     22 uru  1 21  2  2 30 100  88 164  42   1   0   92   0   0   0   1   0   0   0   0   0   0   0  88
Jardel        32 bra  1 21  2  2 30 100  25 175 155   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kenny_Tete    22 ned  1 20 10  6 30 100 697 610 487   1   0   92   0   0   0   3   2   4   0   0   0   0   0  88
G_Paulista    27 bra  1 20  1  1 30 100 282 552 619   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Diego_Polenta 26 uru  1 19  1  1 30 100 700 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Sinkgraven  22 ned  1 19 11  6 30 100 559 367 263   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jorge_Moreira 28 par  1 19 11  7 30 100 310 114 101   1   0   92   0   0   0   1   2   1   0   0   0   0   0  88
A_Samaris     28 gre  1 18 20  2 30 100 364 782 148   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Torreira    22 uru  1 17 20  3 30 100 517 432 295   1   0   92   0   0   0   1   0   0   0   0   0   0   0  88
Leon_Goretzka 23 ger  1  7 21 14 30 100  27 529 369   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rafinha_Alc   25 bra  1  7 21 14 30 100 231 311 533   1   0   92   0   0   0   0   2   0   0   0   0   0   0  88
Wylan_Cyprien 23 fra  1  9 20 11 30 100 193 517 125   1   0   92   0   0   0   1   0   1   0   0   0   0   0  88
J_T_L_Amani   20 civ  1 10 19 10 30 100 571  30 571   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Carles_Aleña  20 esp  1  8 18 10 30 100 100 650 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rafa_Silva    24 por  1  2 21 19 30 100   5 278 146   1   0   92   0   0   0   0   0   3   0   0   0   0   0  88
Franco_Cervi  23 arg  1  2 20 18 30 100  70 401 887   1   0   92   0   0   0   0   2   2   0   0   1   0   0  88
G_Arrascaeta  24 uru  1  3 19 16 30 100 100 500 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Diego_Costa   29 esp  1  1  1 22 30 100 322 321 487   1   0   92   0   0   0   0   0   3   1   0   0   0   0  88
C_Benteke     27 bel  1  2  2 21 30 100 563 570   7   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J-K_Augustin  20 fra  1  2  2 19 30 100  58 212 268   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
