Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Jack_Butland  25 eng 21  1  1  1 30   1 100 100 100   1   0   93   0   7   1   0   0   0   0   0   0   0   0 100
Miguel_Vargas 22 chi 17  1  1  1 30 150 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Álvaro_Ogalde 21 chi 17  1  1  1 30 150 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Voboril     31 arg  1 19 11  7 30 100 170 107 100   1   0   93   0   0   0   2   1   0   0   0   0   0   0  88
JP_Fuenzalida 33 chi  1 18 15 10 30 100 827 134 105   1   0   93   0   0   0   2   1   0   0   1   0   0   0  88
S_Magnasco    26 chi  1 18 11  6 30 100 827 105 105   1   0   93   0   0   0   2   0   0   0   0   0   0   0  88
Fer_Cordero   31 chi  1 18 11  6 30 100 181  98  98   1   0   93   0   0   0   3   0   0   0   0   1   0   0  88
B_Ampuero     25 chi  1 17  1  1 30 100 750 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Kuscevic    22 chi  1 17  1  1 30 100 700 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rai_Rebolledo 21 chi  1 17 10  6 30 100 700 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Y_Oyanedel    18 chi  1 17 10  6 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
César_Fuentes 25 chi  1 16 18  2 30 100 100 250 100   1   0   56   0   0   0   0   0   0   0   0   0   0   0  96
I_Saavedra    19 chi  1 15 17  2 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luciano_Aued  31 arg  1 12 19 11 30 100 117 175 105   1   0   93   0   0   0   1   1   1   0   1   0   0   0  88
Carlos_Lobos  21 chi  1 10 18 11 30 100 100 150 100   1   1   37   0   0   0   0   0   0   0   0   0   0   0 100
Jaime_Carreño 21 chi  1 10 18 10 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Buonanotte  30 arg  1  2 19 17 30 100 127 500 131   1   0   93   0   0   0   1   0   2   1   0   0   0   0  88
Mark_González 33 chi  1  2 19 16 30 100 571 380 575   1   0   93   0   0   0   0   4   0   0   1   0   0   0  88
Diego_Rojas   23 chi  1  3 18 15 30 100 100 500 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Bolados     22 chi  1  2 18 16 30 100 100 300 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Paredes     37 chi  1  2  2 19 30 100 569 618  44   1   0   93   1   0   0   0   0   2   2   0   1   0   0  88
David_Llanos  29 chi  1  1  1 18 30 100  98  98 798   1   0   56   0   0   0   0   0   0   0   0   1   0   0  96
A_Vilches     26 chi  1  1  1 18 30 100 100 100 701   1   1   37   0   0   0   0   0   1   0   0   0   0   0 100
D_Henríquez   19 chi  1  1  1 17 30 100 100 100 350   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
