Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Alban_Lafont  18 fra 21  1  1  1 30 293 100 100 100  19   0 1801   0  69  34   0   0   0   0   0   1   0   0 100
André_Onana   20 cmr 18  1  1  1 30 881 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Alblas      22 ned 16  1  1  1 30 940 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jorge_Meré    19 esp  1 19  1  1 30 100 612 181 172  10   0  946   0   0   0  13   0   0   0   0   1   0   0 100
F_Benkovic    19 cro  1 19  1  1 30 100 580 959 939   9   0  831   0   0   0  11   3   1   0   0   1   0   0  86
T_Hernández   19 fra  1 19  9  5 30 100 572 836 493   9   0  855   0   0   0  11  11   3   0   1   0   0   0  86
Joël_Veltman  25 ned  1 19  9  5 30 100 308 516 306   4   3  251   0   0   0   4   5   1   0   2   0   0   0 100
Malang_Sarr   18 fra  1 19  1  1 30 100 282 232 241  10   0  950   1   0   0  18   2   1   0   0   1   0   0 100
A_Rahman_Baba 22 gha  1 19 11  5 30 100 204 363 214   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
O_Boscagli    19 fra  1 18  9  4 30 100 614 402 205  10   0  740   0   0   0  17   9   0   0   0  11   0   0 100
M_de_Ligt     17 ned  1 18  1  1 30 100 297 207 199   9   0  802   0   0   0   8   0   3   0   0   1   0   0  86
F_Passlack    18 ger  1 18  9  4 30 100 114 402 225  10   0  946   0   0   0  11   8   4   0   1   2   0   0 100
Alec_Georgen  18 fra  1 17  9  4 30 100 634  51 941   9   0  855   0   0   0   8  12   3   0   1   1   0   0  86
A_Diawara     19 gui  1 17 19  1 30 100 769 458 516   9   0  838   0   0   0   4  13   3   0   1   7   0   0  86
T_Fosu-Mensah 19 ned  1 15 18  2 30 100 492 641 235  10   0  943   0   0   0   7  19   0   0   0   8   0   0 100
André_Horta   20 por  1  7 19 12 30 100 724 745  99  10   0  946   2   0   0   1  18  12   5   2   1   0   0 100
Renato_S      19 por  1  7 19 11 30 100 279 391 409   9   0  855   0   0   0   1  15   9   0   0   2   0   0  86
C_Nkunku      19 fra  1  7 18 11 30 100 778 832  20   9   0  855   0   0   0   2  17   6   1   0   1   0   0  86
F_de_Jong     19 ned  1  8 18  9 30 100 366 204 308  10   0  946   0   0   0   5  19  12   0   0   1   0   0 100
Hakim_Ziyech  24 mar  1  1 19 18 30 100 240 415 270   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Odegaard    18 nor  1  1 18 16 30 100 628 542 763   9   0  855   0   0   0   1  10  13   3   0   1   0   0  86
Kai_Havertz   17 ger  1  1 17 15 30 100 208 906 484  10   0  946   0   0   0   0  14  17   0   0   1   0   0 100
K_Dolberg     19 den  1  1  1 19 30 100 194 221 191  10   0  946   1   0   0   0   0  30   2   0   2   0   0 100
L_Martínez    18 arg  1  1  1 18 30 100 242 202 320   9   0  855   1   0   0   1   0  28   2   0   1   0   0  86
A_Isak        17 swe  1  1  1 18 30 100 256 223  82  11   0 1046   1   0   0   1   0  21   2   0   1   0   0  86
J_Kluivert    17 ned  1  1 15 17 30 100 236 308 983  10   0  946   0   0   0   1   6  19   0   0   0   0   0 100
