Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Petr_Cech     34 cze 22  1  1  1 30  75 100 100 100   2   0  186   0   6   3   0   0   0   0   0   0   0   0 100
Timo_Horn     23 ger 21  1  1  1 30 254 100 100 100  14   0 1339   1  73  21   0   0   0   0   0   1   0   0 100
Sergio_Romero 30 arg 19  1  1  1 30 952 100 100 100   3   0  314   1  11   3   0   0   0   0   0   0   0   0 100
L_Koscielny   31 fra  1 21  1  1 30  90 578 764 781  12   2  899   0   0   0  14   0   1   0   0   7   0   0 100
Javi_Martínez 28 esp  1 21 19  1 30 100 565 725 755  12   1 1010   0   0   0  12  20   1   0   0   7   0   0 100
H_Bellerín    22 esp  1 20 12  7 30 100 924 174  43  12   1 1066   0   0   0  10   9   7   1   0   1   0   0 100
S_de_Vrij     25 ned  1 20  1  1 30 100 743 807 766  10   0  868   0   0   0   9   0   2   0   0   3   0   0 100
Kieran_Gibbs  27 eng  1 20 11  5 30  82  37 933 778   9   0  855   0   0   0  11   4   4   0   0   2   0   0  86
N_N'Koulou    27 cmr  1 19  1  1 30 100 763 491 403  11   0 1029   0   0   0  20   0   2   0   0   8   0   1 100
L_Hernández   21 fra  1 19  1  1 30 100 532 776 779  10   1  974   0   0   0  10   2   1   0   0   0   0   0  86
Molla_Wague   26 mli  1 19  1  1 30 100 335 467 478  10   0  897   0   0   0  16   0   1   0   0   1   0   0  86
F_Coquelin    25 fra  1 18 20  1 30 100 932 789 798   9   0  857   0   0   0   6  20   1   0   2   2   0   0 100
M_Elneny      24 egy  1 17 19  1 30 100 878 697 782  10   1  877   0   0   0  10  18   1   0   2   2   0   0  86
Aaron_Ramsey  26 wal  1  8 21 12 30 100 771 505  69  13   0 1236   3   0   0   4  35  12   3   5   2   0   0 100
Juraj_Kucka   30 svk  1 12 19  6 30 100 886 923 827   9   0  857   0   0   0   2  20  12   2   3   1   0   0 100
M_Fernández   30 chi  1  6 19 12 30 100 254 207 327   9   1  845   0   0   0   2  11   7   1   1   3   0   0  86
Mesut_Özil    28 ger  1  1 23 20 30 100 614 221 527  12   0 1137   1   0   0   0  23  33   0   3   2   0   0 100
J_Pastore     27 arg  1  1 20 19 30 100 439 653  77  10   0  921   0   0   0   1  10  31   4   0   7   0   0 100
O-Chamberlain 23 eng  1  1 20 18 30 100 642 212 179  11   1  938   0   0   0   0  13  19   2   1   5   0   0  86
Theo_Walcott  28 eng  1  1 20 17 30 100 386  57 732   5   0  423   0   0   0   0   3   8   1   0   6   0   0 100
Diego_Perotti 28 arg  1  1 19 17 30 100 172 606 515   7   0  700   0   0   0   0   6   5   0   1   0   0   0  86
V_Jugovic     27 cro  1  5 17 12 30 100 888 676  33   9   0  892   0   0   0   4   9   8   1   0   2   0   0  86
A_Sánchez     28 chi  1  1 20 23 30 100 566  66 232  10   0  911   1   0   0   0   1  41   6   0   0   0   0 100
O_Giroud      30 fra  1  1  1 21 30 100 604 733 167   4   0  354   0   0   0   0   0   7   1   0   5   0   0 100
Danny_Welbeck 26 eng  1  1 10 20 30 100 630 875 425   5   0  473   0   0   0   0   2  18   0   0   0   0   0 100
Alex_Iwobi    20 nga  1  1 16 19 30 100 662 845 189   5   0  509   1   0   0   0   1  14   2   0   0   0   0  86
