Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
D_Subasic     32 cro 21  1  1  1 30 905 100 100 100   3   0  281   0  18  10   0   0   0   0   0   0   0   0 100
L_Badiashile  19 fra 17  1  1  1 30 168 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Seydou_Sy     21 sen 16  1  1  1 30 580 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kamil_Glik    29 pol  1 21  1  1 30 100  23 656 629   3   0  214   0   0   0   4   0   0   0   0   0   0   0  88
D_Sidibé      24 fra  1 20 11  7 30  86 373 841 740   2   0  184   0   0   0   3   1   1   0   0   0   0   0  89
Jemerson      24 bra  1 20  1  1 30 100  55 655 664   2   0  184   0   0   0   2   0   1   0   0   0   0   0  89
B_Mendy       22 fra  1 19 11  5 30 100 849 908 727   2   0  184   0   0   0   1   3   2   0   0   1   0   0  89
Andrea_Raggi  32 ita  1 19  1  1 30 146 417 686 688   3   2  164   0   0   0   2   0   0   0   0   0   0   0  96
Pol_Lirola    19 esp  1 18 11  5 30 100 939 779 759   1   0   45   0   0   0   1   0   1   0   0   0   0   0 100
Jorge         21 bra  1 18 10  5 30 100 748 798 709   1   1   52   0   0   0   2   0   0   0   0   0   0   0 100
Almamy_Touré  20 mli  1 18  9  4 30 100 384 776 713   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Abdou_Diallo  20 fra  1 18  1  1 30 100  88 678 678   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Fabinho       23 bra  1 17 20  2 30 100 856 479 679   3   1  236   0   0   0   7   4   1   0   0   1   0   0  83
T_Bakayoko    22 fra  1 16 20  2 30 100 857 245 655   3   2  149   0   0   0   1   5   0   0   1   0   0   0  99
Alexis_Blin   20 fra  1 17 19  1 30 100 760 125 760   1   0   97   0   0   0   2   2   0   0   0   0   0   0 100
Kévin_N'Doram 21 fra  1 14 17  2 30 100 696 724 696   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
João_Moutinho 30 por  1 12 20  7 30 100 515 351 591   2   0  158   0   0   0   0   7   2   0   3   0   0   0  98
Y_Tielemans   19 bel  1  8 19 10 30 100 732 925 919   3   0  255   0   0   0   0   6   2   0   0   0   0   0  75
B_Silva       22 por  1  1 20 17 30 100 426 632 755   2   0  189   0   0   0   1   2   2   0   0   0   0   0  76
Thomas_Lemar  21 fra  1  1 20 19 30 100 528 334  63   1   0   92   0   0   0   0   2   2   1   0   0   0   0 100
G_Boschilia   21 bra  1  1 18 15 30 100 574 687 833   1   0   45   0   0   0   0   0   1   0   0   0   0   0 100
Thomas_Müller 27 ger  1  1 20 22 30 100 584   8 288   2   0  189   2   0   0   1   1  14   4   0   0   0   0 100
V_Germain     26 fra  1  1  1 20 30 100 550 646  77   3   0  240   0   0   0   0   0  11   0   0   0   0   0  76
Kylian_Mbappé 18 fra  1  1 12 19 30 100 534 751 933   2   1  102   0   0   0   0   1   3   0   0   0   0   0 100
Nabil_Dirar   31 mar  1  1 16 19 30 100 566 832 190   1   1   31   0   0   0   0   1   1   0   0   0   0   0 100
