Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Jan_Oblak     24 svn 23  1  1  1 30 145 100 100 100  19   0 1770   0  91  28   0   0   0   0   0   1   0   0 100
M_Ángel_Moyá  32 esp 20  1  1  1 30 388 100 100 100   1   1   39   0   2   2   0   0   0   0   0   0   0   0 100
André_Moreira 21 por 18  1  1  1 30 342 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Diego_Godín   31 uru  1 22  1  1 30 100 246 858 815  15   0 1357   2   0   0  22   4   2   0   1   8   0   0 100
Filipe_Luís   31 bra  1 21 13  6 30 100 605 281 942  13   0 1234   0   0   0  10  16   7   1   2   2   0   0 100
José_Giménez  22 uru  1 21  1  1 30 100 272 823 800  14   1 1232   0   0   0  14   1   3   0   0   2   0   0 100
Samuel_Umtiti 23 fra  1 20  1  1 30 100 899 834 850   8   2  622   0   0   0   9   1   0   0   0   0   0   0  94
Juanfran      32 esp  1 20 12  6 30 100 769   4 840   8   1  692   0   0   0   9   4   4   0   0   0   0   0  94
Stefan_Savic  26 mne  1 20  1  1 30 100 597 822 820   7   0  647   0   0   0   7   0   2   0   0   1   0   0  94
T_Meunier     25 bel  1 20 12  6 30 100 377 111 926  11   0 1057   0   0   0  20   9   9   1   0   2   0   0  94
Nacho_Monreal 31 esp  1 19 11  7 30 100 978 883 905   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lucas_Biglia  30 arg  1 19 21  1 30 100 329 813 963  20   2 1603   2   0   0  20  38   2   1   7   1   0   0 100
A_Fernández   30 arg  1 18 21  2 30 100 194 112 881  18   4 1403   1   0   0  13  36   1   1   4   1   0   0 100
L_Dendoncker  21 bel  1 18 19  1 30 100 169 966 894  14   3 1121   1   0   0  13  29   1   0   5   5   0   0  94
Koke          25 esp  1  6 21 14 30 100 806 967 224  13   1 1161   2   0   0   2  30  26   2   3   2   0   0 100
Saúl_Ñíguez   22 esp  1  7 20 13 30 100 901 827 221  11   1  942   1   0   0   2  18  14   4   0   0   0   0  94
Gabi          33 esp  1 12 20  7 30 100 864 785 958   3   0  286   0   0   0   0   7   5   0   1   0   0   0 100
Tiago         35 por  1 13 20  6 30 100 902  77 987   2   1  127   1   0   0   2   4   2   1   1   0   0   0  94
Y_Carrasco    23 bel  1  1 21 19 30 100 714 887 802  14   0 1269   3   0   0   0  25  34   8   0   1   0   0 100
Nico_Gaitán   29 arg  1  1 21 18 30 100 735 297 591  14   1 1272   1   0   0   1  16  30   5   1   5   0   0 100
S_Castillejo  22 esp  1  1 20 18 30 100 700 846 394  10   0  951   0   0   0   0  14  31   2   2   1   0   0  94
A_Griezmann   26 fra  1  1 16 23 30 100 722  62 263  16   0 1378   3   0   0   0   8  49  12   3   2   0   0 100
Kévin_Gameiro 29 fra  1  1  1 21 30 100 675 759 536  13   0 1134   1   0   0   0   0  39   9   0   9   0   0 100
F_Torres      33 esp  1  1  1 20 30 100 697 817 449   9   4  575   0   0   0   0   0  14   1   0   0   0   0  94
Ángel_Correa  22 arg  1  1 16 20 30 100 665 834 317   9   2  739   1   0   0   0   1  21   4   0   3   0   0  94
