Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
André_Onana   20 cmr 18  1  1  1 30 450 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Diederik_Boer 36 ned 17  1  1  1 30 510 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Alblas      22 ned 16  1  1  1 30 680 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joël_Veltman  25 ned  1 18  9  5 30 100 750 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Sánchez     20 col  1 18  1  1 30 100 600 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kenny_Tete    21 ned  1 18  9  5 30 100 450 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Viergever   27 ned  1 18  1  1 30 100 300 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Riedewald   20 ned  1 18  1  1 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Sinkgraven  21 ned  1 17 10  5 30 100 770 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Westermann  33 ger  1 17  1  1 30 100 640 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_de_Ligt     17 ned  1 17  1  1 30 100 510 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Davy_Klaassen 24 ned  1  1 19 18 30 100 100 180 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Hakim_Ziyech  24 mar  1  1 19 18 30 100 100 180 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lasse_Schöne  30 den  1 10 18  8 30 100 100 750 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_van_de_Beek 19 ned  1  7 17 10 30 100 100 770 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Nouri       19 ned  1  6 17 11 30 100 100 770 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_de_Jong     19 ned  1  8 17  9 30 100 100 380 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Carel_Eiting  19 ned  1 14 16  2 30 100 100 680 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Amin_Younes   23 ger  1  1 17 18 30 100 100 100 450   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Traoré      21 bfa  1  1 16 18 30 100 100 100 450   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Dolberg     19 den  1  1  1 18 30 100 100 100 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
David_Neres   20 bra  1  1 15 17 30 100 100 100 770   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Vaclav_Cerny  19 cze  1  1 15 17 30 100 100 100 510   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Cassierra   19 col  1  1  1 17 30 100 100 100 250   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Kluivert    17 ned  1  1 15 17 30 100 100 100 120   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pelle_Clement 20 ned  1  1 14 16 30 100 100 100 790   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
