Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Petr_Cech     34 cze 20  1  1  1 30 900 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
David_Ospina  28 col 18  1  1  1 30 900 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Martínez    24 arg 17  1  1  1 30 380 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Koscielny   31 fra  1 20  1  1 30 100 225 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Mustafi     24 ger  1 19  1  1 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Mertesacker 32 ger  1 19  1  1 30 100 540 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nacho_Monreal 31 esp  1 19 11  7 30 100 180 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Bellerín    22 esp  1 19 11  6 30 100 180 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Paulista    26 bra  1 18  1  1 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kieran_Gibbs  27 eng  1 18 11  5 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Debuchy     31 fra  1 18 11  5 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Jenkinson   25 eng  1 17 10  6 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rob_Holding   21 eng  1 17  1  1 30 100 250 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mesut_Özil    28 ger  1  1 21 19 30 100 100 225 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Santi_Cazorla 32 esp  1  6 20 14 30 100 100 450 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Aaron_Ramsey  26 wal  1  8 19 11 30 100 100 720 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Granit_Xhaka  24 sui  1 17 19  2 30 100 100 540 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Theo_Walcott  28 eng  1  1 19 17 30 100 100 360 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Coquelin    25 fra  1 18 19  1 30 100 100 180 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
O-Chamberlain 23 eng  1  1 18 17 30 100 100 900 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Elneny      24 egy  1 17 18  1 30 100 100 600 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Sánchez     28 chi  1  1 19 20 30 100 100 100 900   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
O_Giroud      30 fra  1  1  1 19 30 100 100 100 720   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lucas_Pérez   28 esp  1  1  1 19 30 100 100 100 360   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Danny_Welbeck 26 eng  1  1 10 19 30 100 100 100 180   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alex_Iwobi    20 nga  1  1 16 18 30 100 100 100 150   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Yaya_Sanogo   24 fra  1  1  1 17 30 100 100 100 380   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
