Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Manuel_Neuer  31 ger 21  1  1  1 30 900 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sven_Ulreich  28 ger 18  1  1  1 30 600 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tom_Starke    36 ger 17  1  1  1 30 900 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Boateng     28 ger  1 21  1  1 30 100 225 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mats_Hummels  28 ger  1 20  1  1 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Philipp_Lahm  33 ger  1 20 18  6 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
David_Alaba   24 aut  1 20 18  6 30 100 450 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Javi_Martínez 28 esp  1 20 18  1 30 100 225 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Juan_Bernat   24 esp  1 18 11  5 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rafinha       31 bra  1 18  9  5 30 100 750 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Arturo_Vidal  29 chi  1 10 20 10 30 100 100 675 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Thiago        25 esp  1  7 20 13 30 100 100 450 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Franck_Ribéry 33 fra  1  1 20 19 30 100 100 450 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Douglas_Costa 26 bra  1  1 19 17 30 100 100 900 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Xabi_Alonso   35 esp  1 16 19  3 30 100 100 540 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Kimmich     22 ger  1 13 19  6 30 100 100 180 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Renato_S      19 por  1  7 18 11 30 100 100 600 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Fabian_Benko  18 cro  1  1 16 14 30 100 100 350 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Niklas_Dorsch 19 ger  1 14 16  2 30 100 100 130 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Lewandowski 28 pol  1  1  1 21 30 100 100 100 450   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Arjen_Robben  33 ned  1  1 19 20 30 100 100 100 675   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Thomas_Müller 27 ger  1  1 19 20 30 100 100 100 450   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Coman       20 fra  1  1 17 19 30 100 100 100 180   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
