Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
S_Handanovic  32 svn 20  1  1  1 30 675 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_P_Carrizo   32 arg 18  1  1  1 30 300 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tommaso_Berni 34 ita 16  1  1  1 30 680 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Andrei_Radu   19 rou 16  1  1  1 30 130 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Miranda       32 bra  1 20  1  1 30 100 450 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Murillo     24 col  1 19  1  1 30 100 180 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Ansaldi     30 arg  1 19 11  6 30 100 180 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Andreolli   30 ita  1 18  1  1 30 100 600 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Davide_Santon 26 ita  1 18 11  5 30 100 450 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Yuto_Nagatomo 30 jpn  1 18 11  6 30 100 300 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_D'Ambrosio  28 ita  1 18  9  5 30 100 300 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Sainsbury   25 aus  1 18  1  1 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Eloge_Yao     21 civ  1 17  1  1 30 100 380 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Éver_Banega   28 arg  1  5 19 14 30 100 100 900 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ivan_Perisic  28 cro  1  1 19 18 30 100 100 900 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
João_Mário    24 por  1  7 19 12 30 100 100 720 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gary_Medel    29 chi  1 18 19  1 30 100 100 540 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Brozovic    24 cro  1 12 19  7 30 100 100 360 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Candreva    30 ita  1  1 19 18 30 100 100 360 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Gagliardini 22 ita  1 13 18  5 30 100 100 600 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Kondogbia   24 fra  1 16 18  2 30 100 100 450 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mauro_Icardi  24 arg  1  1  1 19 30 100 100 100 900   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Éder          30 ita  1  1  1 19 30 100 100 100 180   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Palacio     35 arg  1  1  1 18 30 100 100 100 750   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gabriel_B     20 bra  1  1 16 18 30 100 100 100 450   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Biabiany    28 fra  1  1 17 18 30 100 100 100 450   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Pinamonti   17 ita  1  1  1 16 30 100 100 100 460   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
