Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Buffon      39 ita 20  1  1  1 30 900 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Neto          27 bra 19  1  1  1 30 180 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Emil_Audero   20 ita 17  1  1  1 30 120 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Chiellini   32 ita  1 20  1  1 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Bonucci     29 ita  1 20  1  1 30 100 675 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Barzagli    35 ita  1 20  1  1 30 100 450 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Medhi_Benatia 29 mar  1 19  1  1 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alex_Sandro   26 bra  1 19 11  7 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dani_Alves    33 bra  1 19 11  5 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lichtsteiner  33 sui  1 19 11  7 30 100 720 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Rugani      22 ita  1 19  1  1 30 100 180 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_De_Ceglie   30 ita  1 17 10  5 30 100 380 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Marchisio   31 ita  1 13 20  7 30 100 100 450 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Pjanic      26 bih  1 12 20  8 30 100 100 225 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sami_Khedira  29 ger  1 18 19  1 30 100 100 900 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Juan_Cuadrado 28 col  1  1 19 18 30 100 100 720 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Asamoah     28 gha  1  7 19 12 30 100 100 180 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Thomás_Rincón 29 ven  1 17 18  1 30 100 100 600 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Sturaro     24 ita  1 10 18  8 30 100 100 600 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mario_Lemina  23 gab  1 12 18  6 30 100 100 600 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Mattiello   21 ita  1  1 17 15 30 100 100 510 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Mandragora  19 ita  1 16 17  1 30 100 100 380 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Higuaín     29 arg  1  1  1 21 30 100 100 100 225   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Paulo_Dybala  23 arg  1  1 18 20 30 100 100 100 450   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Mandzukic   30 cro  1  1  1 19 30 100 100 100 720   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marko_Pjaca   21 cro  1  1 16 18 30 100 100 100 450   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
