Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Loris_Karius  23 ger 19  1  1  1 30 540 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Mignolet    29 bel 18  1  1  1 30 900 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Manninger   39 aut 17  1  1  1 30 900 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ádám_Bogdán   29 hun 17  1  1  1 30 770 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joel_Matip    25 cmr  1 19  1  1 30 100 720 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dejan_Lovren  27 cro  1 19  1  1 30 100 540 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Clyne       25 eng  1 19 11  6 30 100 540 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Moreno      24 esp  1 18 11  4 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ragnar_Klavan 31 est  1 18  1  1 30 100 750 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joe_Gomez     19 eng  1 17  1  1 30 100 510 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Randall     21 eng  1 16  8  4 30 100 130 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Coutinho    24 bra  1  1 20 19 30 100 100 450 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Adam_Lallana  28 eng  1  1 19 18 30 100 100 720 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Henderson   26 eng  1 13 19  6 30 100 100 540 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Wijnaldum   26 ned  1  1 19 18 30 100 100 360 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lucas_Leiva   30 bra  1 18 19  1 30 100 100 180 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
James_Milner  31 eng  1  6 19 13 30 100 100 180 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Emre_Can      23 ger  1 17 18  1 30 100 100 900 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kevin_Stewart 23 eng  1 16 17  1 30 100 100 770 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marko_Grujic  20 srb  1  8 17  9 30 100 100 640 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sheyi_Ojo     19 eng  1  1 16 14 30 100 100 680 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Firmino     25 bra  1  1 15 19 30 100 100 100 720   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Sturridge   27 eng  1  1  1 19 30 100 100 100 720   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sadio_Mané    24 sen  1  1 18 19 30 100 100 100 540   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Divock_Origi  21 bel  1  1 17 18 30 100 100 100 900   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Danny_Ings    24 eng  1  1  1 18 30 100 100 100 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
