Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
David_de_Gea  26 esp 21  1  1  1 30 675 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sergio_Romero 30 arg 18  1  1  1 30 900 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Eric_Bailly   22 civ  1 19  1  1 30 100 720 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Smalling    27 eng  1 19  1  1 30 100 720 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marcos_Rojo   27 arg  1 19  1  1 30 100 720 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Valencia    31 ecu  1 19 11  6 30 100 540 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Daley_Blind   27 ned  1 19 10  6 30 100 360 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Phil_Jones    25 eng  1 19  1  1 30 100 180 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luke_Shaw     21 eng  1 19 11  6 30 100 180 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Darmian     27 ita  1 19 10  6 30 100 180 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Paul_Pogba    24 fra  1 10 20 10 30 100 100 900 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Mkhitaryan  28 arm  1  1 20 19 30 100 100 450 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Juan_Mata     28 esp  1  1 20 18 30 100 100 225 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ander_Herrera 27 esp  1 12 19  7 30 100 100 720 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Carrick     35 eng  1 18 19  1 30 100 100 540 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Fellaini    29 bel  1  7 18 11 30 100 100 750 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ashley_Young  31 eng  1  1 18 17 30 100 100 750 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jesse_Lingard 24 eng  1  1 18 17 30 100 100 750 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Fosu-Mensah 19 ned  1 15 17  2 30 100 100 770 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Z_Ibrahimovic 35 swe  1  1  1 21 30 100 100 100 450   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Wayne_Rooney  31 eng  1  1 17 19 30 100 100 100 720   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Martial     21 fra  1  1  1 19 30 100 100 100 540   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Rashford    19 eng  1  1  1 18 30 100 100 100 750   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
James_Wilson  21 eng  1  1  1 17 30 100 100 100 380   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
