Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Pepe_Reina    34 esp 19  1  1  1 30 720 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luigi_Sepe    25 ita 18  1  1  1 30 150 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rafael        26 bra 18  1  1  1 30 150 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Koulibaly   25 sen  1 19  1  1 30 100 720 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Raúl_Albiol   31 esp  1 19  1  1 30 100 540 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Maksimovic  25 srb  1 19  1  1 30 100 180 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Tonelli     27 ita  1 18  1  1 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Ghoulam     26 alg  1 18 11  5 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Elseid_Hysaj  23 alb  1 18  9  5 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Chiriches   27 rou  1 18  1  1 30 100 750 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Maggio      35 ita  1 18  9  5 30 100 300 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ivan_Strinic  29 cro  1 18  9  5 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marek_Hamsik  29 svk  1  6 20 14 30 100 100 225 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jorginho      25 ita  1 17 19  2 30 100 100 360 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Allan         26 bra  1 12 19  7 30 100 100 180 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Zielinski   22 pol  1  6 18 12 30 100 100 900 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Giaccherini 31 ita  1  1 18 17 30 100 100 750 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Diawara     19 gui  1 17 18  1 30 100 100 450 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marko_Rog     21 cro  1  1 18 17 30 100 100 450 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Leandrinho    18 bra  1  1 16 14 30 100 100 790 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dries_Mertens 29 bel  1  1 19 20 30 100 100 100 225   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Insigne     25 ita  1  1 18 19 30 100 100 100 900   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
José_Callejón 30 esp  1  1 18 19 30 100 100 100 720   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Milik       23 pol  1  1  1 18 30 100 100 100 900   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Pavoletti   28 ita  1  1  1 18 30 100 100 100 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
