Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Yohann_Pelé   34 fra 18  1  1  1 30 150 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Brice_Samba   22 fra 16  1  1  1 30 790 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Escales     21 fra 16  1  1  1 30 240 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Patrice_Evra  35 fra  1 19 10  5 30 100 540 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rolando       31 por  1 18  1  1 30 100 450 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rod_Fanni     35 fra  1 18  1  1 30 100 300 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dória         22 bra  1 18  1  1 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tomas_Hubocan 31 svk  1 18  1  1 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Henri_Bedimo  32 cmr  1 18  9  5 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Hiroki_Sakai  26 jpn  1 18 11  5 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Karim_Rekik   22 ned  1 17  1  1 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dimitri_Payet 30 fra  1  1 20 19 30 100 100 225 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Morgan_Sanson 22 fra  1 12 19  7 30 100 100 360 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
W_Vainqueur   28 fra  1 16 18  2 30 100 100 900 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Sertic      27 fra  1 16 18  2 30 100 100 450 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rémy_Cabella  27 fra  1  1 18 16 30 100 100 300 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Maxime_López  19 fra  1  8 18 10 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Abou_Diaby    30 fra  1 11 17  6 30 100 100 770 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Z_Anguissa  21 cmr  1 16 17  1 30 100 100 640 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Z_Machach     21 fra  1 10 17  7 30 100 100 510 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Bouna_Sarr    25 gui  1  1 17 16 30 100 100 510 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S-E_Khaoui    21 tun  1  1 17 15 30 100 100 120 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Bill_Tuiloma  22 nzl  1 14 16  1 30 100 100 240 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Thauvin     24 fra  1  1 18 19 30 100 100 100 360   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Gomis       31 fra  1  1  1 18 30 100 100 100 900   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Clinton_N'Jie 23 cmr  1  1 16 17 30 100 100 100 900   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_L_Iseka     19 bel  1  1  1 17 30 100 100 100 120   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Rabillard   21 fra  1  1  1 16 30 100 100 100 460   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
