Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Iker_Casillas 35 esp 19  1  1  1 30 540 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
José_Sá       24 por 18  1  1  1 30 450 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Miguel_Layún  28 mex  1 19 11  7 30 100 360 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Iván_Marcano  29 esp  1 19  1  1 30 100 180 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Felipe        27 bra  1 19  1  1 30 100 180 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Maxi_Pereira  32 gre  1 18 11  5 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alex_Telles   24 bra  1 18 11  5 30 100 750 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Willy_Boly    26 fra  1 18  1  1 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Pereira     25 por  1 18 19  1 30 100 100 720 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Herrera     26 mex  1  7 19 12 30 100 100 180 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jesús_Corona  24 mex  1  1 19 18 30 100 100 180 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
André_André   27 por  1  6 18 13 30 100 100 900 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Óliver_Torres 22 esp  1  1 18 16 30 100 100 900 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Otávio        22 bra  1  1 18 17 30 100 100 600 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rúben_Neves   20 por  1 16 18  2 30 100 100 300 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
João_Teixeira 24 por  1  1 17 16 30 100 100 380 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Y_Brahimi     27 alg  1  1 17 19 30 100 100 100 540   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Diogo_Jota    20 por  1  1  1 18 30 100 100 100 750   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
André_Silva   21 por  1  1  1 18 30 100 100 100 750   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Soares      26 bra  1  1  1 18 30 100 100 100 750   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Depoitre    28 bel  1  1  1 18 30 100 100 100 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
